Year,concept.SEX,concept.AGE,concept.URBANISATION,concept.ACTIVITY,Value
2015,,,,,23.0
2016,,,,,18.3
2017,,,,,18.0
2018,,,,,15.5
2015,code.M,,,,24.6
2016,code.M,,,,19.7
2017,code.M,,,,20.0
2018,code.M,,,,16.6
2015,code.F,,,,20.6
2016,code.F,,,,16.0
2017,code.F,,,,14.8
2018,code.F,,,,13.6
2015,,code.Y15T19,,,23.7
2016,,code.Y15T19,,,19.0
2017,,code.Y15T19,,,14.7
2018,,code.Y15T19,,,12.6
2015,,code.Y20T24,,,19.9
2016,,code.Y20T24,,,18.0
2017,,code.Y20T24,,,13.9
2018,,code.Y20T24,,,10.7
2015,,code.Y25T29,,,20.9
2016,,code.Y25T29,,,17.5
2017,,code.Y25T29,,,18.5
2018,,code.Y25T29,,,15.8
2015,,code.Y30T34,,,31.9
2016,,code.Y30T34,,,22.5
2017,,code.Y30T34,,,22.9
2018,,code.Y30T34,,,18.4
2015,,code.Y35T39,,,33.4
2016,,code.Y35T39,,,27.6
2017,,code.Y35T39,,,26.4
2018,,code.Y35T39,,,23.4
2015,,code.Y40T44,,,27.5
2016,,code.Y40T44,,,20.1
2017,,code.Y40T44,,,21.8
2018,,code.Y40T44,,,18.5
2015,,code.Y45T49,,,20.3
2016,,code.Y45T49,,,15.1
2017,,code.Y45T49,,,15.3
2018,,code.Y45T49,,,13.5
2015,,code.Y50T54,,,12.4
2016,,code.Y50T54,,,11.3
2017,,code.Y50T54,,,10.8
2018,,code.Y50T54,,,12.5
2015,,code.Y55T59,,,11.4
2016,,code.Y55T59,,,8.4
2017,,code.Y55T59,,,10.3
2018,,code.Y55T59,,,9.5
2015,,code.Y60T64,,,9.4
2016,,code.Y60T64,,,14.2
2017,,code.Y60T64,,,14.3
2018,,code.Y60T64,,,12.0
2015,,code.Y65T69,,,5.3
2016,,code.Y65T69,,,7.6
2017,,code.Y65T69,,,6.2
2018,,code.Y65T69,,,4.8
2015,,code.Y_GE70,,,4.3
2016,,code.Y_GE70,,,13.9
2017,,code.Y_GE70,,,10.6
2018,,code.Y_GE70,,,3.7
2015,,,code.U,,18.1
2016,,,code.U,,11.8
2017,,,code.U,,13.2
2018,,,code.U,,13.0
2015,,,code.R,,25.5
2016,,,code.R,,21.8
2017,,,code.R,,20.7
2018,,,code.R,,16.9
2015,,,,code.ISIC4_A,29.1
2016,,,,code.ISIC4_A,24.5
2017,,,,code.ISIC4_A,22.6
2018,,,,code.ISIC4_A,21.9
2015,,,,code.ISIC4_B,25.7
2016,,,,code.ISIC4_B,17.4
2017,,,,code.ISIC4_B,43.5
2018,,,,code.ISIC4_B,46.5
2015,,,,code.ISIC4_C,20.7
2016,,,,code.ISIC4_C,16.8
2017,,,,code.ISIC4_C,19.3
2018,,,,code.ISIC4_C,13.0
2015,,,,code.ISIC4_D,10.4
2016,,,,code.ISIC4_D,6.7
2017,,,,code.ISIC4_D,16.8
2018,,,,code.ISIC4_D,9.9
2015,,,,code.ISIC4_E,8.8
2016,,,,code.ISIC4_E,11.0
2017,,,,code.ISIC4_E,16.9
2018,,,,code.ISIC4_E,14.4
2015,,,,code.ISIC4_F,30.5
2016,,,,code.ISIC4_F,21.9
2017,,,,code.ISIC4_F,25.2
2018,,,,code.ISIC4_F,18.3
2015,,,,code.ISIC4_G,17.0
2016,,,,code.ISIC4_G,13.9
2017,,,,code.ISIC4_G,12.7
2018,,,,code.ISIC4_G,12.4
2015,,,,code.ISIC4_H,22.3
2016,,,,code.ISIC4_H,20.9
2017,,,,code.ISIC4_H,18.0
2018,,,,code.ISIC4_H,14.2
2015,,,,code.ISIC4_I,18.2
2016,,,,code.ISIC4_I,14.0
2017,,,,code.ISIC4_I,10.5
2018,,,,code.ISIC4_I,10.1
2015,,,,code.ISIC4_J,23.4
2016,,,,code.ISIC4_J,12.6
2017,,,,code.ISIC4_J,7.2
2018,,,,code.ISIC4_J,7.4
2015,,,,code.ISIC4_K,10.5
2016,,,,code.ISIC4_K,7.0
2017,,,,code.ISIC4_K,11.9
2018,,,,code.ISIC4_K,10.7
2015,,,,code.ISIC4_L,3.9
2016,,,,code.ISIC4_L,1.6
2017,,,,code.ISIC4_L,1.9
2015,,,,code.ISIC4_M,19.0
2016,,,,code.ISIC4_M,6.4
2017,,,,code.ISIC4_M,10.7
2018,,,,code.ISIC4_M,6.2
2015,,,,code.ISIC4_N,13.6
2016,,,,code.ISIC4_N,9.7
2017,,,,code.ISIC4_N,17.4
2018,,,,code.ISIC4_N,10.9
2015,,,,code.ISIC4_O,16.9
2016,,,,code.ISIC4_O,9.9
2017,,,,code.ISIC4_O,10.1
2018,,,,code.ISIC4_O,6.6
2015,,,,code.ISIC4_P,20.4
2016,,,,code.ISIC4_P,16.1
2017,,,,code.ISIC4_P,18.6
2018,,,,code.ISIC4_P,18.9
2015,,,,code.ISIC4_Q,13.3
2016,,,,code.ISIC4_Q,11.6
2017,,,,code.ISIC4_Q,15.2
2018,,,,code.ISIC4_Q,12.0
2015,,,,code.ISIC4_R,24.9
2016,,,,code.ISIC4_R,22.9
2017,,,,code.ISIC4_R,13.5
2018,,,,code.ISIC4_R,10.0
2015,,,,code.ISIC4_S,14.3
2016,,,,code.ISIC4_S,10.5
2017,,,,code.ISIC4_S,9.7
2018,,,,code.ISIC4_S,9.1
2015,,,,code.ISIC4_T,24.0
2016,,,,code.ISIC4_T,46.9
2017,,,,code.ISIC4_T,31.5
2018,,,,code.ISIC4_T,23.4
2017,,,,code.ISIC4_U,15.6
