Year,concept.REF_AREA,Value
2007,,145.4
2008,,1235.9
2009,,74.6
2010,,516.9
2011,,939.9
2012,,924.9
2013,,2206.0
2014,,4557.0
2015,,22906.0
2016,,10062.0
2017,,10274.0
2018,,12146.0
2007,code.KG05,17.8
2008,code.KG05,130.4
2009,code.KG05,25.4
2010,code.KG05,26.2
2011,code.KG05,551.4
2012,code.KG05,267.9
2013,code.KG05,45.0
2014,code.KG05,416.0
2015,code.KG05,5888.0
2016,code.KG05,3763.0
2017,code.KG05,1350.0
2018,code.KG05,1898.0
2007,code.KG03,66.7
2008,code.KG03,31.0
2009,code.KG03,3.7
2010,code.KG03,305.9
2011,code.KG03,148.6
2012,code.KG03,375.2
2013,code.KG03,38.0
2014,code.KG03,31.2
2015,code.KG03,85.1
2016,code.KG03,232.3
2017,code.KG03,120.1
2018,code.KG03,72.9
2007,code.KG02,0.5
2008,code.KG02,0.7
2009,code.KG02,9.5
2010,code.KG02,0.6
2011,code.KG02,5.3
2012,code.KG02,40.4
2013,code.KG02,752.0
2014,code.KG02,3563.0
2015,code.KG02,77.0
2016,code.KG02,1027.0
2017,code.KG02,842.0
2018,code.KG02,742.0
2007,code.KG04,0.6
2008,code.KG04,2.8
2009,code.KG04,0.6
2010,code.KG04,120.1
2011,code.KG04,121.0
2012,code.KG04,141.3
2013,code.KG04,722.0
2014,code.KG04,43.0
2015,code.KG04,278.0
2016,code.KG04,223.0
2017,code.KG04,128.0
2018,code.KG04,14.0
2007,code.KG06,6.3
2008,code.KG06,1024.9
2009,code.KG06,10.9
2010,code.KG06,40.5
2011,code.KG06,105.0
2012,code.KG06,48.1
2013,code.KG06,29.0
2014,code.KG06,11.0
2015,code.KG06,13642.0
2016,code.KG06,162.0
2017,code.KG06,2618.0
2018,code.KG06,124.0
2007,code.KG07,12.3
2008,code.KG07,4.4
2009,code.KG07,24.5
2010,code.KG07,22.0
2011,code.KG07,3.0
2012,code.KG07,49.0
2013,code.KG07,6.6
2014,code.KG07,1.1
2015,code.KG07,8.9
2016,code.KG07,76.1
2017,code.KG07,14.7
2018,code.KG07,0.7
2007,code.KG08,8.4
2010,code.KG08,1.7
2011,code.KG08,5.6
2012,code.KG08,1.7
2013,code.KG08,141.0
2014,code.KG08,200.0
2015,code.KG08,244.0
2016,code.KG08,932.0
2017,code.KG08,2075.0
2018,code.KG08,61.0
2007,code.KG11,32.2
2008,code.KG11,41.5
2013,code.KG11,7.0
2015,code.KG11,447.0
2016,code.KG11,868.0
2017,code.KG11,1298.0
2018,code.KG11,8569.0
2007,code.KG21,0.7
2008,code.KG21,0.2
2012,code.KG21,1.1
2013,code.KG21,63.0
2015,code.KG21,1391.0
2016,code.KG21,3.0
2017,code.KG21,615.0
