Year,Показатель,Value
2019,Число местных органов власти,484
2020,Число местных органов власти,484
2021,Число местных органов власти,484
2022,Число местных органов власти,484
2023,Число местных органов власти,484
2024,Число местных органов власти,485
2019,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",10.1
2020,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",13.8
2021,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",21.5
2022,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",34.5
2023,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",34.9
2024,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",35.5
2019,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",49
2020,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",67
2021,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",104
2022,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",167
2023,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",169
2024,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",172
