Year,Показатель,Территория,Местность,Пол,Возраст,Value
2015,"Медианное значение, сомов в месяц на душу населения",Кыргызская Республика,,,,3102.8
2016,"Медианное значение, сомов в месяц на душу населения",Кыргызская Республика,,,,3326.8
2017,"Медианное значение, сомов в месяц на душу населения",Кыргызская Республика,,,,3385.7
2018,"Медианное значение, сомов в месяц на душу населения",Кыргызская Республика,,,,3668.1
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,,1.6
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,,2.3
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,,2.4
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,,2.6
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Городская,,,1.6
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Городская,,,0.8
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Городская,,,0.8
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Городская,,,1
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Сельская,,,1.5
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Сельская,,,3
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Сельская,,,3.3
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,Сельская,,,3.5
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Женщины,,1.5
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Женщины,,2.3
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Женщины,,2.5
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Женщины,,2.7
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Мужчины,,1.6
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Мужчины,,2.2
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Мужчины,,2.3
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,Мужчины,,2.6
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Дети в возрасте 0 - 17 лет,2.5
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Дети в возрасте 0 - 17 лет,3.9
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Дети в возрасте 0 - 17 лет,4.2
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Дети в возрасте 0 - 17 лет,4.5
