Year,Reference area,Value
2007,,0.102468
2008,,0.657422
2009,,0.037073
2010,,0.234561
2011,,0.328649
2012,,0.297902
2013,,0.062089
2014,,0.113728
2015,,0.532092
2016,,0.21124
2017,,0.193675
2018,,0.218017
2007,Batken,0.358951
2008,Batken,2.126272
2009,Batken,0.403899
2010,Batken,0.333138
2011,Batken,4.307812
2012,Batken,1.956574
2013,Batken,0.02969
2014,Batken,0.25113
2015,Batken,3.438047
2016,Batken,2.2105
2017,Batken,0.753563
2007,Jalal-Abad,0.412118
2008,Jalal-Abad,0.136994
2009,Jalal-Abad,0.015857
2010,Jalal-Abad,1.154719
2011,Jalal-Abad,0.453264
2012,Jalal-Abad,1.016425
2013,Jalal-Abad,0.101309
2014,Jalal-Abad,0.072479
2015,Jalal-Abad,0.172868
2016,Jalal-Abad,0.441517
2017,Jalal-Abad,0.196222
2007,Issyk-Kul,0.003239
2008,Issyk-Kul,0.003293
2009,Issyk-Kul,0.034457
2010,Issyk-Kul,0.001692
2011,Issyk-Kul,0.012271
2012,Issyk-Kul,0.112102
2013,Issyk-Kul,0.148306
2014,Issyk-Kul,0.685858
2015,Issyk-Kul,0.015296
2016,Issyk-Kul,0.169567
2017,Issyk-Kul,0.130728
2007,Naryn,0.009569
2008,Naryn,0.035207
2009,Naryn,0.008456
2010,Naryn,1.65095
2011,Naryn,1.592461
2012,Naryn,1.562362
2013,Naryn,0.741692
2014,Naryn,0.037976
2015,Naryn,0.214395
2016,Naryn,0.157299
2017,Naryn,0.091702
2007,Osh,0.042933
2008,Osh,5.639406
2009,Osh,0.057255
2010,Osh,0.198522
2011,Osh,0.369869
2012,Osh,0.17834
2013,Osh,0.010609
2014,Osh,0.00357
2015,Osh,4.302561
2016,Osh,0.049422
2017,Osh,0.702855
2007,Talas,0.210978
2008,Talas,0.051951
2009,Talas,0.405354
2010,Talas,0.29974
2011,Talas,0.045177
2012,Talas,0.518047
2013,Talas,0.05949
2014,Talas,0.008098
2015,Talas,0.061365
2016,Talas,0.517318
2017,Talas,0.092032
2007,Chui,0.035582
2010,Chui,0.005701
2011,Chui,0.01326
2012,Chui,0.004035
2013,Chui,0.029168
2014,Chui,0.033948
2015,Chui,0.033197
2016,Chui,0.118862
2017,Chui,0.234678
2007,Bishkek (city),0.063779
2008,Bishkek (city),0.060758
2013,Bishkek (city),0.00051
2015,Bishkek (city),0.028178
2016,Bishkek (city),0.047988
2017,Bishkek (city),0.006461
2007,Osh (city),0.01574
2008,Osh (city),0.003371
2012,Osh (city),0.006958
2013,Osh (city),0.034602
2015,Osh (city),0.61872
2016,Osh (city),0.001192
2017,Osh (city),0.202023
