Year,Показатель,Единица измерения,Value
2013,Темпы чистого изменения площади лесов в год,Гектары,1037
2014,Темпы чистого изменения площади лесов в год,Гектары,778
2015,Темпы чистого изменения площади лесов в год,Гектары,507
2016,Темпы чистого изменения площади лесов в год,Гектары,616
2017,Темпы чистого изменения площади лесов в год,Гектары,490
2018,Темпы чистого изменения площади лесов в год,Гектары,400
2013,Запас надземной биомассы в лесах,Миллион тонн на гектар,26.7
2013,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.7
2014,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.7
2015,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.7
2016,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.7
2017,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.7
2018,"Доля лесных площадей, расположенных в природоохранных зонах",Процент,5.8
2013,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,74.6
2014,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,76.4
2015,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,78
2016,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,79.6
2017,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,81.3
2018,"Доля лесных площадей, в отношении которых существует долгосрочный план управления лесными ресурсами",Процент,82.6
