Year,Показатель,Value
2015,"Площадь пашни по причинам неиспользования, всего",1280570
2016,"Площадь пашни по причинам неиспользования, всего",1280570
2017,"Площадь пашни по причинам неиспользования, всего",1287859
2018,"Площадь пашни по причинам неиспользования, всего",1287810
2019,"Площадь пашни по причинам неиспользования, всего",1287584
2015,Площадь неиспользованной пашни,89985
2016,Площадь неиспользованной пашни,81920
2017,Площадь неиспользованной пашни,74796
2018,Площадь неиспользованной пашни,67337
2019,Площадь неиспользованной пашни,63332
2015,Из них по причинам: засоления и заболоченности,4958
2016,Из них по причинам: засоления и заболоченности,3840
2017,Из них по причинам: засоления и заболоченности,3288
2018,Из них по причинам: засоления и заболоченности,3103
2019,Из них по причинам: засоления и заболоченности,2792
2015,Из них по причинам: отсутствия полива из-за неисправности оросительной сети,13756
2016,Из них по причинам: отсутствия полива из-за неисправности оросительной сети,14039
2017,Из них по причинам: отсутствия полива из-за неисправности оросительной сети,11954
2018,Из них по причинам: отсутствия полива из-за неисправности оросительной сети,11774
2019,Из них по причинам: отсутствия полива из-за неисправности оросительной сети,11105
2015,"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",394
2016,"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",352
2017,"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",1035
2018,"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",1539
2019,"Из них по причинам: подверженной стихийным бедствиям (оползни, сели)",512
