Year,Территория,Value
2007,,5.9
2008,,5.5
2009,,6.2
2010,,6.2
2011,,5.5
2012,,4.4
2013,,3.8
2014,,3.5
2015,,3.6
2016,,2.7
2017,,2.5
2018,,2.3
2007,Баткенская область,1.9
2008,Баткенская область,1.9
2009,Баткенская область,2.1
2010,Баткенская область,2.5
2011,Баткенская область,2.7
2012,Баткенская область,2.4
2013,Баткенская область,2.2
2014,Баткенская область,0.6
2015,Баткенская область,0.8
2016,Баткенская область,2
2017,Баткенская область,1.6
2018,Баткенская область,1.5
2007,Джалал-Абадская область,1.7
2008,Джалал-Абадская область,2.5
2009,Джалал-Абадская область,3.6
2010,Джалал-Абадская область,5
2011,Джалал-Абадская область,4.1
2012,Джалал-Абадская область,3.5
2013,Джалал-Абадская область,4
2014,Джалал-Абадская область,2.9
2015,Джалал-Абадская область,2.1
2016,Джалал-Абадская область,2
2017,Джалал-Абадская область,1.4
2018,Джалал-Абадская область,1.7
2007,Иссык-Кульская область,8.3
2008,Иссык-Кульская область,7.1
2009,Иссык-Кульская область,7.3
2010,Иссык-Кульская область,4.7
2011,Иссык-Кульская область,7.8
2012,Иссык-Кульская область,8
2013,Иссык-Кульская область,5.5
2014,Иссык-Кульская область,6.9
2015,Иссык-Кульская область,6
2016,Иссык-Кульская область,3.2
2017,Иссык-Кульская область,3.3
2018,Иссык-Кульская область,3.9
2007,Нарынская область,5.1
2008,Нарынская область,6.2
2009,Нарынская область,6.2
2010,Нарынская область,8.4
2011,Нарынская область,6.4
2012,Нарынская область,6.4
2013,Нарынская область,3
2014,Нарынская область,3.7
2015,Нарынская область,7.2
2016,Нарынская область,4.3
2017,Нарынская область,4.2
2018,Нарынская область,2.1
2007,Ошская область,2.7
2008,Ошская область,2.7
2009,Ошская область,3.5
2010,Ошская область,3.8
2011,Ошская область,3.2
2012,Ошская область,1.8
2013,Ошская область,1.8
2014,Ошская область,1.8
2015,Ошская область,1.7
2016,Ошская область,1.8
2017,Ошская область,1.5
2018,Ошская область,2
2007,Таласская область,2.2
2008,Таласская область,6.7
2009,Таласская область,3.1
2010,Таласская область,5.6
2011,Таласская область,4.3
2012,Таласская область,5.9
2013,Таласская область,7
2014,Таласская область,5.3
2015,Таласская область,3.2
2016,Таласская область,2.4
2017,Таласская область,1.9
2018,Таласская область,0.8
2007,Чуйская область,14.9
2008,Чуйская область,12.7
2009,Чуйская область,13.9
2010,Чуйская область,13.3
2011,Чуйская область,9.5
2012,Чуйская область,9.2
2013,Чуйская область,6.3
2014,Чуйская область,6.4
2015,Чуйская область,7.2
2016,Чуйская область,5.5
2017,Чуйская область,5.5
2018,Чуйская область,3.7
2007,г.Бишкек,8.1
2008,г.Бишкек,7
2009,г.Бишкек,7.9
2010,г.Бишкек,6.4
2011,г.Бишкек,6.7
2012,г.Бишкек,3.6
2013,г.Бишкек,2.5
2014,г.Бишкек,3.6
2015,г.Бишкек,3.6
2016,г.Бишкек,2.6
2017,г.Бишкек,2.7
2018,г.Бишкек,2.3
2007,г.Ош,7.8
2008,г.Ош,3.1
2009,г.Ош,5.4
2010,г.Ош,4.7
2011,г.Ош,5.5
2012,г.Ош,1.5
2013,г.Ош,6.1
2014,г.Ош,1.9
2015,г.Ош,4
2016,г.Ош,1.1
2017,г.Ош,1.8
2018,г.Ош,1.7
