Year,concept.REF_AREA,concept.AGE,Value
2014,,code.Y1T14,57.1
2018,,code.Y1T14,74.3
2014,code.KG05,code.Y1T14,49.4
2018,code.KG05,code.Y1T14,46.8
2014,code.KG03,code.Y1T14,42.9
2018,code.KG03,code.Y1T14,65.5
2014,code.KG02,code.Y1T14,48.2
2018,code.KG02,code.Y1T14,80.9
2014,code.KG04,code.Y1T14,58.0
2018,code.KG04,code.Y1T14,74.0
2014,code.KG06,code.Y1T14,57.8
2018,code.KG06,code.Y1T14,74.4
2014,code.KG07,code.Y1T14,71.1
2018,code.KG07,code.Y1T14,79.9
2014,code.KG08,code.Y1T14,66.8
2018,code.KG08,code.Y1T14,83.5
2014,code.KG11,code.Y1T14,70.3
2018,code.KG11,code.Y1T14,80.5
2014,code.KG21,code.Y1T14,71.1
2018,code.KG21,code.Y1T14,85.6
2014,,code.Y1T2,45.5
2018,,code.Y1T2,55.3
2014,,code.Y1,39.5
2014,,code.Y2,51.8
2014,,code.Y3T4,67.1
2018,,code.Y3T4,71.2
2014,,code.Y5T6,61.9
2014,,code.Y10T14,52.7
2018,,code.Y10T14,78.8
