Year,concept.FREQ,concept.REF_AREA,Value
2015,code.A,,235
2016,code.A,,285
2017,code.A,,311
2018,code.A,,273
2019,code.S,,273
2015,code.A,code.KG05,294
2016,code.A,code.KG05,479
2017,code.A,code.KG05,462
2018,code.A,code.KG05,426
2019,code.S,code.KG05,400
2015,code.A,code.KG11,436
2016,code.A,code.KG11,372
2017,code.A,code.KG11,354
2018,code.A,code.KG11,327
2019,code.S,code.KG11,360
2015,code.A,code.KG08,-15
2016,code.A,code.KG08,166
2017,code.A,code.KG08,295
2018,code.A,code.KG08,195
2019,code.S,code.KG08,252
2015,code.A,code.KG02,206
2016,code.A,code.KG02,199
2017,code.A,code.KG02,285
2018,code.A,code.KG02,307
2019,code.S,code.KG02,375
2015,code.A,code.KG03,343
2016,code.A,code.KG03,309
2017,code.A,code.KG03,327
2018,code.A,code.KG03,279
2019,code.S,code.KG03,307
2015,code.A,code.KG04,364
2016,code.A,code.KG04,341
2017,code.A,code.KG04,312
2018,code.A,code.KG04,341
2019,code.S,code.KG04,355
2015,code.A,code.KG06,314
2016,code.A,code.KG06,256
2017,code.A,code.KG06,385
2018,code.A,code.KG06,355
2019,code.S,code.KG06,325
2015,code.A,code.KG21,96
2016,code.A,code.KG21,126
2017,code.A,code.KG21,163
2018,code.A,code.KG21,129
2019,code.S,code.KG21,113
2015,code.A,code.KG07,169
2016,code.A,code.KG07,408
2017,code.A,code.KG07,429
2018,code.A,code.KG07,383
2019,code.S,code.KG07,366
