Year;Показатель;Value
2007;Доходы, всего;25,4
2008;Доходы, всего;24,8
2009;Доходы, всего;27,6
2010;Доходы, всего;26,3
2011;Доходы, всего;27,2
2012;Доходы, всего;28
2013;Доходы, всего;28,7
2014;Доходы, всего;29,8
2015;Доходы, всего;29,8
2016;Доходы, всего;27,4
2017;Доходы, всего;28,2
2018;Доходы, всего;26,6
2007;  Налоговые доходы;18,7
2008;  Налоговые доходы;19,1
2009;  Налоговые доходы;17,9
2010;  Налоговые доходы;17,9
2011;  Налоговые доходы;18,5
2012;  Налоговые доходы;20,6
2013;  Налоговые доходы;20,5
2014;  Налоговые доходы;20,6
2015;  Налоговые доходы;19,7
2016;  Налоговые доходы;19,7
2017;  Налоговые доходы;19,5
2018;  Налоговые доходы;20,5
2007;  Взносы/отчисления на социальные нужды;-
2008;  Взносы/отчисления на социальные нужды;-
2009;  Взносы/отчисления на социальные нужды;-
2010;  Взносы/отчисления на социальные нужды;-
2011;  Взносы/отчисления на социальные нужды;-
2012;  Взносы/отчисления на социальные нужды;-
2013;  Взносы/отчисления на социальные нужды;-
2014;  Взносы/отчисления на социальные нужды;-
2015;  Взносы/отчисления на социальные нужды;-
2016;  Взносы/отчисления на социальные нужды;0
2017;  Взносы/отчисления на социальные нужды;0,5
2018;  Взносы/отчисления на социальные нужды;-
2007;  Полученные официальные траснферты;1,3
2008;  Полученные официальные траснферты;0,7
2009;  Полученные официальные траснферты;5,1
2010;  Полученные официальные траснферты;3,2
2011;  Полученные официальные траснферты;3,1
2012;  Полученные официальные траснферты;1,8
2013;  Полученные официальные траснферты;2,6
2014;  Полученные официальные траснферты;2,5
2015;  Полученные официальные траснферты;2,2
2016;  Полученные официальные траснферты;2,1
2017;  Полученные официальные траснферты;2,5
2018;  Полученные официальные траснферты;1,6
2007;  Неналоговые доходы;5,1
2008;  Неналоговые доходы;4,4
2009;  Неналоговые доходы;4,5
2010;  Неналоговые доходы;5
2011;  Неналоговые доходы;5,5
2012;  Неналоговые доходы;5,6
2013;  Неналоговые доходы;5,6
2014;  Неналоговые доходы;6,7
2015;  Неналоговые доходы;8
2016;  Неналоговые доходы;5,6
2017;  Неналоговые доходы;5,7
2018;  Неналоговые доходы;4,5
2007;  Доходы от продажи нефинансовых активов;0,3
2008;  Доходы от продажи нефинансовых активов;0,6
2009;  Доходы от продажи нефинансовых активов;0,1
2010;  Доходы от продажи нефинансовых активов;0,3
2011;  Доходы от продажи нефинансовых активов;0,2
2012;  Доходы от продажи нефинансовых активов;0,1
2013;  Доходы от продажи нефинансовых активов;0
2014;  Доходы от продажи нефинансовых активов;0
2015;  Доходы от продажи нефинансовых активов;0
2016;  Доходы от продажи нефинансовых активов;0
2017;  Доходы от продажи нефинансовых активов;0
2018;  Доходы от продажи нефинансовых активов;0
