Year,concept.REF_AREA,concept.SEX,Value
2007,,,1155.0
2008,,,1063.0
2009,,,1039.0
2010,,,1011.0
2011,,,1004.0
2012,,,1043.0
2013,,,1024.0
2014,,,1011.0
2015,,,982.0
2016,,,934.0
2017,,,90.6
2018,,,830.0
2007,,code.F,911.0
2008,,code.F,858.0
2009,,code.F,854.0
2010,,code.F,849.0
2011,,code.F,819.0
2012,,code.F,852.0
2013,,code.F,878.0
2014,,code.F,887.0
2015,,code.F,837.0
2016,,code.F,817.0
2017,,code.F,77.7
2018,,code.F,690.0
2007,,code.M,1405.0
2008,,code.M,1273.0
2009,,code.M,1229.0
2010,,code.M,1178.0
2011,,code.M,1193.0
2012,,code.M,1239.0
2013,,code.M,1174.0
2014,,code.M,1137.0
2015,,code.M,1131.0
2016,,code.M,1053.0
2017,,code.M,103.8
2018,,code.M,972.0
2007,code.KG05,,803.0
2008,code.KG05,,817.0
2009,code.KG05,,827.0
2010,code.KG05,,818.0
2011,code.KG05,,789.0
2012,code.KG05,,903.0
2013,code.KG05,,900.0
2014,code.KG05,,861.0
2015,code.KG05,,727.0
2016,code.KG05,,671.0
2017,code.KG05,,70.8
2018,code.KG05,,649.0
2007,code.KG05,code.F,708.0
2008,code.KG05,code.F,673.0
2009,code.KG05,code.F,813.0
2010,code.KG05,code.F,623.0
2011,code.KG05,code.F,639.0
2012,code.KG05,code.F,797.0
2013,code.KG05,code.F,810.0
2014,code.KG05,code.F,788.0
2015,code.KG05,code.F,631.0
2016,code.KG05,code.F,666.0
2017,code.KG05,code.F,65.7
2018,code.KG05,code.F,604.0
2007,code.KG05,code.M,897.0
2008,code.KG05,code.M,960.0
2009,code.KG05,code.M,840.0
2010,code.KG05,code.M,1008.0
2011,code.KG05,code.M,934.0
2012,code.KG05,code.M,1007.0
2013,code.KG05,code.M,988.0
2014,code.KG05,code.M,932.0
2015,code.KG05,code.M,820.0
2016,code.KG05,code.M,675.0
2017,code.KG05,code.M,75.7
2018,code.KG05,code.M,692.0
2007,code.KG03,,919.0
2008,code.KG03,,883.0
2009,code.KG03,,878.0
2010,code.KG03,,859.0
2011,code.KG03,,825.0
2012,code.KG03,,869.0
2013,code.KG03,,809.0
2014,code.KG03,,853.0
2015,code.KG03,,765.0
2016,code.KG03,,849.0
2017,code.KG03,,80.2
2018,code.KG03,,733.0
2007,code.KG03,code.F,752.0
2008,code.KG03,code.F,712.0
2009,code.KG03,code.F,718.0
2010,code.KG03,code.F,743.0
2011,code.KG03,code.F,730.0
2012,code.KG03,code.F,758.0
2013,code.KG03,code.F,743.0
2014,code.KG03,code.F,818.0
2015,code.KG03,code.F,662.0
2016,code.KG03,code.F,795.0
2017,code.KG03,code.F,72.8
2018,code.KG03,code.F,641.0
2007,code.KG03,code.M,1088.0
2008,code.KG03,code.M,1056.0
2009,code.KG03,code.M,1038.0
2010,code.KG03,code.M,976.0
2011,code.KG03,code.M,921.0
2012,code.KG03,code.M,980.0
2013,code.KG03,code.M,875.0
2014,code.KG03,code.M,888.0
2015,code.KG03,code.M,867.0
2016,code.KG03,code.M,903.0
2017,code.KG03,code.M,87.5
2018,code.KG03,code.M,825.0
2007,code.KG02,,748.0
2008,code.KG02,,657.0
2009,code.KG02,,683.0
2010,code.KG02,,673.0
2011,code.KG02,,683.0
2012,code.KG02,,701.0
2013,code.KG02,,700.0
2014,code.KG02,,640.0
2015,code.KG02,,585.0
2016,code.KG02,,604.0
2017,code.KG02,,48.6
2018,code.KG02,,489.0
2007,code.KG02,code.F,575.0
2008,code.KG02,code.F,568.0
2009,code.KG02,code.F,576.0
2010,code.KG02,code.F,550.0
2011,code.KG02,code.F,537.0
2012,code.KG02,code.F,572.0
2013,code.KG02,code.F,579.0
2014,code.KG02,code.F,513.0
2015,code.KG02,code.F,485.0
2016,code.KG02,code.F,538.0
2017,code.KG02,code.F,34.8
2018,code.KG02,code.F,348.0
2007,code.KG02,code.M,927.0
2008,code.KG02,code.M,748.0
2009,code.KG02,code.M,792.0
2010,code.KG02,code.M,798.0
2011,code.KG02,code.M,832.0
2012,code.KG02,code.M,832.0
2013,code.KG02,code.M,822.0
2014,code.KG02,code.M,768.0
2015,code.KG02,code.M,685.0
2016,code.KG02,code.M,671.0
2017,code.KG02,code.M,62.4
