Year,Reference area,Value
2007,,9.2
2008,,8.9
2009,,8.5
2010,,9.2
2011,,8.5
2012,,9.3
2013,,7.8
2014,,7.9
2015,,7
2016,,6.9
2017,,6.3
2018,,6
2007,Batken,6.6
2008,Batken,8.5
2009,Batken,7.4
2010,Batken,6.4
2011,Batken,8.5
2012,Batken,9.7
2013,Batken,6.9
2014,Batken,6.1
2015,Batken,8.2
2016,Batken,5.8
2017,Batken,6.1
2018,Batken,7.5
2007,Jalal-Abad,5.7
2008,Jalal-Abad,4.7
2009,Jalal-Abad,2.4
2010,Jalal-Abad,1.5
2011,Jalal-Abad,2.3
2012,Jalal-Abad,3.8
2013,Jalal-Abad,2.8
2014,Jalal-Abad,3.9
2015,Jalal-Abad,2.7
2016,Jalal-Abad,2.9
2017,Jalal-Abad,1.4
2018,Jalal-Abad,1.5
2007,Issyk-Kul,20
2008,Issyk-Kul,21.5
2009,Issyk-Kul,21.2
2010,Issyk-Kul,23
2011,Issyk-Kul,22
2012,Issyk-Kul,25.1
2013,Issyk-Kul,19.1
2014,Issyk-Kul,21
2015,Issyk-Kul,17.6
2016,Issyk-Kul,15.6
2017,Issyk-Kul,15
2018,Issyk-Kul,19.5
2007,Naryn,14.8
2008,Naryn,16.3
2009,Naryn,15.5
2010,Naryn,19.2
2011,Naryn,16.7
2012,Naryn,14.6
2013,Naryn,13
2014,Naryn,17.2
2015,Naryn,13.8
2016,Naryn,13.2
2017,Naryn,15.2
2018,Naryn,10.2
2007,Osh,4.6
2008,Osh,4.4
2009,Osh,4.5
2010,Osh,4.2
2011,Osh,4.7
2012,Osh,5.3
2013,Osh,6.2
2014,Osh,5.8
2015,Osh,4.4
2016,Osh,3.9
2017,Osh,3.8
2018,Osh,2.9
2007,Talas,4.9
2008,Talas,4
2009,Talas,7.5
2010,Talas,7.8
2011,Talas,5.1
2012,Talas,5.1
2013,Talas,12.4
2014,Talas,6.1
2015,Talas,8.4
2016,Talas,4.3
2017,Talas,3.1
2018,Talas,3.8
2007,Chui,15.8
2008,Chui,17.9
2009,Chui,17.8
2010,Chui,20.1
2011,Chui,17.2
2012,Chui,20.5
2013,Chui,14.2
2014,Chui,14.4
2015,Chui,13.8
2016,Chui,16.7
2017,Chui,15.2
2018,Chui,13.7
2007,Bishkek (city),10.3
2008,Bishkek (city),5.3
2009,Bishkek (city),5.7
2010,Bishkek (city),8.6
2011,Bishkek (city),6.5
2012,Bishkek (city),4.2
2013,Bishkek (city),3.8
2014,Bishkek (city),3.2
2015,Bishkek (city),2.5
2016,Bishkek (city),2.8
2017,Bishkek (city),2.4
2018,Bishkek (city),1.8
2007,Osh (city),2.3
2008,Osh (city),3.9
2009,Osh (city),4.3
2010,Osh (city),1.6
2011,Osh (city),1.6
2012,Osh (city),2.7
2013,Osh (city),1.1
2014,Osh (city),2.2
2015,Osh (city),1.8
2016,Osh (city),2.5
2017,Osh (city),2.5
2018,Osh (city),1.7
