Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2014,,code.Y15T49,,,,,420.0
2018,,code.Y15T49,,,,,674.0
2014,code.KG05,code.Y15T49,,,,,450.0
2018,code.KG05,code.Y15T49,,,,,486.0
2014,code.KG03,code.Y15T49,,,,,314.0
2018,code.KG03,code.Y15T49,,,,,562.0
2014,code.KG02,code.Y15T49,,,,,460.0
2018,code.KG02,code.Y15T49,,,,,651.0
2014,code.KG04,code.Y15T49,,,,,589.0
2018,code.KG04,code.Y15T49,,,,,798.0
2014,code.KG06,code.Y15T49,,,,,384.0
2018,code.KG06,code.Y15T49,,,,,711.0
2014,code.KG07,code.Y15T49,,,,,434.0
2018,code.KG07,code.Y15T49,,,,,791.0
2014,code.KG08,code.Y15T49,,,,,478.0
2018,code.KG08,code.Y15T49,,,,,707.0
2014,code.KG11,code.Y15T49,,,,,470.0
2018,code.KG11,code.Y15T49,,,,,696.0
2014,code.KG21,code.Y15T49,,,,,383.0
2018,code.KG21,code.Y15T49,,,,,713.0
2014,,code.Y15T49,code.U,,,,431.0
2018,,code.Y15T49,code.U,,,,686.0
2014,,code.Y15T49,code.R,,,,414.0
2018,,code.Y15T49,code.R,,,,667.0
2014,,code.Y15T19,,,,,174.0
2018,,code.Y15T19,,,,,317.0
2014,,code.Y20T24,,,,,289.0
2018,,code.Y20T24,,,,,538.0
2014,,code.Y25T29,,,,,392.0
2018,,code.Y25T29,,,,,599.0
2014,,code.Y30T34,,,,,504.0
2018,,code.Y30T34,,,,,762.0
2014,,code.Y35T39,,,,,572.0
2018,,code.Y35T39,,,,,745.0
2014,,code.Y40T44,,,,,522.0
2018,,code.Y40T44,,,,,687.0
2014,,code.Y45T49,,,,,293.0
2018,,code.Y45T49,,,,,660.0
2014,,code.Y15T49,,,code.ISCED11_1,,20.4
2014,,code.Y15T49,,,code.ISCED11_2,,365.0
2018,,code.Y15T49,,,code.ISCED11_2,,678.0
2014,,code.Y15T49,,,code.ISCED11_3,,421.0
2018,,code.Y15T49,,,code.ISCED11_3,,629.0
2014,,code.Y15T49,,,code.ISCED11_4,,433.0
2018,,code.Y15T49,,,code.ISCED11_4,,662.0
2014,,code.Y15T49,,,code.ISCED11_5,,437.0
2018,,code.Y15T49,,,code.ISCED11_5,,743.0
2018,,code.Y15T49,,,,code.PD,816.0
2018,,code.Y15T49,,,,code.PWD,671.0
2014,,code.Y15T49,,code.Q1,,,425.0
2018,,code.Y15T49,,code.Q1,,,665.0
2014,,code.Y15T49,,code.Q2,,,378.0
2018,,code.Y15T49,,code.Q2,,,607.0
2014,,code.Y15T49,,code.Q3,,,391.0
2018,,code.Y15T49,,code.Q3,,,692.0
2014,,code.Y15T49,,code.Q4,,,451.0
2018,,code.Y15T49,,code.Q4,,,693.0
2014,,code.Y15T49,,code.Q5,,,453.0
2018,,code.Y15T49,,code.Q5,,,714.0
