Year,concept.REF_AREA,Value
2007,,941.0
2008,,953.0
2009,,954.0
2010,,965.0
2011,,951.0
2012,,962.0
2013,,969.0
2014,,958.0
2015,,966.0
2016,,961.0
2017,,934.0
2018,,945.0
2007,code.KG05,934.0
2008,code.KG05,968.0
2009,code.KG05,954.0
2010,code.KG05,968.0
2011,code.KG05,967.0
2012,code.KG05,983.0
2013,code.KG05,977.0
2014,code.KG05,989.0
2015,code.KG05,986.0
2016,code.KG05,981.0
2017,code.KG05,967.0
2018,code.KG05,966.0
2007,code.KG03,936.0
2008,code.KG03,956.0
2009,code.KG03,959.0
2010,code.KG03,959.0
2011,code.KG03,942.0
2012,code.KG03,959.0
2013,code.KG03,978.0
2014,code.KG03,948.0
2015,code.KG03,961.0
2016,code.KG03,958.0
2017,code.KG03,938.0
2018,code.KG03,961.0
2007,code.KG02,939.0
2008,code.KG02,952.0
2009,code.KG02,953.0
2010,code.KG02,972.0
2011,code.KG02,936.0
2012,code.KG02,969.0
2013,code.KG02,973.0
2014,code.KG02,913.0
2015,code.KG02,980.0
2016,code.KG02,959.0
2017,code.KG02,961.0
2018,code.KG02,950.0
2007,code.KG04,944.0
2008,code.KG04,952.0
2009,code.KG04,953.0
2010,code.KG04,968.0
2011,code.KG04,955.0
2012,code.KG04,974.0
2013,code.KG04,980.0
2014,code.KG04,976.0
2015,code.KG04,972.0
2016,code.KG04,968.0
2017,code.KG04,970.0
2018,code.KG04,948.0
2007,code.KG06,944.0
2008,code.KG06,945.0
2009,code.KG06,951.0
2010,code.KG06,955.0
2011,code.KG06,936.0
2012,code.KG06,930.0
2013,code.KG06,962.0
2014,code.KG06,983.0
2015,code.KG06,971.0
2016,code.KG06,985.0
2017,code.KG06,966.0
2018,code.KG06,958.0
2007,code.KG07,940.0
2008,code.KG07,948.0
2009,code.KG07,946.0
2010,code.KG07,968.0
2011,code.KG07,953.0
2012,code.KG07,960.0
2013,code.KG07,962.0
2014,code.KG07,934.0
2015,code.KG07,968.0
2016,code.KG07,952.0
2017,code.KG07,931.0
2018,code.KG07,953.0
2007,code.KG08,940.0
2008,code.KG08,955.0
2009,code.KG08,955.0
2010,code.KG08,963.0
2011,code.KG08,968.0
2012,code.KG08,976.0
2013,code.KG08,963.0
2014,code.KG08,960.0
2015,code.KG08,970.0
2016,code.KG08,975.0
2017,code.KG08,918.0
2018,code.KG08,925.0
2007,code.KG11,950.0
2008,code.KG11,949.0
2009,code.KG11,955.0
2010,code.KG11,968.0
2011,code.KG11,964.0
2012,code.KG11,972.0
2013,code.KG11,966.0
2014,code.KG11,937.0
2015,code.KG11,940.0
2016,code.KG11,905.0
2017,code.KG11,865.0
2018,code.KG11,903.0
2007,code.KG21,952.0
2008,code.KG21,967.0
2009,code.KG21,954.0
2010,code.KG21,957.0
2011,code.KG21,952.0
2012,code.KG21,985.0
2013,code.KG21,992.0
2014,code.KG21,960.0
2015,code.KG21,976.0
2016,code.KG21,967.0
2017,code.KG21,980.0
2018,code.KG21,952.0
2007,,98.8
2008,,99.1
2009,,98.9
2010,,98.3
2011,,97.2
2012,,97.7
2013,,987.0
2014,,95.6
2015,,99.1
2016,,97.0
2017,,94.7
2018,,962.0
2007,code.KG05,99.2
2008,code.KG05,990.0
2009,code.KG05,99.9
2010,code.KG05,97.2
2011,code.KG05,95.7
2012,code.KG05,1000.0
2013,code.KG05,99.9
2014,code.KG05,98.9
2015,code.KG05,97.6
2016,code.KG05,99.9
2017,code.KG05,98.7
2018,code.KG05,925.0
2007,code.KG03,97.8
2008,code.KG03,99.2
2009,code.KG03,98.3
2010,code.KG03,98.3
2011,code.KG03,1000.0
2012,code.KG03,990.0
2013,code.KG03,99.6
2014,code.KG03,91.7
2015,code.KG03,1000.0
2016,code.KG03,957.0
2017,code.KG03,888.0
2018,code.KG03,935.0
2007,code.KG02,990.0
2008,code.KG02,99.7
2009,code.KG02,99.7
2010,code.KG02,99.2
2011,code.KG02,96.9
2012,code.KG02,95.7
2013,code.KG02,97.4
2014,code.KG02,95.6
2015,code.KG02,98.9
2016,code.KG02,97.7
2017,code.KG02,95.1
2018,code.KG02,965.0
2007,code.KG04,99.4
2008,code.KG04,99.1
2009,code.KG04,98.9
2010,code.KG04,99.5
2011,code.KG04,96.7
2012,code.KG04,97.6
2013,code.KG04,97.3
2014,code.KG04,97.7
2015,code.KG04,98.1
2016,code.KG04,98.1
2017,code.KG04,970.0
2018,code.KG04,976.0
2007,code.KG06,98.9
2008,code.KG06,99.5
2009,code.KG06,99.8
2010,code.KG06,99.7
2011,code.KG06,94.7
2012,code.KG06,96.6
2013,code.KG06,97.9
2014,code.KG06,96.1
2015,code.KG06,990.0
2016,code.KG06,992.0
2017,code.KG06,968.0
2018,code.KG06,981.0
2007,code.KG07,98.6
2008,code.KG07,99.2
2009,code.KG07,97.6
2010,code.KG07,97.1
2011,code.KG07,97.7
2012,code.KG07,98.8
2013,code.KG07,97.7
2014,code.KG07,94.3
2015,code.KG07,97.1
2016,code.KG07,970.0
2017,code.KG07,95.6
2018,code.KG07,984.0
2007,code.KG08,99.1
2008,code.KG08,97.4
2009,code.KG08,98.7
2010,code.KG08,96.4
2011,code.KG08,97.1
2012,code.KG08,96.4
2013,code.KG08,99.3
2014,code.KG08,96.5
2015,code.KG08,98.6
2016,code.KG08,950.0
2017,code.KG08,96.3
2018,code.KG08,974.0
2007,code.KG11,99.8
2008,code.KG11,99.9
2009,code.KG11,98.6
2010,code.KG11,990.0
2011,code.KG11,97.4
2012,code.KG11,97.7
2013,code.KG11,98.4
2014,code.KG11,95.6
2015,code.KG11,998.0
2016,code.KG11,951.0
2017,code.KG11,917.0
2018,code.KG11,963.0
2007,code.KG21,98.8
2008,code.KG21,98.9
2009,code.KG21,98.2
2010,code.KG21,97.4
2011,code.KG21,99.7
2012,code.KG21,98.1
2013,code.KG21,98.7
2014,code.KG21,99.9
2015,code.KG21,99.7
2016,code.KG21,96.8
2017,code.KG21,97.7
2018,code.KG21,994.0
2015,,968.0
2016,,972.0
2017,,942.0
2018,,920.0
2015,code.KG05,973.0
2016,code.KG05,993.0
2017,code.KG05,963.0
2018,code.KG05,946.0
2015,code.KG03,973.0
2016,code.KG03,959.0
2017,code.KG03,945.0
2018,code.KG03,938.0
2015,code.KG02,982.0
2016,code.KG02,964.0
2017,code.KG02,963.0
2018,code.KG02,950.0
2015,code.KG04,968.0
2016,code.KG04,967.0
2017,code.KG04,970.0
2018,code.KG04,951.0
2015,code.KG06,963.0
2016,code.KG06,988.0
2017,code.KG06,972.0
2018,code.KG06,921.0
2015,code.KG07,972.0
2016,code.KG07,961.0
2017,code.KG07,940.0
2018,code.KG07,960.0
2015,code.KG08,976.0
2016,code.KG08,987.0
2017,code.KG08,926.0
2018,code.KG08,921.0
2015,code.KG11,950.0
2016,code.KG11,948.0
2017,code.KG11,904.0
2018,code.KG11,834.0
2015,code.KG21,979.0
2016,code.KG21,968.0
2017,code.KG21,900.0
2018,code.KG21,939.0
