Year,Показатель,Разбивка,Value
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",,21
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",,19
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,17.1
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,16.5
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",16.9
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",16.2
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",15.4
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",14.2
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,9.7
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,9.1
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",6.2
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",7.5
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",5.8
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",6.3
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",8.9
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",8.4
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,8.4
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,8.8
2018,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,2
2023,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,1.7
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",,29.7
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",,29.4
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,23.8
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,25
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",23.4
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",23.9
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",21.2
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",19.5
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,13.6
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,12.8
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",7.3
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",9
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",7.5
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",7.2
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",13.2
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",11.9
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,12.1
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,10.7
2018,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,3.2
2023,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,1.4
