Year,Sex,Unit measure,Observation status,Unit multiplier,Value
2007,Female,Percent,Normal value,Units,31.5
2008,Female,Percent,Normal value,Units,31.9
2009,Female,Percent,Normal value,Units,30.6
2010,Female,Percent,Normal value,Units,32.3
2011,Female,Percent,Normal value,Units,28.9
2012,Female,Percent,Normal value,Units,32.3
2013,Female,Percent,Normal value,Units,27.5
2014,Female,Percent,Normal value,Units,33.4
2015,Female,Percent,Normal value,Units,36.1
2016,Female,Percent,Normal value,Units,34.9
2017,Female,Percent,Normal value,Units,36.2
