Year,concept.REF_AREA,concept.SEX,Value
2010,,,7.8
2011,,,7.6
2012,,,7.6
2013,,,6.9
2014,,,6.9
2015,,,7.4
2016,,,7.6
2017,,,10.1
2018,,,120.0
2010,code.KG05,,6.4
2011,code.KG05,,6.4
2012,code.KG05,,5.7
2013,code.KG05,,3.1
2014,code.KG05,,3.0
2015,code.KG05,,2.3
2016,code.KG05,,2.4
2017,code.KG05,,4.5
2018,code.KG05,,6.9
2010,code.KG03,,3.1
2011,code.KG03,,3.3
2012,code.KG03,,4.3
2013,code.KG03,,5.1
2014,code.KG03,,5.3
2015,code.KG03,,5.5
2016,code.KG03,,5.4
2017,code.KG03,,8.9
2018,code.KG03,,15.3
2010,code.KG02,,3.2
2011,code.KG02,,3.7
2012,code.KG02,,4.1
2013,code.KG02,,4.1
2014,code.KG02,,4.2
2015,code.KG02,,4.7
2016,code.KG02,,5.3
2017,code.KG02,,6.4
2018,code.KG02,,8.2
2010,code.KG04,,2.4
2011,code.KG04,,1.6
2012,code.KG04,,1.6
2013,code.KG04,,1.4
2014,code.KG04,,0.9
2015,code.KG04,,1.1
2016,code.KG04,,1.4
2017,code.KG04,,2.3
2018,code.KG04,,3.9
2010,code.KG06,,63.0
2011,code.KG06,,5.9
2012,code.KG06,,5.4
2013,code.KG06,,2.7
2014,code.KG06,,2.8
2015,code.KG06,,3.4
2016,code.KG06,,3.3
2017,code.KG06,,4.7
2018,code.KG06,,6.7
2010,code.KG07,,2.6
2011,code.KG07,,30.0
2012,code.KG07,,3.1
2013,code.KG07,,3.0
2014,code.KG07,,2.2
2015,code.KG07,,1.9
2016,code.KG07,,2.1
2017,code.KG07,,3.6
2018,code.KG07,,3.8
2010,code.KG08,,14.3
2011,code.KG08,,14.3
2012,code.KG08,,14.8
2013,code.KG08,,13.7
2014,code.KG08,,13.7
2015,code.KG08,,15.1
2016,code.KG08,,16.0
2017,code.KG08,,21.6
2018,code.KG08,,21.4
2010,code.KG11,,14.5
2011,code.KG11,,13.6
2012,code.KG11,,12.8
2013,code.KG11,,13.5
2014,code.KG11,,13.5
2015,code.KG11,,14.8
2016,code.KG11,,15.4
2017,code.KG11,,16.1
2018,code.KG11,,16.4
2013,code.KG21,,7.5
2014,code.KG21,,7.8
2015,code.KG21,,5.1
2016,code.KG21,,5.1
2017,code.KG21,,7.6
2018,code.KG21,,8.5
2010,,code.F,9.3
2011,,code.F,88.0
2012,,code.F,90.0
2013,,code.F,8.8
2014,,code.F,8.9
2015,,code.F,8.4
2016,,code.F,9.1
2017,,code.F,11.3
2018,,code.F,12.5
2010,,code.M,6.7
2011,,code.M,68.0
2012,,code.M,66.0
2013,,code.M,5.7
2014,,code.M,5.6
2015,,code.M,6.7
2016,,code.M,6.7
2017,,code.M,9.3
2018,,code.M,11.7
