Indicator,Disaggregations,Number of disaggregations
#1-1-1,concept.REF_AREA,1
#1-1-1-1a,"concept.REF_AREA, concept.URBANISATION",2
#1-2-1,"concept.REF_AREA, concept.SEX, concept.AGE",3
#1-2-1-1a,"concept.SEX, concept.AGE, concept.URBANISATION, concept.ACTIVITY",4
#1-2-2,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION",4
#1-3-1,concept.REF_AREA,1
#1-3-1-1e,concept.SEX,1
#1-4-1,"Показатель, Территория, Местность, Образование главы домохозяйства, Квинтиль индекса благосостояния",5
#1-5-1,"Территория, Пол",2
#1-5-2,concept.REF_AREA,1
#1-b-1-1,concept.COMPOSITE_BREAKDOWN,1
#10-1-1,concept.INCOME_WEALTH_QUANTILE,1
#10-2-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE",5
#11-2-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#11-5-1,"Территория, Пол",2
#11-5-2,concept.REF_AREA,1
#11-6-1-1a,concept.COMPOSITE_BREAKDOWN,1
#11-7-1-1a,concept.REF_AREA,1
#13-1-1,"concept.REF_AREA, concept.SEX",2
#15-1-1-1,concept.REF_AREA,1
#15-1-2,Показатель,1
#15-3-1-1,concept.COMPOSITE_BREAKDOWN,1
#15-5-1-1,concept.COMPOSITE_BREAKDOWN,1
#15-7-1-1,concept.COMPOSITE_BREAKDOWN,1
#15-b-1-1,concept.COMPOSITE_BREAKDOWN,1
#15-c-1-1,concept.COMPOSITE_BREAKDOWN,1
#16-1-1,concept.REF_AREA,1
#16-1-1-1,concept.REF_AREA,1
#16-1-3,"Территория, Местность, Возраст (лет), Образование",4
#16-1-4,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#16-1-4-1a,concept.REF_AREA,1
#16-2-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.DISABILITY_STATUS",6
#16-3-1,concept.URBANISATION,1
#16-5-1-1a,concept.REF_AREA,1
#16-5-1-1b,concept.SEX,1
#16-6-1,concept.COMPOSITE_BREAKDOWN,1
#16-6-2-1a,concept.REF_AREA,1
#16-9-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",7
#16-b-1,"concept.REF_AREA, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",6
#16-b-1-1,"concept.REF_AREA, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",6
#17-1-1,concept.COMPOSITE_BREAKDOWN,1
#17-3-1-1a,concept.ACTIVITY,1
#17-6-2,concept.COMPOSITE_BREAKDOWN,1
#17-8-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#2-1-1,"concept.REF_AREA, concept.URBANISATION",2
#2-1-1-1e,concept.PRODUCT,1
#2-2-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#2-2-2,concept.REF_AREA,1
#2-c-1-1b,concept.REF_AREA,1
#3-1-1,concept.REF_AREA,1
#3-1-2,concept.REF_AREA,1
#3-2-1,concept.REF_AREA,1
#3-2-2,concept.REF_AREA,1
#3-3-1,"concept.REF_AREA, concept.AGE",2
#3-3-2,"concept.REF_AREA, concept.SEX",2
#3-3-3,concept.REF_AREA,1
#3-3-4,"concept.REF_AREA, concept.SEX",2
#3-4-1,"concept.REF_AREA, concept.COMPOSITE_BREAKDOWN",2
#3-4-2,concept.REF_AREA,1
#3-5-1-1,"concept.REF_AREA, concept.SEX",2
#3-5-2-1,"concept.REF_AREA, concept.SEX",2
#3-6-1,concept.REF_AREA,1
#3-7-1,"concept.REF_AREA, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",6
#3-7-2,concept.REF_AREA,1
#3-9-1-1,"concept.REF_AREA, concept.SEX",2
#3-9-2,concept.REF_AREA,1
#3-9-3,concept.REF_AREA,1
#3-b-1,concept.REF_AREA,1
#3-c-1,concept.OCCUPATION,1
#4-1-1,"Показатель, Территория, Местность, Квинтиль индекса благосостояния, Возраст, Образование матери, Функциональные трудности у ребенка, Функциональные трудности у матери",8
#4-1-1-1a,"concept.SEX, concept.COMPOSITE_BREAKDOWN",2
#4-2-1,"concept.REF_AREA, concept.SEX, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",4
#4-2-2-1a,"concept.REF_AREA, concept.URBANISATION",2
#4-3-1-1,"concept.SEX, concept.AGE, concept.EDUCATION_LEV",3
#4-4-1,"concept.COMPOSITE_BREAKDOWN, concept.AGE",2
#4-4-1-1a,"concept.SEX, concept.EDUCATION_LEV",2
#4-b-1-1,concept.COMPOSITE_BREAKDOWN,1
#4-c-1-1,concept.COMPOSITE_BREAKDOWN,1
#5-2-1-1b,"concept.SEX, concept.COMPOSITE_BREAKDOWN, concept.AGE, concept.EDUCATION_LEV",4
#5-3-1,"concept.REF_AREA, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",4
#5-6-1-1,"concept.REF_AREA, concept.URBANISATION",2
#5-b-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#6-1-1,"concept.REF_AREA, concept.URBANISATION",2
#6-2-1,"concept.REF_AREA, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",4
#6-2-1-1,concept.REF_AREA,1
#6-3-1,concept.REF_AREA,1
#6-4-1-2,concept.REF_AREA,1
#6-4-2-1,"concept.REF_AREA, concept.COMPOSITE_BREAKDOWN",2
#6-a-1-1,Показатель,1
#7-1-1,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#7-1-2,"concept.REF_AREA, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",4
#7-3-1-2,concept.ACTIVITY,1
#8-10-2,"concept.REF_AREA, concept.SEX, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV",6
#8-3-1-1,"concept.SEX, concept.AGE, concept.URBANISATION, concept.ACTIVITY",4
#8-5-1-1,"concept.SEX, concept.ACTIVITY",2
#8-5-2,"concept.REF_AREA, concept.SEX, concept.AGE",3
#8-6-1,concept.SEX,1
#8-7-1,"concept.REF_AREA, concept.SEX, concept.COMPOSITE_BREAKDOWN, concept.AGE, concept.URBANISATION, concept.INCOME_WEALTH_QUANTILE, concept.EDUCATION_LEV, concept.DISABILITY_STATUS",8
#8-8-1,"concept.REF_AREA, concept.SEX",2
#9-1-2,concept.COMPOSITE_BREAKDOWN,1
#9-2-2,"concept.REF_AREA, concept.SEX",2
#9-4-1-1,concept.COMPOSITE_BREAKDOWN,1
