Year,Reference area,GeoCode,Value
2007,,,19.5
2008,,,18.6
2009,,,18.6
2010,,,18.5
2011,,,19.0
2012,,,18.5
2013,,,17.9
2014,,,17.3
2015,,,17.1
2016,,,16.6
2017,,,16.8
2018,,,16.6
2019,,,17.1
2020,,,17.7
2021,,,18.0
2007,Batken,KG05,2.109664
2008,Batken,KG05,1.934128
2009,Batken,KG05,1.92383
2010,Batken,KG05,1.874444
2011,Batken,KG05,1.930035
2012,Batken,KG05,1.845624
2013,Batken,KG05,1.795079
2014,Batken,KG05,1.762407
2015,Batken,KG05,1.659097
2016,Batken,KG05,1.495586
2017,Batken,KG05,1.484306
2018,Batken,KG05,1.525503
2019,Batken,KG05,1.6
2020,Batken,KG05,1.700698
2021,Batken,KG05,1.748027
2007,Jalal-Abad,KG03,4.616846
2008,Jalal-Abad,KG03,4.193013
2009,Jalal-Abad,KG03,4.11681
2010,Jalal-Abad,KG03,4.091247
2011,Jalal-Abad,KG03,4.27976
2012,Jalal-Abad,KG03,4.13553
2013,Jalal-Abad,KG03,4.101223
2014,Jalal-Abad,KG03,3.951307
2015,Jalal-Abad,KG03,3.864138
2016,Jalal-Abad,KG03,3.746523
2017,Jalal-Abad,KG03,3.792716
2018,Jalal-Abad,KG03,3.804116
2019,Jalal-Abad,KG03,3.9
2020,Jalal-Abad,KG03,4.079253
2021,Jalal-Abad,KG03,4.11126
2007,Issyk-Kul,KG02,1.504927
2008,Issyk-Kul,KG02,1.39314
2009,Issyk-Kul,KG02,1.390619
2010,Issyk-Kul,KG02,1.43283
2011,Issyk-Kul,KG02,1.496891
2012,Issyk-Kul,KG02,1.460728
2013,Issyk-Kul,KG02,1.410681
2014,Issyk-Kul,KG02,1.397339
2015,Issyk-Kul,KG02,1.366613
2016,Issyk-Kul,KG02,1.391437
2017,Issyk-Kul,KG02,1.400236
2018,Issyk-Kul,KG02,1.390469
2019,Issyk-Kul,KG02,1.5
2020,Issyk-Kul,KG02,1.496564
2021,Issyk-Kul,KG02,1.522574
2007,Naryn,KG04,1.671366
2008,Naryn,KG04,1.457214
2009,Naryn,KG04,1.423568
2010,Naryn,KG04,1.503572
2011,Naryn,KG04,1.575064
2012,Naryn,KG04,1.53011
2013,Naryn,KG04,1.430693
2014,Naryn,KG04,1.366601
2015,Naryn,KG04,1.342043
2016,Naryn,KG04,1.284926
2017,Naryn,KG04,1.288293
2018,Naryn,KG04,1.232146
2019,Naryn,KG04,1.2
2020,Naryn,KG04,1.23454
2021,Naryn,KG04,1.232652
2007,Osh,KG06,4.940158
2008,Osh,KG06,4.693844
2009,Osh,KG06,4.778368
2010,Osh,KG06,4.700996
2011,Osh,KG06,4.715643
2012,Osh,KG06,4.506557
2013,Osh,KG06,4.296044
2014,Osh,KG06,4.013868
2015,Osh,KG06,4.015779
2016,Osh,KG06,3.788525
2017,Osh,KG06,3.868011
2018,Osh,KG06,3.639299
2019,Osh,KG06,3.8
2020,Osh,KG06,3.918242
2021,Osh,KG06,4.086539
2007,Talas,KG07,0.73051
2008,Talas,KG07,0.843038
2009,Talas,KG07,0.816328
2010,Talas,KG07,0.784158
2011,Talas,KG07,0.825505
2012,Talas,KG07,0.806951
2013,Talas,KG07,0.784064
2014,Talas,KG07,0.772172
2015,Talas,KG07,0.795667
2016,Talas,KG07,0.823182
2017,Talas,KG07,0.858228
2018,Talas,KG07,0.833649
2019,Talas,KG07,0.9
2020,Talas,KG07,0.84723
2021,Talas,KG07,0.848766
2007,Chui,KG08,1.958299
2008,Chui,KG08,1.994251
2009,Chui,KG08,1.939437
2010,Chui,KG08,1.922485
2011,Chui,KG08,1.949861
2012,Chui,KG08,1.969888
2013,Chui,KG08,1.916154
2014,Chui,KG08,1.902321
2015,Chui,KG08,1.905696
2016,Chui,KG08,1.915556
2017,Chui,KG08,1.90932
2018,Chui,KG08,1.9317
2019,Chui,KG08,1.9
2020,Chui,KG08,2.085763
2021,Chui,KG08,2.145666
2007,Bishkek (city),KG11,1.509824
2008,Bishkek (city),KG11,1.790383
2009,Bishkek (city),KG11,1.762552
2010,Bishkek (city),KG11,1.755274
2011,Bishkek (city),KG11,1.761641
2012,Bishkek (city),KG11,1.798812
2013,Bishkek (city),KG11,1.753774
2014,Bishkek (city),KG11,1.74105
2015,Bishkek (city),KG11,1.736014
2016,Bishkek (city),KG11,1.742989
2017,Bishkek (city),KG11,1.766738
2018,Bishkek (city),KG11,1.77006
2019,Bishkek (city),KG11,1.8
2020,Bishkek (city),KG11,1.80031
2021,Bishkek (city),KG11,1.821478
2007,Osh (city),KG21,0.492895
2008,Osh (city),KG21,0.48253
2009,Osh (city),KG21,0.463676
2010,Osh (city),KG21,0.473654
2011,Osh (city),KG21,0.470606
2012,Osh (city),KG21,0.460852
2013,Osh (city),KG21,0.454024
2014,Osh (city),KG21,0.452311
2015,Osh (city),KG21,0.452797
2016,Osh (city),KG21,0.445767
2017,Osh (city),KG21,0.446591
2018,Osh (city),KG21,0.455388
2019,Osh (city),KG21,0.5
2020,Osh (city),KG21,0.492165
2021,Osh (city),KG21,0.519895
