Year,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2018,,15 to 49 years old,,,,,,7.7
2023,,15 to 49 years old,,,,,,6.2
2018,,15 to 49 years old,Urban,,,,,7.9
2023,,15 to 49 years old,Urban,,,,,7.4
2018,,15 to 49 years old,Rural,,,,,7.6
2023,,15 to 49 years old,Rural,,,,,5.6
2018,Batken,15 to 49 years old,,,,,KG05,0.4
2023,Batken,15 to 49 years old,,,,,KG05,4.3
2018,Jalal-Abad,15 to 49 years old,,,,,KG03,7.3
2023,Jalal-Abad,15 to 49 years old,,,,,KG03,7.1
2018,Issyk-Kul,15 to 49 years old,,,,,KG02,1.7
2023,Issyk-Kul,15 to 49 years old,,,,,KG02,2.5
2018,Naryn,15 to 49 years old,,,,,KG04,2.8
2023,Naryn,15 to 49 years old,,,,,KG04,2.9
2018,Osh,15 to 49 years old,,,,,KG06,6.5
2023,Osh,15 to 49 years old,,,,,KG06,3.4
2018,Talas,15 to 49 years old,,,,,KG07,50.0
2023,Talas,15 to 49 years old,,,,,KG07,19.0
2018,Chui,15 to 49 years old,,,,,KG08,16.6
2023,Chui,15 to 49 years old,,,,,KG08,9.3
2018,Bishkek (city),15 to 49 years old,,,,,KG11,8.7
2023,Bishkek (city),15 to 49 years old,,,,,KG11,7.1
2018,Osh (city),15 to 49 years old,,,,,KG21,70.0
2023,Osh (city),15 to 49 years old,,,,,KG21,149.0
2018,,15 to 19 years old,,,,,,6.5
2023,,15 to 19 years old,,,,,,5.3
2018,,15 to 17 years old,,,,,,5.7
2023,,15 to 17 years old,,,,,,3.5
2018,,18 to 19 years old,,,,,,8.3
2023,,18 to 19 years old,,,,,,10.0
2018,,20 to 24 years old,,,,,,9.1
2023,,20 to 24 years old,,,,,,5.3
2018,,25 to 29 years old,,,,,,7.1
2023,,25 to 29 years old,,,,,,5.5
2018,,30 to 34 years old,,,,,,8.8
2023,,30 to 34 years old,,,,,,7.7
2018,,35 to 39 years old,,,,,,8.7
2023,,35 to 39 years old,,,,,,6.8
2018,,40 to 44 years old,,,,,,6.4
2023,,40 to 44 years old,,,,,,5.8
2018,,45 to 49 years old,,,,,,70.0
2023,,45 to 49 years old,,,,,,70.0
2018,,15 to 49 years old,,,Primary education,,,140.0
2023,,15 to 49 years old,,,Primary education,,,75.0
2018,,15 to 49 years old,,,Lower secondary education,,,59.0
2023,,15 to 49 years old,,,Lower secondary education,,,61.0
2018,,15 to 49 years old,,,Upper secondary education,,,69.0
2023,,15 to 49 years old,,,Upper secondary education,,,49.0
2018,,15 to 49 years old,,,Post-secondary non-tertiary education,,,82.0
2023,,15 to 49 years old,,,Post-secondary non-tertiary education,,,64.0
2018,,18 to 49 years old,,,,Persons with disability,,207.0
2023,,18 to 49 years old,,,,Persons with disability,,323.0
2018,,18 to 49 years old,,,,Persons without disability,,76.0
2023,,18 to 49 years old,,,,Persons without disability,,61.0
2018,,15 to 49 years old,,Quintile 1 (poorest),,,,60.0
2023,,15 to 49 years old,,Quintile 1 (poorest),,,,67.0
2018,,15 to 49 years old,,Quintile 2,,,,67.0
2023,,15 to 49 years old,,Quintile 2,,,,57.0
2018,,15 to 49 years old,,Quintile 3,,,,97.0
2023,,15 to 49 years old,,Quintile 3,,,,50.0
2018,,15 to 49 years old,,Quintile 4,,,,71.0
2023,,15 to 49 years old,,Quintile 4,,,,64.0
2018,,15 to 49 years old,,Quintile 5 (richest),,,,88.0
2023,,15 to 49 years old,,Quintile 5 (richest),,,,71.0
