Year,Type of product,Value
2010,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2011,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2012,"Meat and meat products in meat equivalent, including bacon and offal",60.195759
2013,"Meat and meat products in meat equivalent, including bacon and offal",55.138662
2014,"Meat and meat products in meat equivalent, including bacon and offal",56.443719
2015,"Meat and meat products in meat equivalent, including bacon and offal",64.600326
2016,"Meat and meat products in meat equivalent, including bacon and offal",63.132137
2017,"Meat and meat products in meat equivalent, including bacon and offal",62.805873
2018,"Meat and meat products in meat equivalent, including bacon and offal",76.508972
2019,"Meat and meat products in meat equivalent, including bacon and offal",71.125612
2020,"Meat and meat products in meat equivalent, including bacon and offal",70.96248
2021,"Meat and meat products in meat equivalent, including bacon and offal",72.920065
2022,"Meat and meat products in meat equivalent, including bacon and offal",76.508972
2010,Milk and dairy products in milk equivalent,106.2
2011,Milk and dairy products in milk equivalent,106.5
2012,Milk and dairy products in milk equivalent,105.75
2013,Milk and dairy products in milk equivalent,107.5
2014,Milk and dairy products in milk equivalent,107.8
2015,Milk and dairy products in milk equivalent,113.15
2016,Milk and dairy products in milk equivalent,112.25
2017,Milk and dairy products in milk equivalent,111.65
2018,Milk and dairy products in milk equivalent,112.15
2019,Milk and dairy products in milk equivalent,110.6
2020,Milk and dairy products in milk equivalent,109.3
2021,Milk and dairy products in milk equivalent,110.95
2022,Milk and dairy products in milk equivalent,110.15
2010,Eggs,43.506849
2011,Eggs,45.041096
2012,Eggs,44.273973
2013,Eggs,45.479452
2014,Eggs,44.767123
2015,Eggs,47.287671
2016,Eggs,43.835616
2017,Eggs,47.123288
2018,Eggs,48.876712
2019,Eggs,53.424658
2020,Eggs,55.178082
2021,Eggs,56.821918
2022,Eggs,66.630137
2010,Sugar,83.203125
2011,Sugar,83.59375
2012,Sugar,78.125
2013,Sugar,82.03125
2014,Sugar,76.953125
2015,Sugar,71.875
2016,Sugar,85.9375
2017,Sugar,89.0625
2018,Sugar,99.609375
2019,Sugar,98.4375
2020,Sugar,62.890625
2021,Sugar,92.578125
2022,Sugar,102.34375
2010,Vegetable oils,131.393493
2011,Vegetable oils,129.24425
2012,Vegetable oils,120.0
2013,Vegetable oils,138.9
2014,Vegetable oils,141.1
2015,Vegetable oils,142.2
2016,Vegetable oils,117.8
2017,Vegetable oils,114.4
2018,Vegetable oils,124.863089
2019,Vegetable oils,134.720701
2020,Vegetable oils,166.484118
2021,Vegetable oils,167.579409
2022,Vegetable oils,187.294633
2010,Potatoes,98.181818
2011,Potatoes,99.494949
2012,Potatoes,99.393939
2013,Potatoes,99.494949
2014,Potatoes,99.494949
2015,Potatoes,108.282828
2016,Potatoes,108.282828
2017,Potatoes,107.7
2018,Potatoes,146.450304
2019,Potatoes,128.397566
2020,Potatoes,107.809331
2021,Potatoes,109.533469
2022,Potatoes,107.200811
2010,Vegetables and gourds,131.3
2011,Vegetables and gourds,131.2
2012,Vegetables and gourds,131.052632
2013,Vegetables and gourds,130.701754
2014,Vegetables and gourds,131.578947
2015,Vegetables and gourds,139.473684
2016,Vegetables and gourds,141.403509
2017,Vegetables and gourds,153.0
2018,Vegetables and gourds,163.954506
2019,Vegetables and gourds,143.482065
2020,Vegetables and gourds,161.417323
2021,Vegetables and gourds,152.143482
2022,Vegetables and gourds,155.380577
2010,Fruits and berries,24.193548
2011,Fruits and berries,23.225806
2012,Fruits and berries,19.274194
2013,Fruits and berries,21.612903
2014,Fruits and berries,23.467742
2015,Fruits and berries,25.16129
2016,Fruits and berries,34.919355
2017,Fruits and berries,34.5
2018,Fruits and berries,27.081649
2019,Fruits and berries,33.872272
2020,Fruits and berries,26.919968
2021,Fruits and berries,26.273242
2022,Fruits and berries,36.054972
2010,Wheat and wheat products in flour equivalent,146.666259
2011,Wheat and wheat products in flour equivalent,146.492793
2012,Wheat and wheat products in flour equivalent,145.712192
2013,Wheat and wheat products in flour equivalent,147.44686
2014,Wheat and wheat products in flour equivalent,147.44686
2015,Wheat and wheat products in flour equivalent,146.579526
2016,Wheat and wheat products in flour equivalent,143.659907
2017,Wheat and wheat products in flour equivalent,129.855851
2018,Wheat and wheat products in flour equivalent,102.12558
2019,Wheat and wheat products in flour equivalent,99.315905
2020,Wheat and wheat products in flour equivalent,107.378451
2021,Wheat and wheat products in flour equivalent,85.02321
2022,Wheat and wheat products in flour equivalent,106.767652
2010,Fish and fish products,16.483516
2011,Fish and fish products,20.879121
2012,Fish and fish products,20.879121
2013,Fish and fish products,20.879121
2014,Fish and fish products,20.879121
2015,Fish and fish products,20.879121
2016,Fish and fish products,20.879121
2017,Fish and fish products,9.602909
2018,Fish and fish products,12.087912
2019,Fish and fish products,65.934066
2020,Fish and fish products,10.989011
2021,Fish and fish products,15.384615
2022,Fish and fish products,32.967033
