Year,SERIES,Reference area,Age,Value
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,,3.4
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.8
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.8
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.5
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.0
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,,1.2
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.9
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.2
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.4
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.0
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,2.5
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,1.3
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,3.2
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.6
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.6
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.3
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,1.8
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,1.1
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,52.8
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,47.5
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,52.8
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,59.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,55.2
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,40.4
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,93.3
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,63.4
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,87.9
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,86.9
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,88.2
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,62.1
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,69.8
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,56.8
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,70.6
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,75.1
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,80.3
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,59.7
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,33.2
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,35.1
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,39.2
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,31.3
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,26.8
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,29.5
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,37.1
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,34.4
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,32.5
