Year,Reference area,Sex,GeoCode,Value
2007,,,,9.2
2008,,,,8.9
2009,,,,8.5
2010,,,,9.2
2011,,,,8.5
2012,,,,9.3
2013,,,,7.8
2014,,,,7.9
2015,,,,7.0
2016,,,,6.9
2017,,,,6.3
2018,,,,6.0
2019,,,,5.8
2020,,,,4.6
2021,,,,5.8
2022,,,,4.9
2023,,,,4.8
2007,,Male,,14.2
2008,,Male,,14.4
2009,,Male,,13.6
2010,,Male,,14.7
2011,,Male,,13.3
2012,,Male,,14.5
2013,,Male,,12.3
2014,,Male,,12.4
2015,,Male,,11.1
2016,,Male,,11.0
2017,,Male,,10.2
2018,,Male,,9.7
2019,,Male,,9.4
2020,,Male,,7.1
2021,,Male,,8.8
2022,,Male,,8.1
2023,,Male,,7.8
2007,,Female,,4.3
2008,,Female,,3.5
2009,,Female,,3.5
2010,,Female,,3.8
2011,,Female,,3.9
2012,,Female,,4.3
2013,,Female,,3.4
2014,,Female,,3.5
2015,,Female,,3.0
2016,,Female,,2.9
2017,,Female,,2.5
2018,,Female,,2.4
2019,,Female,,2.3
2020,,Female,,2.1
2021,,Female,,2.8
2022,,Female,,1.8
2023,,Female,,1.9
2007,Batken,,KG05,6.6
2008,Batken,,KG05,8.5
2009,Batken,,KG05,7.4
2010,Batken,,KG05,6.4
2011,Batken,,KG05,8.5
2012,Batken,,KG05,9.7
2013,Batken,,KG05,6.9
2014,Batken,,KG05,6.1
2015,Batken,,KG05,8.2
2016,Batken,,KG05,5.8
2017,Batken,,KG05,6.1
2018,Batken,,KG05,7.5
2019,Batken,,KG05,6.8
2020,Batken,,KG05,4.2
2021,Batken,,KG05,4.7
2022,Batken,,KG05,3.4
2023,Batken,,KG05,5.7
2007,Batken,Male,KG05,9.3
2008,Batken,Male,KG05,13.4
2009,Batken,Male,KG05,9.1
2010,Batken,Male,KG05,7.6
2011,Batken,Male,KG05,13.3
2012,Batken,Male,KG05,14.3
2013,Batken,Male,KG05,10.2
2014,Batken,Male,KG05,8.3
2015,Batken,Male,KG05,10.9
2016,Batken,Male,KG05,9.5
2017,Batken,Male,KG05,8.9
2018,Batken,Male,KG05,9.8
2019,Batken,Male,KG05,9.6
2020,Batken,Male,KG05,5.8
2021,Batken,Male,KG05,4.3
2022,Batken,Male,KG05,4.2
2023,Batken,Male,KG05,9.3
2007,Batken,Female,KG05,3.9
2008,Batken,Female,KG05,3.4
2009,Batken,Female,KG05,5.7
2010,Batken,Female,KG05,5.1
2011,Batken,Female,KG05,3.7
2012,Batken,Female,KG05,4.9
2013,Batken,Female,KG05,3.5
2014,Batken,Female,KG05,3.9
2015,Batken,Female,KG05,5.4
