Year,Reference area,Sex,GeoCode,Value
2010,,,,53.8
2013,,,,31.2
2014,,,,27.4
2015,,,,23.5
2016,,,,28.4
2017,,,,23.0
2018,,,,18.6
2019,,,,18.446484
2020,,,,15.121199
2021,,,,16.601754
2010,,Female,,13.1
2013,,Female,,7.4
2014,,Female,,5.7
2015,,Female,,5.6
2016,,Female,,6.4
2017,,Female,,6.8
2018,,Female,,4.0
2019,,Female,,4.918696
2020,,Female,,4.041802
2021,,Female,,7.357653
2010,,Male,,95.6
2013,,Male,,55.6
2014,,Male,,49.5
2015,,Male,,41.8
2016,,Male,,50.8
2017,,Male,,39.5
2018,,Male,,33.5
2019,,Male,,32.182344
2020,,Male,,26.038712
2021,,Male,,25.982831
2010,Batken,,KG05,27.4
2013,Batken,,KG05,27.4
2014,Batken,,KG05,22.1
2015,Batken,,KG05,14.0
2016,Batken,,KG05,15.9
2017,Batken,,KG05,12.2
2018,Batken,,KG05,6.9
2019,Batken,,KG05,7.71772
2020,Batken,,KG05,6.632204
2021,Batken,,KG05,4.697805
2010,Batken,Female,KG05,1.9
2013,Batken,Female,KG05,0.4
2014,Batken,Female,KG05,0.4
2015,Batken,Female,KG05,0.8
2016,Batken,Female,KG05,0.4
2017,Batken,Female,KG05,0.8
2018,Batken,Female,KG05,0.8
2019,Batken,Female,KG05,1.918612
2020,Batken,Female,KG05,0.723374
2021,Batken,Female,KG05,0.368205
2010,Batken,Male,KG05,52.2
2013,Batken,Male,KG05,53.4
2014,Batken,Male,KG05,43.1
2015,Batken,Male,KG05,26.7
2016,Batken,Male,KG05,30.8
2017,Batken,Male,KG05,23.2
2018,Batken,Male,KG05,12.9
2019,Batken,Male,KG05,13.301803
2020,Batken,Male,KG05,12.766405
2021,Batken,Male,KG05,8.869589
2010,Jalal-Abad,,KG03,17.2
2013,Jalal-Abad,,KG03,14.2
2014,Jalal-Abad,,KG03,14.3
2015,Jalal-Abad,,KG03,10.7
2016,Jalal-Abad,,KG03,10.0
2017,Jalal-Abad,,KG03,9.5
2018,Jalal-Abad,,KG03,6.8
2019,Jalal-Abad,,KG03,4.565495
2020,Jalal-Abad,,KG03,3.440873
2021,Jalal-Abad,,KG03,4.87638
2010,Jalal-Abad,Female,KG03,1.2
2013,Jalal-Abad,Female,KG03,0.9
2014,Jalal-Abad,Female,KG03,1.4
2015,Jalal-Abad,Female,KG03,1.4
2016,Jalal-Abad,Female,KG03,1.2
2017,Jalal-Abad,Female,KG03,1.7
2018,Jalal-Abad,Female,KG03,1.3
2019,Jalal-Abad,Female,KG03,0.4923
2020,Jalal-Abad,Female,KG03,0.31798
2021,Jalal-Abad,Female,KG03,0.63362
2010,Jalal-Abad,Male,KG03,33.2
2013,Jalal-Abad,Male,KG03,27.3
2014,Jalal-Abad,Male,KG03,27.1
2015,Jalal-Abad,Male,KG03,19.8
2016,Jalal-Abad,Male,KG03,18.7
2017,Jalal-Abad,Male,KG03,17.2
2018,Jalal-Abad,Male,KG03,12.2
2019,Jalal-Abad,Male,KG03,8.587057
2020,Jalal-Abad,Male,KG03,6.605318
2021,Jalal-Abad,Male,KG03,9.06049
2010,Issyk-Kul,,KG02,19.0
2013,Issyk-Kul,,KG02,21.5
2014,Issyk-Kul,,KG02,14.3
2015,Issyk-Kul,,KG02,17.6
2016,Issyk-Kul,,KG02,16.5
2017,Issyk-Kul,,KG02,13.3
2018,Issyk-Kul,,KG02,3.7
2019,Issyk-Kul,,KG02,6.086341
2020,Issyk-Kul,,KG02,3.807684
2021,Issyk-Kul,,KG02,6.151807
2010,Issyk-Kul,Female,KG02,3.1
2013,Issyk-Kul,Female,KG02,3.0
2014,Issyk-Kul,Female,KG02,3.9
2015,Issyk-Kul,Female,KG02,8.5
2016,Issyk-Kul,Female,KG02,1.7
2017,Issyk-Kul,Female,KG02,2.9
2018,Issyk-Kul,Female,KG02,1.2
2019,Issyk-Kul,Female,KG02,1.21241
2020,Issyk-Kul,Female,KG02,0.402445
2021,Issyk-Kul,Female,KG02,2.766241
2010,Issyk-Kul,Male,KG02,35.1
2013,Issyk-Kul,Male,KG02,40.2
2014,Issyk-Kul,Male,KG02,24.9
2015,Issyk-Kul,Male,KG02,26.7
2016,Issyk-Kul,Male,KG02,31.4
2017,Issyk-Kul,Male,KG02,23.9
2018,Issyk-Kul,Male,KG02,6.2
2019,Issyk-Kul,Male,KG02,10.999487
2020,Issyk-Kul,Male,KG02,7.185342
2021,Issyk-Kul,Male,KG02,9.56686
2010,Naryn,,KG04,31.1
2013,Naryn,,KG04,37.4
2014,Naryn,,KG04,43.6
2015,Naryn,,KG04,20.3
2016,Naryn,,KG04,36.5
2017,Naryn,,KG04,23.0
2018,Naryn,,KG04,16.1
2019,Naryn,,KG04,23.23686
2020,Naryn,,KG04,21.314558
2021,Naryn,,KG04,19.438931
2010,Naryn,Female,KG04,5.4
2013,Naryn,Female,KG04,7.5
2014,Naryn,Female,KG04,11.2
2015,Naryn,Female,KG04,5.1
2016,Naryn,Female,KG04,13.8
2017,Naryn,Female,KG04,9.4
2018,Naryn,Female,KG04,2.1
2019,Naryn,Female,KG04,3.532046
2020,Naryn,Female,KG04,6.076524
2021,Naryn,Female,KG04,6.948932
2010,Naryn,Male,KG04,56.0
2013,Naryn,Male,KG04,66.5
2014,Naryn,Male,KG04,75.1
2015,Naryn,Male,KG04,35.0
2016,Naryn,Male,KG04,58.5
2017,Naryn,Male,KG04,36.2
2018,Naryn,Male,KG04,29.6
2019,Naryn,Male,KG04,42.241814
2020,Naryn,Male,KG04,37.122645
2021,Naryn,Male,KG04,31.476235
2010,Osh,,KG06,35.0
2013,Osh,,KG06,27.2
2014,Osh,,KG06,24.7
2015,Osh,,KG06,29.3
2016,Osh,,KG06,25.1
2017,Osh,,KG06,26.2
2018,Osh,,KG06,23.2
2019,Osh,,KG06,20.960059
2020,Osh,,KG06,17.175755
2021,Osh,,KG06,17.246786
2010,Osh,Female,KG06,2.9
2013,Osh,Female,KG06,3.4
2014,Osh,Female,KG06,1.3
2015,Osh,Female,KG06,2.9
2016,Osh,Female,KG06,3.6
2017,Osh,Female,KG06,4.2
2018,Osh,Female,KG06,2.1
2019,Osh,Female,KG06,1.940293
2020,Osh,Female,KG06,1.86318
2021,Osh,Female,KG06,1.729927
2010,Osh,Male,KG06,66.7
2013,Osh,Male,KG06,50.7
2014,Osh,Male,KG06,47.7
2015,Osh,Male,KG06,55.2
2016,Osh,Male,KG06,46.2
2017,Osh,Male,KG06,47.8
2018,Osh,Male,KG06,43.8
2019,Osh,Male,KG06,39.564585
2020,Osh,Male,KG06,32.838797
2021,Osh,Male,KG06,32.417698
2010,Talas,,KG07,43.0
2013,Talas,,KG07,40.2
2014,Talas,,KG07,41.6
2015,Talas,,KG07,18.9
2016,Talas,,KG07,24.5
2017,Talas,,KG07,40.1
2018,Talas,,KG07,26.0
2019,Talas,,KG07,27.882862
2020,Talas,,KG07,26.748199
2021,Talas,,KG07,13.577384
2010,Talas,Female,KG07,2.6
2013,Talas,Female,KG07,5.0
2014,Talas,Female,KG07,7.4
2015,Talas,Female,KG07,4.0
2016,Talas,Female,KG07,8.0
2017,Talas,Female,KG07,7.1
2018,Talas,Female,KG07,3.1
2019,Talas,Female,KG07,5.334837
2020,Talas,Female,KG07,8.819185
2021,Talas,Female,KG07,1.483118
2010,Talas,Male,KG07,83.1
2013,Talas,Male,KG07,74.9
2014,Talas,Male,KG07,75.2
2015,Talas,Male,KG07,33.4
2016,Talas,Male,KG07,40.7
2017,Talas,Male,KG07,72.4
2018,Talas,Male,KG07,48.5
2019,Talas,Male,KG07,49.93181
2020,Talas,Male,KG07,45.075501
2021,Talas,Male,KG07,25.424775
2010,Chui,,KG08,60.6
2013,Chui,,KG08,51.1
2014,Chui,,KG08,36.0
2015,Chui,,KG08,30.0
2016,Chui,,KG08,50.5
2017,Chui,,KG08,32.8
2018,Chui,,KG08,26.4
2019,Chui,,KG08,32.298484
2020,Chui,,KG08,22.637203
2021,Chui,,KG08,28.259337
2010,Chui,Female,KG08,20.1
2013,Chui,Female,KG08,16.1
2014,Chui,Female,KG08,10.5
2015,Chui,Female,KG08,10.5
2016,Chui,Female,KG08,16.3
2017,Chui,Female,KG08,12.1
2018,Chui,Female,KG08,8.2
2019,Chui,Female,KG08,13.268429
2020,Chui,Female,KG08,6.507574
2021,Chui,Female,KG08,18.681751
2010,Chui,Male,KG08,102.6
2013,Chui,Male,KG08,87.2
2014,Chui,Male,KG08,62.2
2015,Chui,Male,KG08,50.1
2016,Chui,Male,KG08,85.9
2017,Chui,Male,KG08,54.3
2018,Chui,Male,KG08,45.1
2019,Chui,Male,KG08,51.905221
2020,Chui,Male,KG08,38.28406
2021,Chui,Male,KG08,38.143016
2010,Bishkek (city),,KG11,164.9
2013,Bishkek (city),,KG11,44.7
2014,Bishkek (city),,KG11,40.7
2015,Bishkek (city),,KG11,36.4
2016,Bishkek (city),,KG11,48.6
2017,Bishkek (city),,KG11,35.1
2018,Bishkek (city),,KG11,29.7
2019,Bishkek (city),,KG11,29.118376
2020,Bishkek (city),,KG11,23.966278
2021,Bishkek (city),,KG11,29.550909
2010,Bishkek (city),Female,KG11,50.1
2013,Bishkek (city),Female,KG11,19.0
2014,Bishkek (city),Female,KG11,13.1
2015,Bishkek (city),Female,KG11,11.1
2016,Bishkek (city),Female,KG11,10.8
2017,Bishkek (city),Female,KG11,16.5
2018,Bishkek (city),Female,KG11,9.1
2019,Bishkek (city),Female,KG11,9.227646
2020,Bishkek (city),Female,KG11,11.409881
2021,Bishkek (city),Female,KG11,19.441305
2010,Bishkek (city),Male,KG11,297.5
2013,Bishkek (city),Male,KG11,74.3
2014,Bishkek (city),Male,KG11,72.3
2015,Bishkek (city),Male,KG11,65.3
2016,Bishkek (city),Male,KG11,91.6
2017,Bishkek (city),Male,KG11,56.3
2018,Bishkek (city),Male,KG11,53.0
2019,Bishkek (city),Male,KG11,51.650669
2020,Bishkek (city),Male,KG11,35.079762
2021,Bishkek (city),Male,KG11,40.966897
2010,Osh (city),,KG21,29.9
2013,Osh (city),,KG21,18.3
2014,Osh (city),,KG21,22.0
2015,Osh (city),,KG21,19.8
2016,Osh (city),,KG21,16.9
2017,Osh (city),,KG21,11.6
2018,Osh (city),,KG21,25.2
2019,Osh (city),,KG21,9.477341
2020,Osh (city),,KG21,16.385849
2021,Osh (city),,KG21,17.688535
2010,Osh (city),Female,KG21,4.5
2013,Osh (city),Female,KG21,2.9
2014,Osh (city),Female,KG21,5.8
2015,Osh (city),Female,KG21,2.8
2016,Osh (city),Female,KG21,2.1
2017,Osh (city),Female,KG21,2.0
2018,Osh (city),Female,KG21,4.0
2019,Osh (city),Female,KG21,3.171502
2020,Osh (city),Female,KG21,3.244836
2021,Osh (city),Female,KG21,4.157411
2010,Osh (city),Male,KG21,57.5
2013,Osh (city),Male,KG21,34.8
2014,Osh (city),Male,KG21,39.6
2015,Osh (city),Male,KG21,38.0
2016,Osh (city),Male,KG21,32.7
2017,Osh (city),Male,KG21,21.8
2018,Osh (city),Male,KG21,47.8
2019,Osh (city),Male,KG21,16.179157
2020,Osh (city),Male,KG21,28.789141
2021,Osh (city),Male,KG21,31.970512
