Year,Reference area,Sex,GeoCode,Value
2010,,,,22.425798
2011,,,,22.163632
2012,,,,21.846564
2013,,,,21.706653
2014,,,,21.256774
2015,,,,20.835687
2016,,,,20.895085
2017,,,,20.419612
2018,,,,20.251976
2019,,,,19.987648
2020,,,,19.605825
2021,,,,18.940845
2022,,,,17.605459
2010,,Female,,29.434752
2011,,Female,,29.478874
2012,,Female,,28.998005
2013,,Female,,28.527153
2014,,Female,,28.357092
2015,,Female,,27.677347
2016,,Female,,27.662549
2017,,Female,,27.151303
2018,,Female,,26.963855
2019,,Female,,26.595267
2020,,Female,,26.290369
2021,,Female,,25.639894
2022,,Female,,23.512267
2010,,Male,,15.234746
2011,,Male,,14.665869
2012,,Male,,14.527665
2013,,Male,,14.734583
2014,,Male,,14.007681
2015,,Male,,13.861613
2016,,Male,,14.004884
2017,,Male,,13.57269
2018,,Male,,13.433728
2019,,Male,,13.281418
2020,,Male,,12.822793
2021,,Male,,12.141978
2022,,Male,,11.567975
2010,Batken,,KG05,13.874373
2011,Batken,,KG05,14.05818
2012,Batken,,KG05,14.578657
2013,Batken,,KG05,14.882917
2014,Batken,,KG05,14.874544
2015,Batken,,KG05,14.575898
2016,Batken,,KG05,15.173362
2017,Batken,,KG05,15.070328
2018,Batken,,KG05,15.005951
2019,Batken,,KG05,14.757195
2020,Batken,,KG05,14.683163
2021,Batken,,KG05,14.499187
2022,Batken,,KG05,13.890397
2010,Batken,Female,KG05,13.262599
2011,Batken,Female,KG05,13.661388
2012,Batken,Female,KG05,14.034746
2013,Batken,Female,KG05,14.935324
2014,Batken,Female,KG05,15.700647
2015,Batken,Female,KG05,15.454929
2016,Batken,Female,KG05,16.378393
2017,Batken,Female,KG05,16.258809
2018,Batken,Female,KG05,16.499344
2019,Batken,Female,KG05,16.500711
2020,Batken,Female,KG05,16.206853
2021,Batken,Female,KG05,17.39898
2022,Batken,Female,KG05,15.251616
2010,Batken,Male,KG05,14.46758
2011,Batken,Male,KG05,14.443254
2012,Batken,Male,KG05,15.10587
2013,Batken,Male,KG05,14.832195
2014,Batken,Male,KG05,14.075805
2015,Batken,Male,KG05,13.727055
2016,Batken,Male,KG05,14.010467
2017,Batken,Male,KG05,13.923901
2018,Batken,Male,KG05,13.568115
2019,Batken,Male,KG05,13.078103
2020,Batken,Male,KG05,13.215149
2021,Batken,Male,KG05,11.704827
2022,Batken,Male,KG05,12.556147
2010,Jalal-Abad,,KG03,12.733397
2011,Jalal-Abad,,KG03,13.204
2012,Jalal-Abad,,KG03,13.179232
2013,Jalal-Abad,,KG03,13.291569
2014,Jalal-Abad,,KG03,12.874221
2015,Jalal-Abad,,KG03,12.57719
2016,Jalal-Abad,,KG03,12.637639
2017,Jalal-Abad,,KG03,13.002077
2018,Jalal-Abad,,KG03,12.853735
2019,Jalal-Abad,,KG03,12.59334
2020,Jalal-Abad,,KG03,12.39869
2021,Jalal-Abad,,KG03,11.690361
2022,Jalal-Abad,,KG03,11.189872
2010,Jalal-Abad,Female,KG03,15.97259
2011,Jalal-Abad,Female,KG03,16.321087
2012,Jalal-Abad,Female,KG03,16.196201
2013,Jalal-Abad,Female,KG03,15.999796
2014,Jalal-Abad,Female,KG03,15.807789
2015,Jalal-Abad,Female,KG03,15.54199
2016,Jalal-Abad,Female,KG03,15.634863
2017,Jalal-Abad,Female,KG03,15.562716
2018,Jalal-Abad,Female,KG03,16.274391
2019,Jalal-Abad,Female,KG03,15.827979
2020,Jalal-Abad,Female,KG03,15.813206
2021,Jalal-Abad,Female,KG03,15.160394
2022,Jalal-Abad,Female,KG03,14.336433
2010,Jalal-Abad,Male,KG03,9.501197
2011,Jalal-Abad,Male,KG03,10.096361
2012,Jalal-Abad,Male,KG03,10.175504
2013,Jalal-Abad,Male,KG03,10.597738
2014,Jalal-Abad,Male,KG03,9.961291
2015,Jalal-Abad,Male,KG03,9.63863
2016,Jalal-Abad,Male,KG03,9.670752
2017,Jalal-Abad,Male,KG03,10.471292
2018,Jalal-Abad,Male,KG03,9.475788
2019,Jalal-Abad,Male,KG03,9.400305
2020,Jalal-Abad,Male,KG03,9.029907
2021,Jalal-Abad,Male,KG03,8.269761
2022,Jalal-Abad,Male,KG03,8.081635
2010,Issyk-Kul,,KG02,14.330064
2011,Issyk-Kul,,KG02,14.754365
2012,Issyk-Kul,,KG02,14.380746
2013,Issyk-Kul,,KG02,14.263157
2014,Issyk-Kul,,KG02,13.925595
2015,Issyk-Kul,,KG02,13.699679
2016,Issyk-Kul,,KG02,14.032217
2017,Issyk-Kul,,KG02,13.395917
2018,Issyk-Kul,,KG02,13.435015
2019,Issyk-Kul,,KG02,13.708296
2020,Issyk-Kul,,KG02,13.149165
2021,Issyk-Kul,,KG02,12.848364
2022,Issyk-Kul,,KG02,11.627389
2010,Issyk-Kul,Female,KG02,21.482373
2011,Issyk-Kul,Female,KG02,21.958465
2012,Issyk-Kul,Female,KG02,21.796028
2013,Issyk-Kul,Female,KG02,21.567591
2014,Issyk-Kul,Female,KG02,20.601777
2015,Issyk-Kul,Female,KG02,20.595275
2016,Issyk-Kul,Female,KG02,20.990606
2017,Issyk-Kul,Female,KG02,20.325538
2018,Issyk-Kul,Female,KG02,19.721781
2019,Issyk-Kul,Female,KG02,20.364554
2020,Issyk-Kul,Female,KG02,19.915972
2021,Issyk-Kul,Female,KG02,19.169908
2022,Issyk-Kul,Female,KG02,16.762097
2010,Issyk-Kul,Male,KG02,7.040654
2011,Issyk-Kul,Male,KG02,7.42835
2012,Issyk-Kul,Male,KG02,6.847427
2013,Issyk-Kul,Male,KG02,6.853468
2014,Issyk-Kul,Male,KG02,7.160868
2015,Issyk-Kul,Male,KG02,6.720258
2016,Issyk-Kul,Male,KG02,7.000409
2017,Issyk-Kul,Male,KG02,6.405164
2018,Issyk-Kul,Male,KG02,7.0947
2019,Issyk-Kul,Male,KG02,7.001554
2020,Issyk-Kul,Male,KG02,6.323187
2021,Issyk-Kul,Male,KG02,6.471927
2022,Issyk-Kul,Male,KG02,6.474949
2010,Naryn,,KG04,13.847721
2011,Naryn,,KG04,13.700853
2012,Naryn,,KG04,13.502475
2013,Naryn,,KG04,12.972845
2014,Naryn,,KG04,13.331196
2015,Naryn,,KG04,13.253858
2016,Naryn,,KG04,12.987336
2017,Naryn,,KG04,12.787138
2018,Naryn,,KG04,12.750481
2019,Naryn,,KG04,12.119287
2020,Naryn,,KG04,11.398644
2021,Naryn,,KG04,11.314562
2022,Naryn,,KG04,11.869706
2010,Naryn,Female,KG04,20.715136
2011,Naryn,Female,KG04,20.442695
2012,Naryn,Female,KG04,20.374312
2013,Naryn,Female,KG04,19.986975
2014,Naryn,Female,KG04,20.400772
2015,Naryn,Female,KG04,19.888856
2016,Naryn,Female,KG04,19.091698
2017,Naryn,Female,KG04,18.932331
2018,Naryn,Female,KG04,19.013025
2019,Naryn,Female,KG04,17.866689
2020,Naryn,Female,KG04,17.157803
2021,Naryn,Female,KG04,17.031529
2022,Naryn,Female,KG04,17.166257
2010,Naryn,Male,KG04,0.0
2011,Naryn,Male,KG04,0.0
2012,Naryn,Male,KG04,0.0
2013,Naryn,Male,KG04,0.0
2014,Naryn,Male,KG04,0.0
2015,Naryn,Male,KG04,0.0
2016,Naryn,Male,KG04,0.0
2017,Naryn,Male,KG04,0.0
2018,Naryn,Male,KG04,0.0
2019,Naryn,Male,KG04,6.578189
2020,Naryn,Male,KG04,5.84815
2021,Naryn,Male,KG04,5.804915
2022,Naryn,Male,KG04,6.678525
2010,Osh,,KG06,13.85638
2011,Osh,,KG06,14.36724
2012,Osh,,KG06,14.396375
2013,Osh,,KG06,14.667534
2014,Osh,,KG06,14.898082
2015,Osh,,KG06,14.900894
2016,Osh,,KG06,15.331741
2017,Osh,,KG06,15.129077
2018,Osh,,KG06,14.986627
2019,Osh,,KG06,14.919002
2020,Osh,,KG06,14.816955
2021,Osh,,KG06,14.293086
2022,Osh,,KG06,13.680949
2010,Osh,Female,KG06,13.890126
2011,Osh,Female,KG06,14.721984
2012,Osh,Female,KG06,15.011353
2013,Osh,Female,KG06,14.968098
2014,Osh,Female,KG06,15.51421
2015,Osh,Female,KG06,15.647347
2016,Osh,Female,KG06,16.280259
2017,Osh,Female,KG06,16.191705
2018,Osh,Female,KG06,16.089523
2019,Osh,Female,KG06,16.725351
2020,Osh,Female,KG06,16.351245
2021,Osh,Female,KG06,16.001235
2022,Osh,Female,KG06,15.666264
2010,Osh,Male,KG06,13.823096
2011,Osh,Male,KG06,14.017382
2012,Osh,Male,KG06,13.790513
2013,Osh,Male,KG06,14.371642
2014,Osh,Male,KG06,14.292012
2015,Osh,Male,KG06,14.167227
2016,Osh,Male,KG06,14.401263
2017,Osh,Male,KG06,14.087839
2018,Osh,Male,KG06,13.906975
2019,Osh,Male,KG06,13.153425
2020,Osh,Male,KG06,13.316696
2021,Osh,Male,KG06,12.623209
2022,Osh,Male,KG06,11.723106
2010,Talas,,KG07,12.682308
2011,Talas,,KG07,13.045677
2012,Talas,,KG07,12.525782
2013,Talas,,KG07,12.699065
2014,Talas,,KG07,12.498685
2015,Talas,,KG07,12.893983
2016,Talas,,KG07,11.91456
2017,Talas,,KG07,11.69979
2018,Talas,,KG07,11.729782
2019,Talas,,KG07,11.258229
2020,Talas,,KG07,10.959652
2021,Talas,,KG07,10.655807
2022,Talas,,KG07,9.98139
2010,Talas,Female,KG07,15.84155
2011,Talas,Female,KG07,16.751564
2012,Talas,Female,KG07,16.051095
2013,Talas,Female,KG07,16.807697
2014,Talas,Female,KG07,16.484682
2015,Talas,Female,KG07,15.911538
2016,Talas,Female,KG07,16.15816
2017,Talas,Female,KG07,15.924188
2018,Talas,Female,KG07,15.813554
2019,Talas,Female,KG07,15.587521
2020,Talas,Female,KG07,15.36591
2021,Talas,Female,KG07,14.597679
2022,Talas,Female,KG07,12.541035
2010,Talas,Male,KG07,9.544282
2011,Talas,Male,KG07,9.381101
2012,Talas,Male,KG07,9.044817
2013,Talas,Male,KG07,8.649743
2014,Talas,Male,KG07,8.581419
2015,Talas,Male,KG07,9.933618
2016,Talas,Male,KG07,7.758072
2017,Talas,Male,KG07,7.564643
2018,Talas,Male,KG07,7.734823
2019,Talas,Male,KG07,7.026471
2020,Talas,Male,KG07,6.645683
2021,Talas,Male,KG07,6.792349
2022,Talas,Male,KG07,7.466257
2010,Chui,,KG08,14.407206
2011,Chui,,KG08,14.965092
2012,Chui,,KG08,14.385554
2013,Chui,,KG08,13.892061
2014,Chui,,KG08,13.638677
2015,Chui,,KG08,13.577817
2016,Chui,,KG08,13.57738
2017,Chui,,KG08,13.203461
2018,Chui,,KG08,13.079979
2019,Chui,,KG08,12.897392
2020,Chui,,KG08,12.154046
2021,Chui,,KG08,11.974468
2022,Chui,,KG08,10.470646
2010,Chui,Female,KG08,20.77818
2011,Chui,Female,KG08,21.415274
2012,Chui,Female,KG08,20.71794
2013,Chui,Female,KG08,19.797137
2014,Chui,Female,KG08,19.373047
2015,Chui,Female,KG08,19.182906
2016,Chui,Female,KG08,19.28401
2017,Chui,Female,KG08,18.932231
2018,Chui,Female,KG08,18.697655
2019,Chui,Female,KG08,18.784798
2020,Chui,Female,KG08,18.09973
2021,Chui,Female,KG08,17.619245
2022,Chui,Female,KG08,15.512094
2010,Chui,Male,KG08,7.815368
2011,Chui,Male,KG08,8.30337
2012,Chui,Male,KG08,7.852204
2013,Chui,Male,KG08,7.803411
2014,Chui,Male,KG08,7.725198
2015,Chui,Male,KG08,7.801847
2016,Chui,Male,KG08,7.695172
2017,Chui,Male,KG08,7.294878
2018,Chui,Male,KG08,7.291822
2019,Chui,Male,KG08,6.831815
2020,Chui,Male,KG08,6.021473
2021,Chui,Male,KG08,6.146345
2022,Chui,Male,KG08,5.366656
2010,Bishkek (city),,KG11,29.762909
2011,Bishkek (city),,KG11,29.644642
2012,Bishkek (city),,KG11,28.461047
2013,Bishkek (city),,KG11,27.49905
2014,Bishkek (city),,KG11,26.233363
2015,Bishkek (city),,KG11,25.780913
2016,Bishkek (city),,KG11,25.204795
2017,Bishkek (city),,KG11,24.756872
2018,Bishkek (city),,KG11,24.210388
2019,Bishkek (city),,KG11,24.25243
2020,Bishkek (city),,KG11,24.467565
2021,Bishkek (city),,KG11,23.141742
2022,Bishkek (city),,KG11,21.623623
2010,Bishkek (city),Female,KG11,44.204365
2011,Bishkek (city),Female,KG11,44.429635
2012,Bishkek (city),Female,KG11,42.348879
2013,Bishkek (city),Female,KG11,40.300826
2014,Bishkek (city),Female,KG11,38.583178
2015,Bishkek (city),Female,KG11,37.848157
2016,Bishkek (city),Female,KG11,37.0088
2017,Bishkek (city),Female,KG11,36.768015
2018,Bishkek (city),Female,KG11,36.007392
2019,Bishkek (city),Female,KG11,36.058101
2020,Bishkek (city),Female,KG11,36.032809
2021,Bishkek (city),Female,KG11,34.597326
2022,Bishkek (city),Female,KG11,31.617271
2010,Bishkek (city),Male,KG11,13.100973
2011,Bishkek (city),Male,KG11,12.604597
2012,Bishkek (city),Male,KG11,12.495524
2013,Bishkek (city),Male,KG11,12.80644
2014,Bishkek (city),Male,KG11,12.101442
2015,Bishkek (city),Male,KG11,12.016009
2016,Bishkek (city),Male,KG11,11.76006
2017,Bishkek (city),Male,KG11,11.092103
2018,Bishkek (city),Male,KG11,10.826064
2019,Bishkek (city),Male,KG11,10.899017
2020,Bishkek (city),Male,KG11,11.415118
2021,Bishkek (city),Male,KG11,10.198858
2022,Bishkek (city),Male,KG11,9.560451
2010,Osh (city),,KG21,23.842375
2011,Osh (city),,KG21,24.975767
2012,Osh (city),,KG21,25.609424
2013,Osh (city),,KG21,25.753759
2014,Osh (city),,KG21,27.192814
2015,Osh (city),,KG21,26.690553
2016,Osh (city),,KG21,25.290324
2017,Osh (city),,KG21,25.344681
2018,Osh (city),,KG21,24.744871
2019,Osh (city),,KG21,24.47765
2020,Osh (city),,KG21,23.80775
2021,Osh (city),,KG21,21.371044
2022,Osh (city),,KG21,21.036723
2010,Osh (city),Female,KG21,30.846593
2011,Osh (city),Female,KG21,31.732457
2012,Osh (city),Female,KG21,32.70652
2013,Osh (city),Female,KG21,33.05533
2014,Osh (city),Female,KG21,35.76349
2015,Osh (city),Female,KG21,34.896676
2016,Osh (city),Female,KG21,33.061479
2017,Osh (city),Female,KG21,32.310394
2018,Osh (city),Female,KG21,31.811232
2019,Osh (city),Female,KG21,30.877428
2020,Osh (city),Female,KG21,30.805659
2021,Osh (city),Female,KG21,28.038202
2022,Osh (city),Female,KG21,29.087239
2010,Osh (city),Male,KG21,16.230721
2011,Osh (city),Male,KG21,17.626034
2012,Osh (city),Male,KG21,17.919427
2013,Osh (city),Male,KG21,17.874502
2014,Osh (city),Male,KG21,17.97166
2015,Osh (city),Male,KG21,17.88855
2016,Osh (city),Male,KG21,16.968201
2017,Osh (city),Male,KG21,17.90318
2018,Osh (city),Male,KG21,17.228547
2019,Osh (city),Male,KG21,17.681483
2020,Osh (city),Male,KG21,16.410191
2021,Osh (city),Male,KG21,14.344288
2022,Osh (city),Male,KG21,13.358066
