Year,Reference area,Value
2016,,96.5
2017,,97.8
2018,,99.1
2019,,96.0
2020,,96.5
2016,Batken,97.9
2017,Batken,99.1
2018,Batken,96.5
2019,Batken,98.8
2020,Batken,98.5
2016,Jalal-Abad,94.4
2017,Jalal-Abad,97.1
2018,Jalal-Abad,97.6
2019,Jalal-Abad,95.1
2020,Jalal-Abad,96.8
2016,Issyk-Kul,95.8
2017,Issyk-Kul,97.1
2018,Issyk-Kul,99.4
2019,Issyk-Kul,91.1
2020,Issyk-Kul,92.3
2016,Naryn,94.9
2017,Naryn,93.7
2018,Naryn,95.5
2019,Naryn,94.7
2020,Naryn,96.6
2016,Osh,92.4
2017,Osh,94.8
2018,Osh,94.2
2019,Osh,96.1
2020,Osh,96.3
2016,Talas,95.3
2017,Talas,94.7
2018,Talas,95.5
2019,Talas,95.7
2020,Talas,94.7
2016,Chui,98.0
2017,Chui,97.5
2018,Chui,99.4
2019,Chui,89.0
2020,Chui,94.7
2016,Bishkek (city),104.91
2017,Bishkek (city),105.21
2018,Bishkek (city),110.61
2019,Bishkek (city),104.01
2020,Bishkek (city),98.8
2016,Osh (city),95.4
2017,Osh (city),117.51
2018,Osh (city),106.51
2019,Osh (city),103.71
2020,Osh (city),98.8
