Year,Age,COMPOSITE_BREAKDOWN,Value
2018,15 to 24 years old,,29.7
2023,15 to 24 years old,,29.4
2018,15 to 24 years old,Skill: ICT Skill: Copying or moving a file or folder,23.8
2023,15 to 24 years old,Skill: ICT Skill: Copying or moving a file or folder,25.0
2018,15 to 24 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,23.4
2023,15 to 24 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,23.9
2018,15 to 24 years old,Skill: ICT Skill: Sending e-mails with attached files,21.2
2023,15 to 24 years old,Skill: ICT Skill: Sending e-mails with attached files,19.5
2018,15 to 24 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,13.6
2023,15 to 24 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,12.8
2018,15 to 24 years old,Skill: ICT Skill: connecting and installing new devices,7.3
2023,15 to 24 years old,Skill: ICT Skill: connecting and installing new devices,9.0
2018,15 to 24 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",7.5
2023,15 to 24 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",7.2
2018,15 to 24 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,13.2
2023,15 to 24 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,11.9
2018,15 to 24 years old,Skill: ICT Skill: Transferring files between a computer and other devices,12.1
2023,15 to 24 years old,Skill: ICT Skill: Transferring files between a computer and other devices,10.7
2018,15 to 24 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,3.2
2023,15 to 24 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,1.4
2018,15 to 49 years old,,21.0
2023,15 to 49 years old,,19.0
2018,15 to 49 years old,Skill: ICT Skill: Copying or moving a file or folder,17.1
2023,15 to 49 years old,Skill: ICT Skill: Copying or moving a file or folder,16.5
2018,15 to 49 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,16.9
2023,15 to 49 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,16.2
2018,15 to 49 years old,Skill: ICT Skill: Sending e-mails with attached files,15.4
2023,15 to 49 years old,Skill: ICT Skill: Sending e-mails with attached files,14.2
2018,15 to 49 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,9.7
2023,15 to 49 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,9.1
2018,15 to 49 years old,Skill: ICT Skill: connecting and installing new devices,6.2
2023,15 to 49 years old,Skill: ICT Skill: connecting and installing new devices,7.5
2018,15 to 49 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",5.8
2023,15 to 49 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",6.3
2018,15 to 49 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,8.9
2023,15 to 49 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,8.4
2018,15 to 49 years old,Skill: ICT Skill: Transferring files between a computer and other devices,8.4
2023,15 to 49 years old,Skill: ICT Skill: Transferring files between a computer and other devices,8.8
2018,15 to 49 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,2.0
2023,15 to 49 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,1.7
