Year,Reference area,Sex,Age,Value
2007,,,,8.2
2008,,,,8.2
2009,,,,8.4
2010,,,,8.6
2011,,,,8.5
2012,,,,8.4
2013,,,,8.3
2014,,,,8.0
2015,,,,7.6
2016,,,,7.2
2017,,,,6.9
2018,,,,6.2
2019,,,,5.5
2020,,,,5.8
2021,,,,5.3
2007,,Female,,9.0
2008,,Female,,9.4
2009,,Female,,9.8
2010,,Female,,9.9
2011,,Female,,9.9
2012,,Female,,9.5
2013,,Female,,9.7
2014,,Female,,9.5
2015,,Female,,9.0
2016,,Female,,8.7
2017,,Female,,8.9
2018,,Female,,6.9
2019,,Female,,6.2
2020,,Female,,6.7
2021,,Female,,6.3
2007,,Male,,7.6
2008,,Male,,7.3
2009,,Male,,7.4
2010,,Male,,7.7
2011,,Male,,7.6
2012,,Male,,7.7
2013,,Male,,7.4
2014,,Male,,7.0
2015,,Male,,6.5
2016,,Male,,6.2
2017,,Male,,5.6
2018,,Male,,5.7
2019,,Male,,5.0
2020,,Male,,5.2
2021,,Male,,4.7
2007,Batken,,,10.3
2008,Batken,,,11.1
2009,Batken,,,10.2
2010,Batken,,,10.6
2011,Batken,,,10.6
2012,Batken,,,10.8
2013,Batken,,,12.7
2014,Batken,,,12.6
2015,Batken,,,10.9
2016,Batken,,,10.2
2017,Batken,,,9.9
2018,Batken,,,9.0
2019,Batken,,,8.2
2020,Batken,,,7.4
2021,Batken,,,6.6
2009,Batken,Female,,14.8
2010,Batken,Female,,15.8
2011,Batken,Female,,14.0
2012,Batken,Female,,14.1
2013,Batken,Female,,18.4
2014,Batken,Female,,18.7
2015,Batken,Female,,16.5
2016,Batken,Female,,15.3
2017,Batken,Female,,16.0
2018,Batken,Female,,12.2
2019,Batken,Female,,11.5
2020,Batken,Female,,10.9
2021,Batken,Female,,7.5
2009,Batken,Male,,7.2
2010,Batken,Male,,7.2
2011,Batken,Male,,8.4
2012,Batken,Male,,8.7
2013,Batken,Male,,9.8
2014,Batken,Male,,9.6
2015,Batken,Male,,7.6
2016,Batken,Male,,7.1
2017,Batken,Male,,6.3
2018,Batken,Male,,7.3
2019,Batken,Male,,6.7
2020,Batken,Male,,5.9
2021,Batken,Male,,6.2
2007,Jalal-Abad,,,6.8
2008,Jalal-Abad,,,6.9
2009,Jalal-Abad,,,7.0
2010,Jalal-Abad,,,7.8
2011,Jalal-Abad,,,8.2
2012,Jalal-Abad,,,8.4
2013,Jalal-Abad,,,8.2
2014,Jalal-Abad,,,7.6
2015,Jalal-Abad,,,7.7
2016,Jalal-Abad,,,7.5
2017,Jalal-Abad,,,7.2
2018,Jalal-Abad,,,6.2
2019,Jalal-Abad,,,5.5
2020,Jalal-Abad,,,11.0
2021,Jalal-Abad,,,11.8
2009,Jalal-Abad,Female,,8.5
2010,Jalal-Abad,Female,,8.9
2011,Jalal-Abad,Female,,9.4
2012,Jalal-Abad,Female,,9.0
2013,Jalal-Abad,Female,,10.3
2014,Jalal-Abad,Female,,10.0
2015,Jalal-Abad,Female,,9.9
2016,Jalal-Abad,Female,,10.3
2017,Jalal-Abad,Female,,10.5
2018,Jalal-Abad,Female,,9.1
2019,Jalal-Abad,Female,,7.9
2020,Jalal-Abad,Female,,13.2
2021,Jalal-Abad,Female,,15.5
2009,Jalal-Abad,Male,,5.9
2010,Jalal-Abad,Male,,7.1
2011,Jalal-Abad,Male,,7.3
2012,Jalal-Abad,Male,,7.9
