Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,Disability status,Observation-level footnotes,GeoCode,Value
2014,,,5 to 17 years old,,,,,,,,25.8
2018,,,5 to 17 years old,,,,,,,,26.7
2023,,,5 to 17 years old,,,,,,,,19.6
2014,,Male,5 to 17 years old,,,,,,,,29.9
2018,,Male,5 to 17 years old,,,,,,,,33.6
2023,,Male,5 to 17 years old,,,,,,,,23.2
2014,,Female,5 to 17 years old,,,,,,,,21.5
2018,,Female,5 to 17 years old,,,,,,,,19.0
2023,,Female,5 to 17 years old,,,,,,,,16.0
2014,,,5 to 17 years old,Urban,,,,,,,12.3
2018,,,5 to 17 years old,Urban,,,,,,,11.9
2023,,,5 to 17 years old,Urban,,,,,,,14.1
2014,,,5 to 17 years old,Rural,,,,,,,30.9
2018,,,5 to 17 years old,Rural,,,,,,,33.6
2023,,,5 to 17 years old,Rural,,,,,,,22.0
2014,Batken,,5 to 17 years old,,,,,,,KG05,27.7
2018,Batken,,5 to 17 years old,,,,,,,KG05,27.7
2023,Batken,,5 to 17 years old,,,,,,,KG05,21.1
2014,Jalal-Abad,,5 to 17 years old,,,,,,,KG03,21.4
2018,Jalal-Abad,,5 to 17 years old,,,,,,,KG03,34.0
2023,Jalal-Abad,,5 to 17 years old,,,,,,,KG03,24.1
2014,Issyk-Kul,,5 to 17 years old,,,,,,,KG02,15.5
2018,Issyk-Kul,,5 to 17 years old,,,,,,,KG02,27.0
2023,Issyk-Kul,,5 to 17 years old,,,,,,,KG02,9.8
2014,Naryn,,5 to 17 years old,,,,,,,KG04,20.8
2018,Naryn,,5 to 17 years old,,,,,,,KG04,40.5
2023,Naryn,,5 to 17 years old,,,,,,,KG04,30.8
2014,Osh,,5 to 17 years old,,,,,,,KG06,34.7
2018,Osh,,5 to 17 years old,,,,,,,KG06,33.3
2023,Osh,,5 to 17 years old,,,,,,,KG06,27.5
2014,Talas,,5 to 17 years old,,,,,,,KG07,22.3
2018,Talas,,5 to 17 years old,,,,,,,KG07,35.1
2023,Talas,,5 to 17 years old,,,,,,,KG07,8.0
