Year,Unit multiplier,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,Millions,Passenger volume (passenger kilometres),,Number,7037.4
2008,Millions,Passenger volume (passenger kilometres),,Number,7541.0
2009,Millions,Passenger volume (passenger kilometres),,Number,7834.7
2010,Millions,Passenger volume (passenger kilometres),,Number,8122.4
2014,Millions,Passenger volume (passenger kilometres),,Number,10776.8
2015,Millions,Passenger volume (passenger kilometres),,Number,11012.5
2016,Millions,Passenger volume (passenger kilometres),,Number,11333.6
2017,Millions,Passenger volume (passenger kilometres),,Number,12279.3
2018,Millions,Passenger volume (passenger kilometres),,Number,12516.2
2019,Millions,Passenger volume (passenger kilometres),,Number,13135.1
2020,Millions,Passenger volume (passenger kilometres),,Number,7381.8
2021,Millions,Passenger volume (passenger kilometres),,Number,9090.7
2007,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,59.9
2008,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,90.2
2009,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,106.1
2010,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,98.7
2014,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,42.9
2015,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,40.8
2016,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,40.8
2017,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,43.4
2018,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,35.0
2019,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,37.1
2020,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,6.8
2021,Millions,Passenger volume (passenger kilometres),Mode of Transport: Rail,Number,21.0
2007,Millions,Passenger volume (passenger kilometres),Mode of Transport: Bus,Number,6162.6
2008,Millions,Passenger volume (passenger kilometres),Mode of Transport: Bus,Number,6508.6
2009,Millions,Passenger volume (passenger kilometres),Mode of Transport: Bus,Number,6806.8
2010,Millions,Passenger volume (passenger kilometres),Mode of Transport: Bus,Number,6810.0
