Year,Units,Value
2007,Number,313220.0
2008,Number,349682.0
2009,Number,274008.0
2010,Number,282009.0
2011,Number,136292.0
2012,Number,77413.0
2013,Number,180254.0
2014,Number,152940.0
2015,Number,132336.0
2016,Number,142943.0
2017,Number,135927.0
2018,Number,138265.0
2007,Portugal,5.968864
2008,Portugal,6.611241000000001
2009,Portugal,5.109426999999999
2010,Portugal,5.204752
2011,Portugal,2.488161
2012,Portugal,1.394354
2013,Portugal,3.1204330000000002
2014,Portugal,2.594375
2015,Portugal,2.1984619999999997
2016,Portugal,2.327986
2017,Portugal,2.1724930000000002
2018,Portugal,2.163941
2007,Portugal,59.241298
2008,Portugal,61.233202
2009,Portugal,48.534186
2010,Portugal,49.060743
2011,Portugal,22.957535
2012,Portugal,12.62552
2013,Portugal,28.824314
2014,Portugal,24.113101999999998
2015,Portugal,20.458403
2016,Portugal,21.618658
2017,Portugal,20.190277
2018,Portugal,19.898854
