Year,Sex,Value
2007,,3.040621
2008,,2.8227
2009,,2.53626
2010,,2.581546
2011,,2.452673
2012,,2.4
2013,,2.365496
2014,,2.325931
2015,,2.201387
2016,,2.181767
2017,,2.280168
2018,,2.791516
2019,,2.945501
2020,,2.953405
2021,,2.8
2007,Female,3.617864
2008,Female,3.288586
2009,Female,3.057784
2010,Female,3.25141
2011,Female,3.050403
2012,Female,3.0
2013,Female,3.022166
2014,Female,2.924691
2015,Female,2.851356
2016,Female,2.875583
2017,Female,2.965272
2018,Female,3.612611
2019,Female,3.684217
2020,Female,3.525257
2021,Female,3.3
2007,Male,2.618787
2008,Male,2.471303
2009,Male,2.153339
2010,Male,2.099174
2011,Male,2.022851
2012,Male,2.0
2013,Male,1.920636
2014,Male,1.902712
2015,Male,1.749646
2016,Male,1.708779
2017,Male,1.84019
2018,Male,2.276337
2019,Male,2.479511
2020,Male,2.584061
2021,Male,2.5
