Year,Geographical area,Sex,Value
2007,,,93
2008,,,281
2009,,,71
2010,,,158
2011,,,140
2012,,,99
2013,,,95
2014,,,62
2015,,,53
2016,,,47
2017,,,141
2018,,,18
2007,,Male,74
2008,,Male,184
2009,,Male,48
2010,,Male,106
2011,,Male,93
2012,,Male,65
2013,,Male,62
2014,,Male,39
2015,,Male,33
2016,,Male,37
2017,,Male,85
2018,,Male,14
2007,,Female,19
2008,,Female,97
2009,,Female,23
2010,,Female,52
2011,,Female,47
2012,,Female,34
2013,,Female,33
2014,,Female,23
2015,,Female,20
2016,,Female,10
2017,,Female,56
2018,,Female,4
2007,Batken Oblast,,8
2008,Batken Oblast,,9
2009,Batken Oblast,,0
2010,Batken Oblast,,15
2011,Batken Oblast,,7
2012,Batken Oblast,,9
2013,Batken Oblast,,3
2014,Batken Oblast,,3
2015,Batken Oblast,,1
2016,Batken Oblast,,9
2017,Batken Oblast,,0
2018,Batken Oblast,,0
2007,Batken Oblast,Male,6
2008,Batken Oblast,Male,9
2009,Batken Oblast,Male,0
2010,Batken Oblast,Male,11
2011,Batken Oblast,Male,4
2012,Batken Oblast,Male,7
2013,Batken Oblast,Male,3
2014,Batken Oblast,Male,3
2015,Batken Oblast,Male,1
2016,Batken Oblast,Male,7
2017,Batken Oblast,Male,0
2018,Batken Oblast,Male,0
2007,Batken Oblast,Female,2
2008,Batken Oblast,Female,0
2009,Batken Oblast,Female,0
2010,Batken Oblast,Female,4
2011,Batken Oblast,Female,3
2012,Batken Oblast,Female,2
2013,Batken Oblast,Female,0
2014,Batken Oblast,Female,0
2015,Batken Oblast,Female,0
2016,Batken Oblast,Female,2
2017,Batken Oblast,Female,0
2018,Batken Oblast,Female,0
2007,Джалал-Абадская область,,5
2008,Джалал-Абадская область,,25
2009,Джалал-Абадская область,,39
2010,Джалал-Абадская область,,32
2011,Джалал-Абадская область,,35
2012,Джалал-Абадская область,,33
2013,Джалал-Абадская область,,31
2014,Джалал-Абадская область,,17
2015,Джалал-Абадская область,,11
2016,Джалал-Абадская область,,13
2017,Джалал-Абадская область,,43
2018,Джалал-Абадская область,,4
2007,Джалал-Абадская область,Male,5
2008,Джалал-Абадская область,Male,18
2009,Джалал-Абадская область,Male,27
2010,Джалал-Абадская область,Male,21
2011,Джалал-Абадская область,Male,27
2012,Джалал-Абадская область,Male,17
2013,Джалал-Абадская область,Male,22
2014,Джалал-Абадская область,Male,11
2015,Джалал-Абадская область,Male,5
2016,Джалал-Абадская область,Male,9
2017,Джалал-Абадская область,Male,29
2018,Джалал-Абадская область,Male,4
2007,Джалал-Абадская область,Female,0
2008,Джалал-Абадская область,Female,7
2009,Джалал-Абадская область,Female,12
2010,Джалал-Абадская область,Female,11
2011,Джалал-Абадская область,Female,8
2012,Джалал-Абадская область,Female,16
2013,Джалал-Абадская область,Female,9
2014,Джалал-Абадская область,Female,6
2015,Джалал-Абадская область,Female,6
2016,Джалал-Абадская область,Female,4
2017,Джалал-Абадская область,Female,14
2018,Джалал-Абадская область,Female,0
2007,Иссык-Кульская область,,14
2008,Иссык-Кульская область,,42
2009,Иссык-Кульская область,,11
2010,Иссык-Кульская область,,15
2011,Иссык-Кульская область,,17
2012,Иссык-Кульская область,,4
2013,Иссык-Кульская область,,21
2014,Иссык-Кульская область,,25
2015,Иссык-Кульская область,,6
2016,Иссык-Кульская область,,2
2017,Иссык-Кульская область,,6
2018,Иссык-Кульская область,,2
2007,Иссык-Кульская область,Male,10
2008,Иссык-Кульская область,Male,26
2009,Иссык-Кульская область,Male,7
2010,Иссык-Кульская область,Male,10
2011,Иссык-Кульская область,Male,9
2012,Иссык-Кульская область,Male,4
2013,Иссык-Кульская область,Male,13
2014,Иссык-Кульская область,Male,16
2015,Иссык-Кульская область,Male,5
2016,Иссык-Кульская область,Male,1
2017,Иссык-Кульская область,Male,6
2018,Иссык-Кульская область,Male,4
2007,Иссык-Кульская область,Female,16
2008,Иссык-Кульская область,Female,4
2009,Иссык-Кульская область,Female,5
2010,Иссык-Кульская область,Female,8
2011,Иссык-Кульская область,Female,0
2012,Иссык-Кульская область,Female,8
2013,Иссык-Кульская область,Female,9
2014,Иссык-Кульская область,Female,1
2015,Иссык-Кульская область,Female,1
2016,Иссык-Кульская область,Female,0
2017,Иссык-Кульская область,Female,0
2018,Иссык-Кульская область,Female,0
2007,Нарынская область,,5
2008,Нарынская область,,6
2009,Нарынская область,,0
2010,Нарынская область,,7
2011,Нарынская область,,0
2012,Нарынская область,,5
2013,Нарынская область,,8
2014,Нарынская область,,2
2015,Нарынская область,,9
2016,Нарынская область,,1
2017,Нарынская область,,2
2018,Нарынская область,,0
2007,Нарынская область,Male,4
2008,Нарынская область,Male,4
2009,Нарынская область,Male,0
2010,Нарынская область,Male,4
2011,Нарынская область,Male,0
2012,Нарынская область,Male,4
2013,Нарынская область,Male,5
2014,Нарынская область,Male,2
2015,Нарынская область,Male,6
2016,Нарынская область,Male,1
2017,Нарынская область,Male,2
2018,Нарынская область,Male,0
2007,Нарынская область,Female,1
2008,Нарынская область,Female,2
2009,Нарынская область,Female,0
2010,Нарынская область,Female,3
2011,Нарынская область,Female,0
2012,Нарынская область,Female,1
2013,Нарынская область,Female,3
2014,Нарынская область,Female,0
2015,Нарынская область,Female,3
2016,Нарынская область,Female,0
2017,Нарынская область,Female,0
2018,Нарынская область,Female,0
2007,Ошская область,,6
2008,Ошская область,,96
2009,Ошская область,,2
2010,Ошская область,,19
2011,Ошская область,,11
2012,Ошская область,,22
2013,Ошская область,,5
2014,Ошская область,,0
2015,Ошская область,,10
2016,Ошская область,,1
2017,Ошская область,,35
2018,Ошская область,,1
2007,Ошская область,Male,6
2008,Ошская область,Male,50
2009,Ошская область,Male,2
2010,Ошская область,Male,12
2011,Ошская область,Male,6
2012,Ошская область,Male,16
2013,Ошская область,Male,3
2014,Ошская область,Male,0
2015,Ошская область,Male,7
2016,Ошская область,Male,1
2017,Ошская область,Male,17
2018,Ошская область,Male,1
2007,Ошская область,Female,0
2008,Ошская область,Female,46
2009,Ошская область,Female,0
2010,Ошская область,Female,7
2011,Ошская область,Female,5
2012,Ошская область,Female,6
2013,Ошская область,Female,2
2014,Ошская область,Female,0
2015,Ошская область,Female,3
2016,Ошская область,Female,0
2017,Ошская область,Female,18
2018,Ошская область,Female,0
2007,Таласская область,,1
2008,Таласская область,,0
2009,Таласская область,,0
2010,Таласская область,,4
2011,Таласская область,,6
2012,Таласская область,,0
2013,Таласская область,,5
2014,Таласская область,,0
2015,Таласская область,,0
2016,Таласская область,,0
