Year,Units,Value
2007,Percent,22.4
2008,Percent,21.4
2009,Percent,19.6
2010,Percent,17.4
2011,Percent,19.9
2012,Percent,20.2
2013,Percent,20.8
2014,Percent,18.5
2015,Percent,18.9
2016,Percent,20.0
2017,Percent,19.4
2018,Percent,21.1
2007,Metric Tons,10.2
2008,Metric Tons,9.8
2009,Metric Tons,9.9
2010,Metric Tons,9.3
2011,Metric Tons,9.9
2012,Metric Tons,10.6
2013,Metric Tons,11.3
2014,Metric Tons,9.9
2015,Metric Tons,9.5
2016,Metric Tons,8.8
2017,Metric Tons,9.7
2018,Metric Tons,8.6
2007,Number,10.5
2008,Number,10.3
2009,Number,9.5
2010,Number,16.1
2011,Number,15.5
2012,Number,16.3
2013,Number,19.5
2014,Number,19.2
2015,Number,18.4
2016,Number,16.5
2017,Number,16.2
2018,Number,19.1
