Year,Geographical area,Местность,Sex,Возраст,Уровень образования,Value
2018,,,,,,48.5
2018,,Городская,,,,66.0
2018,,Сельская,,,,38.1
2018,,,Male,,,47.9
2018,,,Female,,,49.0
2018,Batken Oblast,,,,,32.9
2018,Джалал-Абадская область,,,,,18.3
2018,Иссык-Кульская область,,,,,72.5
2018,Нарынская область,,,,,39.3
2018,Ошская область,,,,,39.6
2018,Таласская область,,,,,42.2
2018,Чуйская область,,,,,63.1
2018,г. Бишкек,,,,,67.7
2018,г. Ош,,,,,94.6
2018,,,,"Молодёжь, 15-28 лет",,48.4
2018,,,,Взрослое население трудоспособного возраста (от 29 лет),,48.9
2018,,,,"Старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",,48.1
2018,,,,,Начальное и ниже,48.2
2018,,,,,Основное общее,51.2
2018,,,,,Среднее общее,42.7
2018,,,,,"Профессиональное среднее, общее",55.4
2018,,,,,Профессиональное высшее,56.0
