Year,SERIES,UNIT_MEASURE,Value
2019,Number of local governments,Number,484.0
2020,Number of local governments,Number,484.0
2021,Number of local governments,Number,484.0
2022,Number of local governments,Number,484.0
2023,Number of local governments,Number,484.0
2019,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,10.12397
2020,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,13.2
2021,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,21.5
2022,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,34.5
2023,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,40.53
2019,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,49.0
2020,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,67.0
2021,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,104.0
2022,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,167.0
2023,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,169.0
