Year,Series,Value
2013,Above-ground biomass in forest per hectare (tonnes per hectare),26.7
2013,Proportion of forest area within legally established protected areas,5.7
2014,Proportion of forest area within legally established protected areas,5.7
2015,Proportion of forest area within legally established protected areas,5.7
2016,Proportion of forest area within legally established protected areas,5.7
2017,Proportion of forest area within legally established protected areas,5.7
2018,Proportion of forest area within legally established protected areas,5.8
2013,Proportion of forest area with a long-term management plan,74.6
2014,Proportion of forest area with a long-term management plan,76.4
2015,Proportion of forest area with a long-term management plan,78.0
2016,Proportion of forest area with a long-term management plan,79.6
2017,Proportion of forest area with a long-term management plan,81.3
2018,Proportion of forest area with a long-term management plan,82.6
