Year,SERIES,COMPOSITE_BREAKDOWN,Value
2015,Arable land area,,1280.6
2016,Arable land area,,1280.6
2017,Arable land area,,1287.9
2018,Arable land area,,1287.8
2019,Arable land area,,1287.6
2020,Arable land area,,1287.4
2021,Arable land area,,1287.3
2022,Arable land area,,1286.4
2023,Arable land area,,1286.0
2024,Arable land area,,1287.1
2015,Area of unused arable land,,90.0
2016,Area of unused arable land,,81.1
2017,Area of unused arable land,,74.0
2018,Area of unused arable land,,66.5
2019,Area of unused arable land,,62.5
2020,Area of unused arable land,,55.8
2021,Area of unused arable land,,52.9
2022,Area of unused arable land,,48.8
2023,Area of unused arable land,,42.6
2024,Area of unused arable land,,39.0
2015,Area of unused arable land,Cause of non-use: Salinization and waterlogging,5.0
2016,Area of unused arable land,Cause of non-use: Salinization and waterlogging,3.8
2017,Area of unused arable land,Cause of non-use: Salinization and waterlogging,3.3
2018,Area of unused arable land,Cause of non-use: Salinization and waterlogging,3.1
2019,Area of unused arable land,Cause of non-use: Salinization and waterlogging,2.8
2020,Area of unused arable land,Cause of non-use: Salinization and waterlogging,2.5
2021,Area of unused arable land,Cause of non-use: Salinization and waterlogging,2.2
2022,Area of unused arable land,Cause of non-use: Salinization and waterlogging,1.7
2023,Area of unused arable land,Cause of non-use: Salinization and waterlogging,1.7
2024,Area of unused arable land,Cause of non-use: Salinization and waterlogging,1.5
2015,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,13.8
2016,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,13.8
2017,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,11.7
2018,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,11.6
2019,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,11.1
2020,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,9.3
