Year,Geographical area,Местность,Возраст (лет),Образование,Value
2018,,,,,2.2
2018,,Городская,,,2.5
2018,,Сельская,,,2.1
2018,Batken Oblast,,,,0.0
2018,Джалал-Абадская область,,,,0.9
2018,Иссык-Кульская область,,,,0.7
2018,Нарынская область,,,,1.7
2018,Ошская область,,,,1.1
2018,Таласская область,,,,1.2
2018,Чуйская область,,,,6.3
2018,г.Бишкек,,,,3.1
2018,г.Ош,,,,1.7
2018,,,15-19,,1.7
2018,,,15-17,,1.1
2018,,,18-19,,3.0
2018,,,20-24,,2.3
2018,,,25-29,,2.6
2018,,,30-34,,2.3
2018,,,35-39,,2.4
2018,,,40-44,,2.3
2018,,,45-49,,1.9
2018,,,,Основное общее,2.3
2018,,,,Среднее общее,1.2
2018,,,,Профессиональное среднее,2.7
2018,,,,Высшее,3.3
