Year,SERIES,Sex,Value
2014,Number of convictions for malfeasance,,378
2015,Number of convictions for malfeasance,,336
2016,Number of convictions for malfeasance,,351
2017,Number of convictions for malfeasance,,234
2018,Number of convictions for malfeasance,,342
2019,Number of convictions for malfeasance,,223
2020,Number of convictions for malfeasance,,210
2021,Number of convictions for malfeasance,,371
2022,Number of convictions for malfeasance,,370
2014,Number of convictions for сorruption and bribery,,62
2015,Number of convictions for сorruption and bribery,,69
2016,Number of convictions for сorruption and bribery,,72
2017,Number of convictions for сorruption and bribery,,52
2018,Number of convictions for сorruption and bribery,,56
2019,Number of convictions for сorruption and bribery,,66
2020,Number of convictions for сorruption and bribery,,59
2021,Number of convictions for сorruption and bribery,,178
2022,Number of convictions for сorruption and bribery,,137
2014,Number of convictions for malfeasance,Male,323
2015,Number of convictions for malfeasance,Male,278
2016,Number of convictions for malfeasance,Male,286
2017,Number of convictions for malfeasance,Male,196
2018,Number of convictions for malfeasance,Male,297
2019,Number of convictions for malfeasance,Male,193
2020,Number of convictions for malfeasance,Male,184
2021,Number of convictions for malfeasance,Male,342
2022,Number of convictions for malfeasance,Male,314
2014,Number of convictions for сorruption and bribery,Male,57
2015,Number of convictions for сorruption and bribery,Male,65
2016,Number of convictions for сorruption and bribery,Male,61
2017,Number of convictions for сorruption and bribery,Male,44
2018,Number of convictions for сorruption and bribery,Male,53
2019,Number of convictions for сorruption and bribery,Male,57
2020,Number of convictions for сorruption and bribery,Male,54
2021,Number of convictions for сorruption and bribery,Male,168
2022,Number of convictions for сorruption and bribery,Male,121
2014,Number of convictions for malfeasance,Female,55
2015,Number of convictions for malfeasance,Female,58
2016,Number of convictions for malfeasance,Female,65
2017,Number of convictions for malfeasance,Female,38
2018,Number of convictions for malfeasance,Female,45
2019,Number of convictions for malfeasance,Female,30
2020,Number of convictions for malfeasance,Female,26
2021,Number of convictions for malfeasance,Female,29
2022,Number of convictions for malfeasance,Female,50
2014,Number of convictions for сorruption and bribery,Female,5
2015,Number of convictions for сorruption and bribery,Female,4
2016,Number of convictions for сorruption and bribery,Female,11
2017,Number of convictions for сorruption and bribery,Female,8
2018,Number of convictions for сorruption and bribery,Female,3
2019,Number of convictions for сorruption and bribery,Female,9
2020,Number of convictions for сorruption and bribery,Female,5
2021,Number of convictions for сorruption and bribery,Female,10
2022,Number of convictions for сorruption and bribery,Female,16
