Year,SERIES,Reference area,Age,GeoCode,Value
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,3.4
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.8
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.8
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.5
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.0
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,1.156022
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,1.3
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.9
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.2
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.4
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.0
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,2.5
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,1.257611
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,1.5
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,3.2
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.6
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.6
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.3
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.8
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.108352
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.1
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,52.846005
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,47.502069
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,52.792095
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,58.958873
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,55.240237
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,40.422043
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,35.440295
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,93.343001
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,63.421955
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,87.940429
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,86.916427
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,88.203209
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,62.073018
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,59.171813
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,69.843445
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,56.804052
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,70.581429
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,75.09768
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,80.273802
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,59.73299
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,44.777331
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,33.22151
