Year,Reference area,Sex,Value
2007,,,211
2008,,,196
2009,,,181
2010,,,164
2011,,,153
2012,,,146
2013,,,149
2014,,,156
2015,,,140
2016,,,127
2017,,,118
2018,,,120
2019,,,118
2020,,,117
2010,,Male,183
2011,,Male,168
2012,,Male,161
2013,,Male,165
2014,,Male,169
2015,,Male,154
2016,,Male,134
2017,,Male,131
2018,,Male,132
2019,,Male,129
2020,,Male,125
2010,,Female,144
2011,,Female,138
2012,,Female,130
2013,,Female,131
2014,,Female,143
2015,,Female,125
2016,,Female,119
2017,,Female,104
2018,,Female,107
2019,,Female,107
2020,,Female,110
2007,Batken,,200
2008,Batken,,204
2009,Batken,,178
2010,Batken,,179
2011,Batken,,159
2012,Batken,,133
2013,Batken,,133
2014,Batken,,125
2015,Batken,,112
2016,Batken,,106
2017,Batken,,106
2018,Batken,,93
2019,Batken,,105
2020,Batken,,111
2010,Batken,Male,195
2011,Batken,Male,170
2012,Batken,Male,151
2013,Batken,Male,154
2014,Batken,Male,147
2015,Batken,Male,121
2016,Batken,Male,104
2017,Batken,Male,117
2018,Batken,Male,104
2019,Batken,Male,103
2020,Batken,Male,119
2010,Batken,Female,163
2011,Batken,Female,148
2012,Batken,Female,115
2013,Batken,Female,111
2014,Batken,Female,101
2015,Batken,Female,103
2016,Batken,Female,108
2017,Batken,Female,94
2018,Batken,Female,82
2019,Batken,Female,106
2020,Batken,Female,102
2007,Jalal-Abad,,175
2008,Jalal-Abad,,138
2009,Jalal-Abad,,131
2010,Jalal-Abad,,114
2011,Jalal-Abad,,116
2012,Jalal-Abad,,115
2013,Jalal-Abad,,132
2014,Jalal-Abad,,144
2015,Jalal-Abad,,127
2016,Jalal-Abad,,115
2017,Jalal-Abad,,99
2018,Jalal-Abad,,102
2019,Jalal-Abad,,95
2020,Jalal-Abad,,87
2010,Jalal-Abad,Male,127
2011,Jalal-Abad,Male,130
2012,Jalal-Abad,Male,132
2013,Jalal-Abad,Male,130
2014,Jalal-Abad,Male,156
2015,Jalal-Abad,Male,134
2016,Jalal-Abad,Male,119
2017,Jalal-Abad,Male,105
2018,Jalal-Abad,Male,105
2019,Jalal-Abad,Male,99
2020,Jalal-Abad,Male,88
2010,Jalal-Abad,Female,101
2011,Jalal-Abad,Female,102
2012,Jalal-Abad,Female,98
2013,Jalal-Abad,Female,133
2014,Jalal-Abad,Female,132
2015,Jalal-Abad,Female,119
2016,Jalal-Abad,Female,110
2017,Jalal-Abad,Female,93
2018,Jalal-Abad,Female,99
2019,Jalal-Abad,Female,91
2020,Jalal-Abad,Female,86
2007,Issyk-Kul,,174
2008,Issyk-Kul,,184
2009,Issyk-Kul,,164
2010,Issyk-Kul,,159
2011,Issyk-Kul,,163
2012,Issyk-Kul,,148
2013,Issyk-Kul,,113
2014,Issyk-Kul,,93
2015,Issyk-Kul,,122
2016,Issyk-Kul,,84
2017,Issyk-Kul,,94
2018,Issyk-Kul,,85
2019,Issyk-Kul,,117
2020,Issyk-Kul,,97
2010,Issyk-Kul,Male,193
2011,Issyk-Kul,Male,196
2012,Issyk-Kul,Male,154
2013,Issyk-Kul,Male,112
2014,Issyk-Kul,Male,109
2015,Issyk-Kul,Male,139
2016,Issyk-Kul,Male,74
2017,Issyk-Kul,Male,112
2018,Issyk-Kul,Male,89
2019,Issyk-Kul,Male,137
2020,Issyk-Kul,Male,105
2010,Issyk-Kul,Female,124
2011,Issyk-Kul,Female,128
2012,Issyk-Kul,Female,141
2013,Issyk-Kul,Female,113
2014,Issyk-Kul,Female,77
2015,Issyk-Kul,Female,104
2016,Issyk-Kul,Female,95
2017,Issyk-Kul,Female,74
2018,Issyk-Kul,Female,80
