Year,Reference area,Age,Value
2007,,,0.077639
2008,,,0.103795
2009,,,0.124661
2010,,,0.1017
2011,,,0.107723
2012,,,0.12556199999999998
2013,,,0.083925
2014,,,0.10488099999999999
2015,,,0.10156699999999999
2016,,,0.117451
2017,,,0.128435
2018,,,0.1297
2019,,,0.1
2007,,,0.041956
2008,,,0.067162
2009,,,0.064553
2010,,,0.060538999999999996
2011,,,0.064473
2012,,,0.10574800000000001
2013,,,0.070194
2014,,,0.09088500000000001
2015,,,0.091088
2016,,,0.097137
2017,,,0.106527
2018,,,0.097582
2019,,,0.1
2007,,,0.11429600000000001
2008,,,0.14143
2009,,,0.186359
2010,,,0.143928
2011,,,0.152077
2012,,,0.14585499999999998
2013,,,0.09797
2014,,,0.119179
2015,,,0.112257
2016,,,0.138147
2017,,,0.150731
2018,,,0.162349
2019,,,0.2
2007,Batken,,0.018994
2008,Batken,,0.037673000000000005
2009,Batken,,0.016262000000000002
2010,Batken,,0.01143
2011,Batken,,0.024721
2012,Batken,,0.039661
2013,Batken,,0.038771
2014,Batken,,0.07155800000000001
2015,Batken,,0.051375
2016,Batken,,0.034134
2017,Batken,,0.051128
2018,Batken,,0.040436
2019,Batken,,0.0
2007,Batken,,0.014483000000000001
2008,Batken,,0.033537
2009,Batken,,0.004729
2010,Batken,,0.013943
2011,Batken,,0.022821
2012,Batken,,0.040276
2013,Batken,,0.043779000000000005
2014,Batken,,0.077046
2015,Batken,,0.062727
2016,Batken,,0.032702999999999996
2017,Batken,,0.044051
2018,Batken,,0.035312
2019,Batken,,0.0
2007,Batken,,0.023358
2008,Batken,,0.041669
2009,Batken,,0.027402
2010,Batken,,0.008997
2011,Batken,,0.026565
2012,Batken,,0.039063
2013,Batken,,0.033922
2014,Batken,,0.066249
2015,Batken,,0.040406
2016,Batken,,0.035516000000000006
2017,Batken,,0.057957
2018,Batken,,0.045374
2019,Batken,,0.0
2007,Jalal-Abad,,0.044535000000000005
2008,Jalal-Abad,,0.070042
2009,Jalal-Abad,,0.060105
2010,Jalal-Abad,,0.059233
2011,Jalal-Abad,,0.048786
2012,Jalal-Abad,,0.091049
2013,Jalal-Abad,,0.04688
2014,Jalal-Abad,,0.07202599999999999
2015,Jalal-Abad,,0.082866
2016,Jalal-Abad,,0.063928
2017,Jalal-Abad,,0.102583
2018,Jalal-Abad,,0.06154199999999999
2019,Jalal-Abad,,0.1
2007,Jalal-Abad,,0.038468
2008,Jalal-Abad,,0.056060000000000006
2009,Jalal-Abad,,0.047336
2010,Jalal-Abad,,0.058324
2011,Jalal-Abad,,0.036397000000000006
2012,Jalal-Abad,,0.095921
2013,Jalal-Abad,,0.051601
2014,Jalal-Abad,,0.065024
2015,Jalal-Abad,,0.081428
2016,Jalal-Abad,,0.043401
2017,Jalal-Abad,,0.10741099999999999
2018,Jalal-Abad,,0.061917999999999994
2019,Jalal-Abad,,0.1
2007,Jalal-Abad,,0.0506
2008,Jalal-Abad,,0.084012
2009,Jalal-Abad,,0.072852
2010,Jalal-Abad,,0.06014
2011,Jalal-Abad,,0.061142999999999996
2012,Jalal-Abad,,0.08619500000000001
2013,Jalal-Abad,,0.042181
2014,Jalal-Abad,,0.078984
2015,Jalal-Abad,,0.08429199999999999
2016,Jalal-Abad,,0.084261
2017,Jalal-Abad,,0.097808
2018,Jalal-Abad,,0.06117
2019,Jalal-Abad,,0.0
2007,Issyk-Kul,,0.004608
2008,Issyk-Kul,,0.027500999999999998
2009,Issyk-Kul,,0.027305
2010,Issyk-Kul,,0.018062
2011,Issyk-Kul,,0.053783000000000004
2012,Issyk-Kul,,0.031063999999999998
2013,Issyk-Kul,,0.028512
2014,Issyk-Kul,,0.06288200000000001
2015,Issyk-Kul,,0.066387
2016,Issyk-Kul,,0.082386
2017,Issyk-Kul,,0.087531
2018,Issyk-Kul,,0.057572000000000005
2019,Issyk-Kul,,0.1
2007,Issyk-Kul,,0.0
2008,Issyk-Kul,,0.022619999999999998
2009,Issyk-Kul,,0.013497
2010,Issyk-Kul,,0.0
2011,Issyk-Kul,,0.035537
2012,Issyk-Kul,,0.026411
2013,Issyk-Kul,,0.026123
2014,Issyk-Kul,,0.06460700000000001
2015,Issyk-Kul,,0.046817000000000004
2016,Issyk-Kul,,0.07142000000000001
2017,Issyk-Kul,,0.058072000000000006
2018,Issyk-Kul,,0.020472
2019,Issyk-Kul,,0.1
2007,Issyk-Kul,,0.009349
2008,Issyk-Kul,,0.032512
2009,Issyk-Kul,,0.041436
2010,Issyk-Kul,,0.036491
2011,Issyk-Kul,,0.072359
2012,Issyk-Kul,,0.035794
2013,Issyk-Kul,,0.030938999999999998
2014,Issyk-Kul,,0.061134
2015,Issyk-Kul,,0.086207
2016,Issyk-Kul,,0.093477
2017,Issyk-Kul,,0.11727699999999999
2018,Issyk-Kul,,0.094996
2019,Issyk-Kul,,0.1
2007,Naryn,,0.0
2008,Naryn,,0.003889
2009,Naryn,,0.007743000000000001
2010,Naryn,,0.02301
2011,Naryn,,0.094871
2012,Naryn,,0.045026
2013,Naryn,,0.040785
2014,Naryn,,0.087939
2015,Naryn,,0.072443
2016,Naryn,,0.089502
2017,Naryn,,0.123926
2018,Naryn,,0.021019
2019,Naryn,,0.1
2007,Naryn,,0.0
2008,Naryn,,0.0
2009,Naryn,,0.007654
2010,Naryn,,0.03787
2011,Naryn,,0.149779
2012,Naryn,,0.059173
2013,Naryn,,0.043827
2014,Naryn,,0.12997899999999998
2015,Naryn,,0.107097
2016,Naryn,,0.112825
2017,Naryn,,0.139296
2018,Naryn,,0.006884
2019,Naryn,,0.0
2007,Naryn,,0.0
2008,Naryn,,0.007702
2009,Naryn,,0.007654
2010,Naryn,,0.03787
2011,Naryn,,0.149779
2012,Naryn,,0.059173
2013,Naryn,,0.043827
2014,Naryn,,0.12997899999999998
2015,Naryn,,0.107097
2016,Naryn,,0.112825
2017,Naryn,,0.139296
2018,Naryn,,0.006884
2019,Naryn,,0.1
2007,Osh,,0.095398
2008,Osh,,0.118959
2009,Osh,,0.10997
2010,Osh,,0.090726
2011,Osh,,0.087779
2012,Osh,,0.17151
2013,Osh,,0.061526
2014,Osh,,0.077427
2015,Osh,,0.078784
2016,Osh,,0.078524
2017,Osh,,0.080728
2018,Osh,,0.06853200000000001
2019,Osh,,0.1
2007,Osh,,0.069082
