Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,5.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,5.3
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,4.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,4.1
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,4.6
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,,,4.7
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,4.2
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,4.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,4.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,3.8
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,4.2
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Urban,,,,,6.0
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,5.7
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,5.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,4.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,4.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,4.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,Rural,,,,,4.0
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,4.9
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,4.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,4.6
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,3.7
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,4.3
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Male,,,,,,,4.4
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,5.4
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,5.6
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,5.0
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,4.4
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,4.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,Female,,,,,,,5.0
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,4.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,4.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,1.5
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,1.7
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,1.5
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Batken,,,,,,,KG05,2.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,3.0
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,1.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.0
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.2
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,2.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,3.0
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,2.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,2.0
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,2.6
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,2.7
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,1.9
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,10.5
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,9.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,8.2
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,8.6
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,5.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,9.6
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,5.2
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,6.4
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,6.0
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,4.8
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,6.5
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh,,,,,,,KG06,3.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,1.9
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,0.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,0.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,1.0
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,1.2
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Talas,,,,,,,KG07,1.7
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,10.4
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,11.9
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,12.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,10.3
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,10.6
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Chui,,,,,,,KG08,10.9
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,2.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,3.0
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,5.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,3.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,4.1
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,3.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,7.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,8.6
