Year,Reference area,GeoCode,Value
2007,,,10.5
2008,,,10.8
2009,,,9.1
2010,,,9.0
2011,,,8.0
2012,,,7.9
2013,,,6.4
2014,,,6.8
2015,,,7.0
2016,,,6.0
2017,,,5.9
2018,,,6.3
2019,,,5.5
2020,,,5.0
2021,,,6.1
2007,Batken,KG05,1.4
2008,Batken,KG05,2.8
2009,Batken,KG05,3.5
2010,Batken,KG05,3.0
2011,Batken,KG05,1.3
2012,Batken,KG05,3.5
2013,Batken,KG05,3.9
2014,Batken,KG05,2.1
2015,Batken,KG05,1.4
2016,Batken,KG05,1.2
2017,Batken,KG05,3.3
2018,Batken,KG05,1.2
2019,Batken,KG05,3.4
2020,Batken,KG05,3.5
2021,Batken,KG05,1.6
2007,Jalal-Abad,KG03,2.3
2008,Jalal-Abad,KG03,1.4
2009,Jalal-Abad,KG03,1.5
2010,Jalal-Abad,KG03,2.4
2011,Jalal-Abad,KG03,2.2
2012,Jalal-Abad,KG03,2.4
2013,Jalal-Abad,KG03,2.2
2014,Jalal-Abad,KG03,2.1
2015,Jalal-Abad,KG03,2.9
2016,Jalal-Abad,KG03,1.9
2017,Jalal-Abad,KG03,2.5
2018,Jalal-Abad,KG03,2.4
2019,Jalal-Abad,KG03,2.7
2020,Jalal-Abad,KG03,1.8
2021,Jalal-Abad,KG03,3.6
2007,Issyk-Kul,KG02,34.1
2008,Issyk-Kul,KG02,35.1
2009,Issyk-Kul,KG02,26.2
2010,Issyk-Kul,KG02,33.0
2011,Issyk-Kul,KG02,31.4
2012,Issyk-Kul,KG02,26.6
2013,Issyk-Kul,KG02,24.8
2014,Issyk-Kul,KG02,30.6
2015,Issyk-Kul,KG02,31.3
2016,Issyk-Kul,KG02,19.4
2017,Issyk-Kul,KG02,23.5
2018,Issyk-Kul,KG02,26.7
2019,Issyk-Kul,KG02,29.4
2020,Issyk-Kul,KG02,24.4
2021,Issyk-Kul,KG02,27.2
2007,Naryn,KG04,12.4
2008,Naryn,KG04,9.3
2009,Naryn,KG04,9.7
2010,Naryn,KG04,11.5
2011,Naryn,KG04,9.9
2012,Naryn,KG04,8.3
2013,Naryn,KG04,6.3
2014,Naryn,KG04,5.5
2015,Naryn,KG04,7.2
2016,Naryn,KG04,7.2
2017,Naryn,KG04,8.1
2018,Naryn,KG04,10.9
2019,Naryn,KG04,7.3
2020,Naryn,KG04,7.2
2021,Naryn,KG04,7.2
2007,Osh,KG06,1.0
2008,Osh,KG06,2.4
2009,Osh,KG06,2.7
2010,Osh,KG06,2.5
2011,Osh,KG06,2.4
2012,Osh,KG06,3.7
2013,Osh,KG06,1.6
2014,Osh,KG06,2.7
2015,Osh,KG06,4.0
2016,Osh,KG06,3.4
2017,Osh,KG06,2.3
2018,Osh,KG06,3.4
2019,Osh,KG06,2.1
2020,Osh,KG06,2.9
2021,Osh,KG06,2.6
2007,Talas,KG07,3.6
2008,Talas,KG07,4.4
2009,Talas,KG07,4.4
2010,Talas,KG07,3.5
2011,Talas,KG07,2.6
2012,Talas,KG07,5.5
2013,Talas,KG07,3.7
2014,Talas,KG07,4.1
2015,Talas,KG07,6.8
2016,Talas,KG07,6.3
2017,Talas,KG07,2.3
2018,Talas,KG07,5.7
2019,Talas,KG07,9.0
2020,Talas,KG07,7.4
2021,Talas,KG07,12.5
2007,Chui,KG08,15.8
2008,Chui,KG08,16.0
2009,Chui,KG08,11.9
2010,Chui,KG08,11.1
2011,Chui,KG08,7.7
2012,Chui,KG08,9.4
2013,Chui,KG08,7.4
2014,Chui,KG08,7.9
2015,Chui,KG08,6.3
2016,Chui,KG08,7.9
2017,Chui,KG08,7.9
2018,Chui,KG08,7.1
2019,Chui,KG08,4.8
2020,Chui,KG08,4.0
2021,Chui,KG08,6.4
2007,Bishkek (city),KG11,24.1
2008,Bishkek (city),KG11,24.3
2009,Bishkek (city),KG11,21.0
2010,Bishkek (city),KG11,16.3
2011,Bishkek (city),KG11,16.0
2012,Bishkek (city),KG11,12.2
2013,Bishkek (city),KG11,9.9
2014,Bishkek (city),KG11,10.0
2015,Bishkek (city),KG11,8.1
2016,Bishkek (city),KG11,8.1
2017,Bishkek (city),KG11,6.6
2018,Bishkek (city),KG11,6.5
2019,Bishkek (city),KG11,3.3
2020,Bishkek (city),KG11,3.2
2021,Bishkek (city),KG11,5.2
2007,Osh (city),KG21,1.6
2008,Osh (city),KG21,3.5
2009,Osh (city),KG21,3.1
2010,Osh (city),KG21,3.9
2011,Osh (city),KG21,3.5
2012,Osh (city),KG21,5.8
2013,Osh (city),KG21,4.9
2014,Osh (city),KG21,1.9
2015,Osh (city),KG21,4.4
2016,Osh (city),KG21,6.1
2017,Osh (city),KG21,3.5
2018,Osh (city),KG21,2.7
2019,Osh (city),KG21,1.6
2020,Osh (city),KG21,3.5
2021,Osh (city),KG21,0.9
