Year,Observation-level footnotes,COMPOSITE_BREAKDOWN,Value
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).","IHR Capacity: National legislation, policy and financing",25
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Coordination and National Focal Point communications,33
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Surveillance,60
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Response,57
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Preparedness,0
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Risk communication,43
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Human resources,0
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Laboratory,80
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Points of entry,15
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Zoonotic events,100
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Food safety,92
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Chemical events,75
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",IHR Capacity: Radionuclear emergencies,75
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: Legislation and Financing,53
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: Legislation and Financing,53
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: Legislation and Financing,53
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,60
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,50
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,50
