Year,Age,COMPOSITE_BREAKDOWN,Показатель,Разбивка,Value
2018,15 to 24 years old,Skill: ICT Skill: Copying or moving a file or folder,,,23.8
2018,15 to 24 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,,,23.4
2018,15 to 24 years old,Skill: ICT Skill: Sending e-mails with attached files,,,21.2
2018,15 to 24 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,,,13.6
2018,15 to 24 years old,Skill: ICT Skill: connecting and installing new devices,,,7.3
2018,15 to 24 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",,,7.5
2018,15 to 24 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,,,13.2
2018,15 to 24 years old,Skill: ICT Skill: Transferring files between a computer and other devices,,,12.1
2018,15 to 24 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,,,3.2
2018,15 to 49 years old,Skill: ICT Skill: Copying or moving a file or folder,,,17.1
2018,15 to 49 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,,,16.9
2018,15 to 49 years old,Skill: ICT Skill: Sending e-mails with attached files,,,15.4
2018,15 to 49 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,,,9.7
2018,15 to 49 years old,Skill: ICT Skill: connecting and installing new devices,,,6.2
2018,15 to 49 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",,,5.8
2018,15 to 49 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,,,8.9
2018,15 to 49 years old,Skill: ICT Skill: Transferring files between a computer and other devices,,,8.4
2018,15 to 49 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,,,2.0
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполняли как минимум одно из указанных девяти действий с компьютером",,21.0
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполняли как минимум одно из указанных девяти действий с компьютером",,19.0
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,17.1
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,16.5
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",16.9
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",16.2
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",15.4
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",14.2
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,9.7
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,9.1
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",6.2
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",7.5
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",5.8
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",6.3
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",8.9
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",8.4
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,8.4
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,8.8
2018,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,2.0
2023,,,"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,1.7
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполняли как минимум одно из указанных девяти действий с компьютером",,29.7
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполняли как минимум одно из указанных девяти действий с компьютером",,29.4
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,23.8
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",копировали или перемещали файл или папку,25.0
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",23.4
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",23.9
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",21.2
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",19.5
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,13.6
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",пользовались базовой арифметической формулой в электронной таблице,12.8
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",7.3
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","подключали и устанавливали новое устройство, например, модем, камеру или принтер",9.0
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",7.5
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","отыскивали, загружали, устанавливали и настраивали программное обеспечение",7.2
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",13.2
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером","создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",11.9
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,12.1
2023,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",переносили файл между компьютером и другим устройством,10.7
2018,,,"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",писали компьютерную программу на каком-нибудь языке программирования,3.2
