Year,Reference area,Degree of urbanisation,Value
2011,,,924.0
2012,,,932.0
2013,,,896.0
2014,,,889.0
2015,,,891.0
2016,,,899.0
2017,,,911.0
2018,,,918.0
2014,,Urban,99.1
2015,,Urban,99.1
2016,,Urban,99.3
2017,,Urban,93.9
2018,,Urban,99.3
2014,,Rural,83.3
2015,,Rural,83.7
2016,,Rural,84.9
2017,,Rural,86.7
2018,,Rural,87.8
2014,Batken,,74.3
2015,Batken,,73.3
2016,Batken,,74.1
2017,Batken,,79.0
2018,Batken,,83.6
2014,Jalal-Abad,,89.5
2015,Jalal-Abad,,87.7
2016,Jalal-Abad,,87.3
2017,Jalal-Abad,,91.2
2018,Jalal-Abad,,86.4
2014,Issyk-Kul,,96.8
2015,Issyk-Kul,,96.4
2016,Issyk-Kul,,97.3
2017,Issyk-Kul,,97.0
2018,Issyk-Kul,,96.0
2014,Naryn,,84.4
2015,Naryn,,90.3
2016,Naryn,,95.9
2017,Naryn,,95.8
2018,Naryn,,96.3
2014,Osh,,72.9
2015,Osh,,74.5
2016,Osh,,76.4
2017,Osh,,77.3
2018,Osh,,83.2
2014,Talas,,99.7
2015,Talas,,99.2
2016,Talas,,100.0
2017,Talas,,99.4
2018,Talas,,99.4
2014,Chui,,100.0
2015,Chui,,100.0
2016,Chui,,100.0
2017,Chui,,100.0
2018,Chui,,100.0
2014,Bishkek (city),,99.8
2015,Bishkek (city),,100.0
2016,Bishkek (city),,100.0
2017,Bishkek (city),,100.0
2018,Bishkek (city),,100.0
2014,Osh (city),,96.5
2015,Osh (city),,96.7
2016,Osh (city),,100.0
2017,Osh (city),,95.7
2018,Osh (city),,96.5
