Year,Series,Reference area,Units,Value
2010,Water loss at transportation (volume),,Million of cubic metres per annum,1768.0
2011,Water loss at transportation (volume),,Million of cubic metres per annum,1877.1
2012,Water loss at transportation (volume),,Million of cubic metres per annum,1955.3
2013,Water loss at transportation (volume),,Million of cubic metres per annum,1873.3
2014,Water loss at transportation (volume),,Million of cubic metres per annum,2029.8
2015,Water loss at transportation (volume),,Million of cubic metres per annum,2092.3
2016,Water loss at transportation (volume),,Million of cubic metres per annum,1841.6
2017,Water loss at transportation (volume),,Million of cubic metres per annum,2128.3
2018,Water loss at transportation (volume),,Million of cubic metres per annum,2085.2
2019,Water loss at transportation (volume),,Million of cubic metres per annum,2242.8
2010,Water loss at transportation (volume),Batken,Million of cubic metres per annum,116.2
2011,Water loss at transportation (volume),Batken,Million of cubic metres per annum,118.7
2012,Water loss at transportation (volume),Batken,Million of cubic metres per annum,92.6
2013,Water loss at transportation (volume),Batken,Million of cubic metres per annum,92.6
2014,Water loss at transportation (volume),Batken,Million of cubic metres per annum,4.3
2015,Water loss at transportation (volume),Batken,Million of cubic metres per annum,114.7
2016,Water loss at transportation (volume),Batken,Million of cubic metres per annum,114.5
2017,Water loss at transportation (volume),Batken,Million of cubic metres per annum,105.8
2018,Water loss at transportation (volume),Batken,Million of cubic metres per annum,101.1
2019,Water loss at transportation (volume),Batken,Million of cubic metres per annum,104.8
2010,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,189.7
2011,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,218.9
2012,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,451.3
2013,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,451.3
2014,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,350.0
2015,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,208.1
2016,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,200.6
2017,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,214.7
2018,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,186.3
2019,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,254.4
2010,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,164.6
2011,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,155.0
2012,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,181.6
2013,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,174.3
2014,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,198.9
2015,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,157.8
2016,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,165.3
2017,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,184.9
2018,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,193.6
2019,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,199.8
2010,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,188.7
2011,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,181.8
2012,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,194.4
2013,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,197.1
2014,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,197.1
2015,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,189.2
2016,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,182.0
2017,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,186.8
2018,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,194.3
2019,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,200.1
2010,Water loss at transportation (volume),Osh,Million of cubic metres per annum,227.7
2011,Water loss at transportation (volume),Osh,Million of cubic metres per annum,206.6
2012,Water loss at transportation (volume),Osh,Million of cubic metres per annum,386.2
2013,Water loss at transportation (volume),Osh,Million of cubic metres per annum,352.1
2014,Water loss at transportation (volume),Osh,Million of cubic metres per annum,232.6
2015,Water loss at transportation (volume),Osh,Million of cubic metres per annum,232.6
2016,Water loss at transportation (volume),Osh,Million of cubic metres per annum,246.6
