Year,Reference area,COMPOSITE_BREAKDOWN,GeoCode,Value
2010,,,,7562.0
2011,,,,8634.0
2012,,,,9544.4
2013,,,,8326.8
2014,,,,7658.0
2015,,,,7569.0
2016,,,,7333.7
2017,,,,7657.8
2018,,,,7758.0
2019,,,,8068.7
2020,,,,8017.9
2021,,,,7999.5
2012,,Water source: Natural,,9319.3
2013,,Water source: Natural,,8218.9
2014,,Water source: Natural,,7432.4
2015,,Water source: Natural,,7225.2
2016,,Water source: Natural,,7125.0
2017,,Water source: Natural,,7433.2
2018,,Water source: Natural,,7513.0
2019,,Water source: Natural,,7813.9
2020,,Water source: Natural,,7768.1
2021,,Water source: Natural,,7746.6
2010,,Water source: Aquifers,,324.1
2011,,Water source: Aquifers,,201.3
2012,,Water source: Aquifers,,224.9
2013,,Water source: Aquifers,,107.9
2014,,Water source: Aquifers,,225.6
2015,,Water source: Aquifers,,343.8
2016,,Water source: Aquifers,,208.7
2017,,Water source: Aquifers,,224.6
2018,,Water source: Aquifers,,245.0
2019,,Water source: Aquifers,,254.8
2020,,Water source: Aquifers,,249.8
2021,,Water source: Aquifers,,252.9
2010,Batken,,KG05,577.7
2011,Batken,,KG05,586.7
2012,Batken,,KG05,570.2
2013,Batken,,KG05,967.7
2014,Batken,,KG05,615.1
2015,Batken,,KG05,643.1
2016,Batken,,KG05,645.2
2017,Batken,,KG05,632.8
2018,Batken,,KG05,647.7
2019,Batken,,KG05,663.1
2020,Batken,,KG05,757.6
2021,Batken,,KG05,690.4
2010,Jalal-Abad,,KG03,695.2
2011,Jalal-Abad,,KG03,1197.2
2012,Jalal-Abad,,KG03,716.6
2013,Jalal-Abad,,KG03,716.6
2014,Jalal-Abad,,KG03,781.4
2015,Jalal-Abad,,KG03,985.7
2016,Jalal-Abad,,KG03,948.9
2017,Jalal-Abad,,KG03,936.2
2018,Jalal-Abad,,KG03,926.6
2019,Jalal-Abad,,KG03,1012.6
2020,Jalal-Abad,,KG03,984.4
2021,Jalal-Abad,,KG03,968.2
2010,Issyk-Kul,,KG02,555.3
2011,Issyk-Kul,,KG02,905.6
2012,Issyk-Kul,,KG02,966.4
2013,Issyk-Kul,,KG02,628.3
2014,Issyk-Kul,,KG02,628.5
2015,Issyk-Kul,,KG02,578.9
2016,Issyk-Kul,,KG02,524.6
2017,Issyk-Kul,,KG02,623.7
2018,Issyk-Kul,,KG02,621.1
2019,Issyk-Kul,,KG02,635.0
2020,Issyk-Kul,,KG02,646.2
2021,Issyk-Kul,,KG02,655.0
2010,Naryn,,KG04,592.3
2011,Naryn,,KG04,590.7
2012,Naryn,,KG04,636.4
2013,Naryn,,KG04,644.2
2014,Naryn,,KG04,607.7
2015,Naryn,,KG04,620.5
2016,Naryn,,KG04,607.7
2017,Naryn,,KG04,614.8
2018,Naryn,,KG04,642.3
2019,Naryn,,KG04,658.5
2020,Naryn,,KG04,667.6
2021,Naryn,,KG04,691.2
2010,Osh,,KG06,1290.3
2011,Osh,,KG06,1160.5
2012,Osh,,KG06,1439.2
2013,Osh,,KG06,1392.6
2014,Osh,,KG06,1133.0
2015,Osh,,KG06,1190.1
2016,Osh,,KG06,1125.2
2017,Osh,,KG06,1183.5
2018,Osh,,KG06,1144.2
2019,Osh,,KG06,1180.8
2020,Osh,,KG06,1147.0
2021,Osh,,KG06,1248.5
2010,Talas,,KG07,828.8
2011,Talas,,KG07,884.7
2012,Talas,,KG07,904.0
2013,Talas,,KG07,938.2
2014,Talas,,KG07,882.9
2015,Talas,,KG07,1011.8
2016,Talas,,KG07,944.0
2017,Talas,,KG07,991.6
2018,Talas,,KG07,963.3
2019,Talas,,KG07,1021.3
2020,Talas,,KG07,961.1
2021,Talas,,KG07,959.1
2010,Chui,,KG08,2803.6
2011,Chui,,KG08,3138.1
2012,Chui,,KG08,4140.0
2013,Chui,,KG08,3039.3
2014,Chui,,KG08,2833.6
2015,Chui,,KG08,2368.2
2016,Chui,,KG08,2367.9
2017,Chui,,KG08,2500.5
2018,Chui,,KG08,2634.0
2019,Chui,,KG08,2707.0
2020,Chui,,KG08,2664.5
2021,Chui,,KG08,2596.6
2010,Bishkek (city),,KG11,135.9
2011,Bishkek (city),,KG11,113.4
2012,Bishkek (city),,KG11,114.5
2013,Bishkek (city),,KG11,115.7
2014,Bishkek (city),,KG11,118.8
2015,Bishkek (city),,KG11,113.7
2016,Bishkek (city),,KG11,113.2
2017,Bishkek (city),,KG11,117.7
2018,Bishkek (city),,KG11,121.8
2019,Bishkek (city),,KG11,133.5
2020,Bishkek (city),,KG11,132.5
2021,Bishkek (city),,KG11,133.6
2010,Osh (city),,KG21,82.9
2011,Osh (city),,KG21,57.1
2012,Osh (city),,KG21,57.1
2013,Osh (city),,KG21,57.1
2014,Osh (city),,KG21,57.1
2015,Osh (city),,KG21,57.1
2016,Osh (city),,KG21,57.0
2017,Osh (city),,KG21,57.0
2018,Osh (city),,KG21,57.0
2019,Osh (city),,KG21,57.0
2020,Osh (city),,KG21,57.0
2021,Osh (city),,KG21,57.0
