Year,Reference area,GeoCode,Value
2006,,,22.6
2007,,,28.1
2008,,,37.0
2009,,,39.2
2010,,,42.4
2011,,,54.4
2012,,,58.0
2013,,,65.0
2014,,,71.8
2015,,,75.5
2016,,,81.8
2017,,,89.3
2018,,,88.4
2019,,,99.2
2020,,,95.1
2021,,,114.3
2022,,,146.3
2023,,,187.9
2006,Batken,KG05,9.3
2007,Batken,KG05,13.1
2008,Batken,KG05,16.2
2009,Batken,KG05,16.5
2010,Batken,KG05,20.2
2011,Batken,KG05,32.3
2012,Batken,KG05,33.8
2013,Batken,KG05,36.4
2014,Batken,KG05,38.8
2015,Batken,KG05,39.1
2016,Batken,KG05,37.9
2017,Batken,KG05,38.9
2018,Batken,KG05,35.3
2019,Batken,KG05,41.3
2020,Batken,KG05,42.2
2021,Batken,KG05,48.9
2022,Batken,KG05,65.2
2023,Batken,KG05,79.0
2006,Jalal-Abad,KG03,14.7
2007,Jalal-Abad,KG03,17.4
2008,Jalal-Abad,KG03,24.3
2009,Jalal-Abad,KG03,24.7
2010,Jalal-Abad,KG03,27.6
2011,Jalal-Abad,KG03,33.7
2012,Jalal-Abad,KG03,37.1
2013,Jalal-Abad,KG03,36.9
2014,Jalal-Abad,KG03,41.4
2015,Jalal-Abad,KG03,46.3
2016,Jalal-Abad,KG03,48.4
2017,Jalal-Abad,KG03,55.2
2018,Jalal-Abad,KG03,55.5
2019,Jalal-Abad,KG03,61.3
2020,Jalal-Abad,KG03,54.6
2021,Jalal-Abad,KG03,68.3
2022,Jalal-Abad,KG03,83.2
2023,Jalal-Abad,KG03,109.3
2006,Issyk-Kul,KG02,28.7
2007,Issyk-Kul,KG02,36.5
2008,Issyk-Kul,KG02,50.2
2009,Issyk-Kul,KG02,64.7
2010,Issyk-Kul,KG02,82.5
2011,Issyk-Kul,KG02,99.7
2012,Issyk-Kul,KG02,82.4
2013,Issyk-Kul,KG02,114.5
2014,Issyk-Kul,KG02,116.0
2015,Issyk-Kul,KG02,111.0
2016,Issyk-Kul,KG02,131.6
2017,Issyk-Kul,KG02,138.0
2018,Issyk-Kul,KG02,132.7
2019,Issyk-Kul,KG02,168.6
2020,Issyk-Kul,KG02,168.9
2021,Issyk-Kul,KG02,155.4
2022,Issyk-Kul,KG02,200.6
2023,Issyk-Kul,KG02,219.5
2006,Naryn,KG04,20.8
2007,Naryn,KG04,25.4
2008,Naryn,KG04,32.4
2009,Naryn,KG04,28.9
2010,Naryn,KG04,29.3
2011,Naryn,KG04,30.3
2012,Naryn,KG04,35.6
2013,Naryn,KG04,37.8
2014,Naryn,KG04,43.5
2015,Naryn,KG04,49.2
2016,Naryn,KG04,53.1
2017,Naryn,KG04,51.7
2018,Naryn,KG04,47.8
2019,Naryn,KG04,52.1
2020,Naryn,KG04,60.2
2021,Naryn,KG04,59.7
2022,Naryn,KG04,91.4
2023,Naryn,KG04,107.6
2006,Osh,KG06,12.1
2007,Osh,KG06,14.8
2008,Osh,KG06,18.3
2009,Osh,KG06,18.9
2010,Osh,KG06,20.0
2011,Osh,KG06,27.4
2012,Osh,KG06,25.5
2013,Osh,KG06,25.3
2014,Osh,KG06,27.8
2015,Osh,KG06,27.8
2016,Osh,KG06,28.0
2017,Osh,KG06,31.1
2018,Osh,KG06,31.7
2019,Osh,KG06,34.7
2020,Osh,KG06,36.5
2021,Osh,KG06,42.5
2022,Osh,KG06,53.6
2023,Osh,KG06,65.5
2006,Talas,KG07,24.3
2007,Talas,KG07,26.9
2008,Talas,KG07,38.8
2009,Talas,KG07,27.4
2010,Talas,KG07,32.9
2011,Talas,KG07,29.3
2012,Talas,KG07,41.1
2013,Talas,KG07,47.4
2014,Talas,KG07,57.1
2015,Talas,KG07,59.9
2016,Talas,KG07,59.8
