Year,SERIES,Value
2007,"Number of commercial bank branches per 100,000 adults",6.107469
2008,"Number of commercial bank branches per 100,000 adults",6.545429
2009,"Number of commercial bank branches per 100,000 adults",6.616596
2010,"Number of commercial bank branches per 100,000 adults",5.668633
2011,"Number of commercial bank branches per 100,000 adults",6.729466
2012,"Number of commercial bank branches per 100,000 adults",7.22071
2013,"Number of commercial bank branches per 100,000 adults",7.319149
2014,"Number of commercial bank branches per 100,000 adults",7.336489
2015,"Number of commercial bank branches per 100,000 adults",7.719834
2016,"Number of commercial bank branches per 100,000 adults",7.825828
2017,"Number of commercial bank branches per 100,000 adults",7.578907
2018,"Number of commercial bank branches per 100,000 adults",7.498525
2019,"Number of commercial bank branches per 100,000 adults",7.414108
2020,"Number of commercial bank branches per 100,000 adults",7.038465
2021,"Number of commercial bank branches per 100,000 adults",6.913265
2022,"Number of commercial bank branches per 100,000 adults",6.903169
2023,"Number of commercial bank branches per 100,000 adults",6.790445
2007,"Number of automated teller machines (ATMs) per 100,000 adults",2.471394
2008,"Number of automated teller machines (ATMs) per 100,000 adults",4.888003
2009,"Number of automated teller machines (ATMs) per 100,000 adults",8.720619
2010,"Number of automated teller machines (ATMs) per 100,000 adults",7.522356
2011,"Number of automated teller machines (ATMs) per 100,000 adults",12.187222
2012,"Number of automated teller machines (ATMs) per 100,000 adults",15.844004
2013,"Number of automated teller machines (ATMs) per 100,000 adults",20.860849
2014,"Number of automated teller machines (ATMs) per 100,000 adults",24.989133
2015,"Number of automated teller machines (ATMs) per 100,000 adults",30.387627
2016,"Number of automated teller machines (ATMs) per 100,000 adults",31.399927
2017,"Number of automated teller machines (ATMs) per 100,000 adults",33.570521
2018,"Number of automated teller machines (ATMs) per 100,000 adults",36.978707
2019,"Number of automated teller machines (ATMs) per 100,000 adults",39.297069
2020,"Number of automated teller machines (ATMs) per 100,000 adults",41.86984
2021,"Number of automated teller machines (ATMs) per 100,000 adults",42.32159
2022,"Number of automated teller machines (ATMs) per 100,000 adults",44.306188
2023,"Number of automated teller machines (ATMs) per 100,000 adults",47.957519
