Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2018,,,15 years old and over,,,,,24.4
2019,,,15 years old and over,,,,,32.172359
2020,,,15 years old and over,,,,,35.908367
2021,,,15 years old and over,,,,,36.349478
2018,,,15 years old and over,Urban,,,,28.1
2019,,,15 years old and over,Urban,,,,36.797119
2020,,,15 years old and over,Urban,,,,38.037471
2021,,,15 years old and over,Urban,,,,40.242575
2018,,,15 years old and over,Rural,,,,22.2
2019,,,15 years old and over,Rural,,,,29.421489
2020,,,15 years old and over,Rural,,,,34.606561
2021,,,15 years old and over,Rural,,,,33.921337
2018,,Male,15 years old and over,,,,,23.4
2019,,Male,15 years old and over,,,,,30.211974
2020,,Male,15 years old and over,,,,,33.229388
2021,,Male,15 years old and over,,,,,33.726935
2018,,Female,15 years old and over,,,,,25.2
2019,,Female,15 years old and over,,,,,33.807908
2020,,Female,15 years old and over,,,,,38.177301
2021,,Female,15 years old and over,,,,,38.549214
2018,Batken,,15 years old and over,,,,KG05,11.9
2019,Batken,,15 years old and over,,,,KG05,20.274736
2020,Batken,,15 years old and over,,,,KG05,26.775957
2021,Batken,,15 years old and over,,,,KG05,30.726355
2018,Jalal-Abad,,15 years old and over,,,,KG03,13.1
2019,Jalal-Abad,,15 years old and over,,,,KG03,26.361287
2020,Jalal-Abad,,15 years old and over,,,,KG03,26.539366
2021,Jalal-Abad,,15 years old and over,,,,KG03,24.114348
2018,Issyk-Kul,,15 years old and over,,,,KG02,8.8
2019,Issyk-Kul,,15 years old and over,,,,KG02,9.973074
2020,Issyk-Kul,,15 years old and over,,,,KG02,27.245677
2021,Issyk-Kul,,15 years old and over,,,,KG02,32.26432
2018,Naryn,,15 years old and over,,,,KG04,35.3
2019,Naryn,,15 years old and over,,,,KG04,43.200634
2020,Naryn,,15 years old and over,,,,KG04,40.824543
2021,Naryn,,15 years old and over,,,,KG04,55.72775
2018,Osh,,15 years old and over,,,,KG06,30.7
2019,Osh,,15 years old and over,,,,KG06,37.460737
2020,Osh,,15 years old and over,,,,KG06,43.889458
2021,Osh,,15 years old and over,,,,KG06,42.653948
2018,Talas,,15 years old and over,,,,KG07,18.4
2019,Talas,,15 years old and over,,,,KG07,32.044373
2020,Talas,,15 years old and over,,,,KG07,33.277756
2021,Talas,,15 years old and over,,,,KG07,32.64037
2018,Chui,,15 years old and over,,,,KG08,35.9
2019,Chui,,15 years old and over,,,,KG08,41.213464
2020,Chui,,15 years old and over,,,,KG08,43.885818
2021,Chui,,15 years old and over,,,,KG08,38.114375
2018,Bishkek (city),,15 years old and over,,,,KG11,30.8
2019,Bishkek (city),,15 years old and over,,,,KG11,34.961164
2020,Bishkek (city),,15 years old and over,,,,KG11,38.853903
2021,Bishkek (city),,15 years old and over,,,,KG11,42.722517
2018,Osh (city),,15 years old and over,,,,KG21,23.3
2019,Osh (city),,15 years old and over,,,,KG21,40.128114
2020,Osh (city),,15 years old and over,,,,KG21,31.952317
2021,Osh (city),,15 years old and over,,,,KG21,33.53691
2018,,,15 to 28 years old,,,,,12.7
