Year,Sex,Economic activity,Value
2011,Female,,8365.6
2011,Male,,10675.2
2012,Female,,8700.3
2012,Male,,11716.3
2013,Female,,9113.1
2013,Male,,12439.5
2014,Female,,9732.4
2014,Male,,13694.6
2015,Female,,11125.3
2015,Male,,14742.8
2016,Female,,11742.9
2016,Male,,15591.5
2017,Female,,12182.8
2017,Male,,16802.1
2018,Female,,12573.5
2018,Male,,17556.4
2011,Female,"Agriculture, forestry and fishing",4548.5
2011,Male,"Agriculture, forestry and fishing",4561.6
2012,Female,"Agriculture, forestry and fishing",4726.7
2012,Male,"Agriculture, forestry and fishing",4879.9
2013,Female,"Agriculture, forestry and fishing",5230.8
2013,Male,"Agriculture, forestry and fishing",5699.4
2014,Female,"Agriculture, forestry and fishing",6192.7
2014,Male,"Agriculture, forestry and fishing",6074.3
2015,Female,"Agriculture, forestry and fishing",7378.6
2015,Male,"Agriculture, forestry and fishing",9018.1
2016,Female,"Agriculture, forestry and fishing",7390.0
2016,Male,"Agriculture, forestry and fishing",8359.8
2017,Female,"Agriculture, forestry and fishing",8497.0
2017,Male,"Agriculture, forestry and fishing",8922.4
2018,Female,"Agriculture, forestry and fishing",8905.7
2018,Male,"Agriculture, forestry and fishing",9116.6
2011,Female,Mining and quarrying,10291.1
2011,Male,Mining and quarrying,10478.8
2012,Female,Mining and quarrying,13648.2
2012,Male,Mining and quarrying,17111.1
2013,Female,Mining and quarrying,13694.6
2013,Male,Mining and quarrying,14402.8
2014,Female,Mining and quarrying,14243.4
2014,Male,Mining and quarrying,15562.2
2015,Female,Mining and quarrying,20206.2
2015,Male,Mining and quarrying,20843.9
2016,Female,Mining and quarrying,23165.5
2016,Male,Mining and quarrying,25767.3
2017,Female,Mining and quarrying,22098.5
2017,Male,Mining and quarrying,23738.0
2018,Female,Mining and quarrying,19858.6
2018,Male,Mining and quarrying,26349.6
2011,Female,Manufacturing,7779.9
2011,Male,Manufacturing,10879.1
2012,Female,Manufacturing,9583.2
2012,Male,Manufacturing,11594.8
2013,Female,Manufacturing,9506.6
2013,Male,Manufacturing,12216.2
2014,Female,Manufacturing,10322.0
2014,Male,Manufacturing,13090.4
2015,Female,Manufacturing,11022.6
2015,Male,Manufacturing,13740.0
2016,Female,Manufacturing,11949.9
2016,Male,Manufacturing,15076.2
2017,Female,Manufacturing,12736.5
2017,Male,Manufacturing,15802.1
2018,Female,Manufacturing,13704.7
2018,Male,Manufacturing,16711.7
2011,Female,"Electricity, gas, steam and air conditioning supply",14160.1
2011,Male,"Electricity, gas, steam and air conditioning supply",15121.5
2012,Female,"Electricity, gas, steam and air conditioning supply",18564.4
2012,Male,"Electricity, gas, steam and air conditioning supply",18018.1
2013,Female,"Electricity, gas, steam and air conditioning supply",17006.4
2013,Male,"Electricity, gas, steam and air conditioning supply",17317.9
2014,Female,"Electricity, gas, steam and air conditioning supply",19774.7
2014,Male,"Electricity, gas, steam and air conditioning supply",19512.8
2015,Female,"Electricity, gas, steam and air conditioning supply",22865.4
2015,Male,"Electricity, gas, steam and air conditioning supply",23517.5
2016,Female,"Electricity, gas, steam and air conditioning supply",23702.8
2016,Male,"Electricity, gas, steam and air conditioning supply",24212.7
2017,Female,"Electricity, gas, steam and air conditioning supply",24394.9
2017,Male,"Electricity, gas, steam and air conditioning supply",24266.4
2018,Female,"Electricity, gas, steam and air conditioning supply",24855.0
2018,Male,"Electricity, gas, steam and air conditioning supply",26772.1
2011,Female,"Water supply; sewerage, waste management and remediation activities",7097.9
2011,Male,"Water supply; sewerage, waste management and remediation activities",8512.1
2012,Female,"Water supply; sewerage, waste management and remediation activities",7874.8
2012,Male,"Water supply; sewerage, waste management and remediation activities",9348.3
2013,Female,"Water supply; sewerage, waste management and remediation activities",8309.5
2013,Male,"Water supply; sewerage, waste management and remediation activities",10479.9
2014,Female,"Water supply; sewerage, waste management and remediation activities",8752.5
2014,Male,"Water supply; sewerage, waste management and remediation activities",12181.5
2015,Female,"Water supply; sewerage, waste management and remediation activities",9335.7
2015,Male,"Water supply; sewerage, waste management and remediation activities",11772.3
2016,Female,"Water supply; sewerage, waste management and remediation activities",10668.2
2016,Male,"Water supply; sewerage, waste management and remediation activities",12166.8
2017,Female,"Water supply; sewerage, waste management and remediation activities",11217.0
2017,Male,"Water supply; sewerage, waste management and remediation activities",13276.3
2018,Female,"Water supply; sewerage, waste management and remediation activities",11809.7
2018,Male,"Water supply; sewerage, waste management and remediation activities",14015.9
2011,Female,Construction,7461.7
2011,Male,Construction,9692.9
2012,Female,Construction,8708.8
2012,Male,Construction,10047.4
2013,Female,Construction,10101.0
2013,Male,Construction,10554.2
2014,Female,Construction,8990.4
2014,Male,Construction,11811.2
2015,Female,Construction,8991.5
2015,Male,Construction,11689.2
2016,Female,Construction,11706.6
2016,Male,Construction,14730.1
2017,Female,Construction,14489.9
2017,Male,Construction,16612.5
2018,Female,Construction,13824.4
2018,Male,Construction,16640.2
2011,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,10848.1
2011,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,13252.0
2012,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,10912.9
2012,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,14999.1
