Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,Passenger volume (passenger kilometres),,Passenger kilometres,7037.4
2008,Passenger volume (passenger kilometres),,Passenger kilometres,7541.0
2009,Passenger volume (passenger kilometres),,Passenger kilometres,7834.7
2010,Passenger volume (passenger kilometres),,Passenger kilometres,8122.4
2011,Passenger volume (passenger kilometres),,Passenger kilometres,8862.6
2012,Passenger volume (passenger kilometres),,Passenger kilometres,9620.7
2013,Passenger volume (passenger kilometres),,Passenger kilometres,10378.1
2014,Passenger volume (passenger kilometres),,Passenger kilometres,10776.8
2015,Passenger volume (passenger kilometres),,Passenger kilometres,11012.5
2016,Passenger volume (passenger kilometres),,Passenger kilometres,11333.6
2017,Passenger volume (passenger kilometres),,Passenger kilometres,12279.3
2018,Passenger volume (passenger kilometres),,Passenger kilometres,12516.2
2019,Passenger volume (passenger kilometres),,Passenger kilometres,13135.1
2020,Passenger volume (passenger kilometres),,Passenger kilometres,7381.8
2021,Passenger volume (passenger kilometres),,Passenger kilometres,9090.7
2022,Passenger volume (passenger kilometres),,Passenger kilometres,10444.2
2023,Passenger volume (passenger kilometres),,Passenger kilometres,11350.7
2024,Passenger volume (passenger kilometres),,Passenger kilometres,11802.3
2007,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,59.9
2008,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,90.2
2009,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,106.1
2010,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,98.7
2011,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,82.8
2012,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,75.8
2013,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,55.5
2014,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,42.9
2015,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,40.8
2016,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,40.8
2017,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,43.4
2018,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,35.0
2019,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,37.1
2020,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,6.8
2021,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,21.0
2022,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,21.7
2023,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,21.6
2024,Passenger volume (passenger kilometres),Mode of Transport: Rail,Passenger kilometres,25.4
2007,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6162.6
2008,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6508.6
2009,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6806.8
2010,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6810.0
2011,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6925.5
2012,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,7466.2
2013,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,7717.7
2014,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,8000.0
2015,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,8410.4
2016,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,8839.3
2017,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,8931.5
2018,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,9305.6
2019,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,10490.2
2020,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,6035.6
2021,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,7066.7
2022,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,7361.6
2023,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,7996.3
2024,Passenger volume (passenger kilometres),Mode of Transport: Bus,Passenger kilometres,8495.8
2007,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,101.3
2008,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,71.1
2009,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,84.9
2010,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,100.9
2011,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,97.7
2012,Passenger volume (passenger kilometres),Mode of Transport: Trolley bus,Passenger kilometres,79.9
