Year,Composite breakdown,Value
2010,,1536
2011,,2124
2012,,2177
2013,,2255
2014,,3026
2015,,3049
2016,,2643
2017,,2482
2018,,2836
2010,Pollutants: Solid,745
2011,Pollutants: Solid,906
2012,Pollutants: Solid,909
2013,Pollutants: Solid,800
2014,Pollutants: Solid,1127
2015,Pollutants: Solid,1218
2016,Pollutants: Solid,1013
2017,Pollutants: Solid,1261
2018,Pollutants: Solid,910
2010,Pollutants: Gaseous and liquid,790
2011,Pollutants: Gaseous and liquid,1218
2012,Pollutants: Gaseous and liquid,1268
2013,Pollutants: Gaseous and liquid,1456
2014,Pollutants: Gaseous and liquid,1899
2015,Pollutants: Gaseous and liquid,1831
2016,Pollutants: Gaseous and liquid,1630
2017,Pollutants: Gaseous and liquid,1221
2018,Pollutants: Gaseous and liquid,1926
2010,Pollutants: Sulphur dioxide,395
2011,Pollutants: Sulphur dioxide,470
2012,Pollutants: Sulphur dioxide,271
2013,Pollutants: Sulphur dioxide,631
2014,Pollutants: Sulphur dioxide,923
2015,Pollutants: Sulphur dioxide,954
2016,Pollutants: Sulphur dioxide,806
2017,Pollutants: Sulphur dioxide,390
2018,Pollutants: Sulphur dioxide,903
2010,Pollutants: Carbon monoxide,170
2011,Pollutants: Carbon monoxide,484
2012,Pollutants: Carbon monoxide,498
2013,Pollutants: Carbon monoxide,523
2014,Pollutants: Carbon monoxide,615
2015,Pollutants: Carbon monoxide,499
2016,Pollutants: Carbon monoxide,471
2017,Pollutants: Carbon monoxide,471
2018,Pollutants: Carbon monoxide,607
2010,Pollutants: Nitrogen oxide ,125
2011,Pollutants: Nitrogen oxide ,154
2012,Pollutants: Nitrogen oxide ,176
2013,Pollutants: Nitrogen oxide ,173
2014,Pollutants: Nitrogen oxide ,212
2015,Pollutants: Nitrogen oxide ,200
2016,Pollutants: Nitrogen oxide ,218
2017,Pollutants: Nitrogen oxide ,195
2018,Pollutants: Nitrogen oxide ,228
