Year,COMPOSITE_BREAKDOWN,Value
2015,,224
2016,,225
2017,,145
2018,,217
2019,,168
2020,,162
2021,,136
2022,,145
2023,,195
2015,Intellectual property objects: utility models,12
2016,Intellectual property objects: utility models,20
2017,Intellectual property objects: utility models,10
2018,Intellectual property objects: utility models,19
2019,Intellectual property objects: utility models,24
2020,Intellectual property objects: utility models,22
2021,Intellectual property objects: utility models,17
2022,Intellectual property objects: utility models,19
2023,Intellectual property objects: utility models,13
2015,Intellectual property objects: inventions,108
2016,Intellectual property objects: inventions,119
2017,Intellectual property objects: inventions,76
2018,Intellectual property objects: inventions,109
2019,Intellectual property objects: inventions,66
2020,Intellectual property objects: inventions,47
2021,Intellectual property objects: inventions,39
2022,Intellectual property objects: inventions,45
2023,Intellectual property objects: inventions,48
2015,Intellectual property objects: industrial designs,29
2016,Intellectual property objects: industrial designs,13
2017,Intellectual property objects: industrial designs,4
2018,Intellectual property objects: industrial designs,11
2019,Intellectual property objects: industrial designs,5
2020,Intellectual property objects: industrial designs,3
2021,Intellectual property objects: industrial designs,3
2022,Intellectual property objects: industrial designs,5
2023,Intellectual property objects: industrial designs,3
2015,Intellectual property objects: rationalization proposals,37
2016,Intellectual property objects: rationalization proposals,17
2017,Intellectual property objects: rationalization proposals,12
2018,Intellectual property objects: rationalization proposals,10
2019,Intellectual property objects: rationalization proposals,12
2020,Intellectual property objects: rationalization proposals,27
2021,Intellectual property objects: rationalization proposals,18
2022,Intellectual property objects: rationalization proposals,5
2023,Intellectual property objects: rationalization proposals,21
2015,Intellectual property objects: computer programs,34
2016,Intellectual property objects: computer programs,50
2017,Intellectual property objects: computer programs,39
2018,Intellectual property objects: computer programs,59
2019,Intellectual property objects: computer programs,59
2020,Intellectual property objects: computer programs,62
2021,Intellectual property objects: computer programs,59
2022,Intellectual property objects: computer programs,60
2023,Intellectual property objects: computer programs,76
2015,Intellectual property objects: databases,4
2016,Intellectual property objects: databases,6
2017,Intellectual property objects: databases,4
2018,Intellectual property objects: databases,9
2019,Intellectual property objects: databases,2
2020,Intellectual property objects: databases,1
2021,Intellectual property objects: databases,0
2022,Intellectual property objects: databases,11
2023,Intellectual property objects: databases,34
