Year,SERIES,Value
2012,Proportion of population covered by at least a 2G mobile network,975
2013,Proportion of population covered by at least a 2G mobile network,976
2014,Proportion of population covered by at least a 2G mobile network,977
2015,Proportion of population covered by at least a 2G mobile network,978
2016,Proportion of population covered by at least a 2G mobile network,990
2017,Proportion of population covered by at least a 2G mobile network,991
2018,Proportion of population covered by at least a 2G mobile network,992
2019,Proportion of population covered by at least a 2G mobile network,993
2020,Proportion of population covered by at least a 2G mobile network,990
2012,Proportion of population covered by at least a 3G mobile network,463
2013,Proportion of population covered by at least a 3G mobile network,510
2014,Proportion of population covered by at least a 3G mobile network,570
2015,Proportion of population covered by at least a 3G mobile network,590
2016,Proportion of population covered by at least a 3G mobile network,600
2017,Proportion of population covered by at least a 3G mobile network,750
2018,Proportion of population covered by at least a 3G mobile network,880
2019,Proportion of population covered by at least a 3G mobile network,910
2020,Proportion of population covered by at least a 3G mobile network,893
2014,Proportion of population covered by at least a 4G mobile network,5
2015,Proportion of population covered by at least a 4G mobile network,16
2016,Proportion of population covered by at least a 4G mobile network,400
2017,Proportion of population covered by at least a 4G mobile network,500
2018,Proportion of population covered by at least a 4G mobile network,700
2019,Proportion of population covered by at least a 4G mobile network,850
2020,Proportion of population covered by at least a 4G mobile network,819
