Year,Value,SERIES
2015,12806,Arable land area
2016,12806,Arable land area
2017,12879,Arable land area
2018,12878,Arable land area
2019,12876,Arable land area
2020,12874,Arable land area
2021,12873,Arable land area
2022,12864,Arable land area
2023,12860,Arable land area
2024,12871,Arable land area
2015,900,Area of unused arable land
2016,811,Area of unused arable land
2017,740,Area of unused arable land
2018,665,Area of unused arable land
2019,625,Area of unused arable land
2020,558,Area of unused arable land
2021,529,Area of unused arable land
2022,488,Area of unused arable land
2023,426,Area of unused arable land
2024,390,Area of unused arable land
