Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,5.358823,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2015,4.992952,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2016,4.277431,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2017,4.018001,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2018,3.115011,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2019,2.611204,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2020,2.533287,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2021,2.632778,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2022,2.713997,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2023,1.480052,,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2014,320.0,,Number,Number of victims of intentional homicide
2015,305.0,,Number,Number of victims of intentional homicide
2016,267.0,,Number,Number of victims of intentional homicide
2017,256.0,,Number,Number of victims of intentional homicide
2018,203.0,,Number,Number of victims of intentional homicide
2019,174.0,,Number,Number of victims of intentional homicide
2020,172.0,,Number,Number of victims of intentional homicide
2021,182.0,,Number,Number of victims of intentional homicide
2022,191.0,,Number,Number of victims of intentional homicide
2023,106.0,,Number,Number of victims of intentional homicide
