Year,Value,SERIES
2014,378,Number of convictions for malfeasance
2015,336,Number of convictions for malfeasance
2016,351,Number of convictions for malfeasance
2017,234,Number of convictions for malfeasance
2018,342,Number of convictions for malfeasance
2019,223,Number of convictions for malfeasance
2020,210,Number of convictions for malfeasance
2021,371,Number of convictions for malfeasance
2022,370,Number of convictions for malfeasance
2014,62,Number of convictions for сorruption and bribery
2015,69,Number of convictions for сorruption and bribery
2016,72,Number of convictions for сorruption and bribery
2017,52,Number of convictions for сorruption and bribery
2018,56,Number of convictions for сorruption and bribery
2019,66,Number of convictions for сorruption and bribery
2020,59,Number of convictions for сorruption and bribery
2021,178,Number of convictions for сorruption and bribery
2022,137,Number of convictions for сorruption and bribery
