Year,Value,UNIT_MEASURE,SERIES
2015,0.689,Index,Human Development Index (HDI)
2016,0.692,Index,Human Development Index (HDI)
2017,0.695,Index,Human Development Index (HDI)
2018,0.698,Index,Human Development Index (HDI)
2019,0.699,Index,Human Development Index (HDI)
2020,0.691,Index,Human Development Index (HDI)
2021,0.696,Index,Human Development Index (HDI)
2022,0.701,Index,Human Development Index (HDI)
2015,70.0,Years,Life expectancy at birth
2016,70.3,Years,Life expectancy at birth
2017,70.6,Years,Life expectancy at birth
2018,70.7,Years,Life expectancy at birth
2019,71.2,Years,Life expectancy at birth
2020,69.6,Years,Life expectancy at birth
2021,70.0,Years,Life expectancy at birth
2022,70.5,Years,Life expectancy at birth
2015,12.6,Years,Expected years of schooling
2016,12.7,Years,Expected years of schooling
2017,12.5,Years,Expected years of schooling
2018,12.4,Years,Expected years of schooling
2019,12.5,Years,Expected years of schooling
2020,12.6,Years,Expected years of schooling
2021,13.0,Years,Expected years of schooling
2022,13.0,Years,Expected years of schooling
2015,11.5,Years,Mean years of schooling
2016,11.6,Years,Mean years of schooling
2017,11.7,Years,Mean years of schooling
2018,11.8,Years,Mean years of schooling
2019,11.9,Years,Mean years of schooling
2020,12.0,Years,Mean years of schooling
2021,12.0,Years,Mean years of schooling
2022,12.0,Years,Mean years of schooling
