Year,Value,GeoCode,SERIES
2018,5.1,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2019,5.3,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2020,4.8,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2021,4.1,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2022,4.6,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2023,4.7,,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income
2020,0.8,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income
2021,0.9,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income
2022,0.8,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income
2023,0.6,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income
